"id","x","y","variant","corpus","year","text","lect"
"观众/Na/XIN_CMN_20030726_wpr/24679",-0.0773801262522857,0.0731729354799485,"观众","XIN","2003","包 厢 、 阁楼 、 盖碗茶 、 凉 点心<br>, <b>观众</b> 围桌 而 坐 ,<br>与 小 戏台 近在咫尺 , 可","ML"
"读者/Na/ZBN_CMN_20030818_wpr/3547",-0.0295615530990215,-0.0367192837799142,"读者","ZBN","2003","谢谢 ！ 环境局 回复 贵 报 在 8月<br>10日 刊登 <b>读者</b> 电话 留言<br>指出 ， 广东 民路 第13 座 组 屋","SG"
"观众/Na/CNA_CMN_20001106_wpr/62807",-0.0215592368431197,-0.143846371594973,"观众","CNA","2000","数 週 的 票房 即 将 决定 一切 ,<br>敬请 <b>观众</b> 拭目以待 。 891105<br>妇人 整理 家 中 顶楼 仓库 发现","TW"
"读者/Na/ZBN_CMN_20030509_wpr/1270",0.0118959077445532,-0.118350554209882,"读者","ZBN","2003","长 。 我们 将 到 现场 视察 ， 以<br>决定 <b>读者</b> 提出 调整 交通灯<br>的 提议 是否 可行 。 我们 要","SG"
"观众/Na/ZBN_CMN_20001209_wpr/21404",0.0612720122551099,0.0513829490152561,"观众","ZBN","2000","李资政 回答 问题 时 ， 数 次 引起<br>哄堂 ， <b>观众</b> 对 他 的<br>坦率 与 幽默 ， 连连 报以 掌声","SG"
"观众/Na/CNA_CMN_20001224_wpr/77024",0.00491443908186112,0.0304801014318782,"观众","CNA","2000","晚会 。 虽然 名为 扮装 , 但 现场<br>两三百 名 <b>观众</b> 并 没 有<br>一起 参加 扮装 秀 , 不过 舞台","TW"
"观众/Na/XIN_CMN_20001010_wpr/23246",0.0331598154394661,0.0141014762021159,"观众","XIN","2000",", 艺术 地 再现 那 段 历史 , 让<br>南京 <b>观众</b> 备感 亲切 。<br>世界 大 戏院 里 不断 爆发出 一阵阵","ML"
"观众/Na/XIN_CMN_20030410_wpr/45308",-0.0973870552262759,0.0824174261113662,"观众","XIN","2003","中葡 幼稚园 的 小朋友 是 今天 的 第一<br>批 团体 <b>观众</b> , 在 澳门<br>博物馆 三楼 的 展区 内 , 鲜艳","ML"
"观众/Na/ZBN_CMN_20001004_wpr/33558",0.0551826404784569,0.00219515916394498,"观众","ZBN","2000","商业报 道 ” 新 节目 ， 每 天 为<br>全球 <b>观众</b> 带来 最 新 的<br>亚洲 商界 动态 。 这 也","SG"
"观众/Na/XIN_CMN_20010126_wpr/36792",0.0360780992063105,-0.0217493486121749,"观众","XIN","2001","对 节目 不断 进行 调整 。 他们 以<br>一 位 <b>观众</b> 的 来信 作为<br>自己 的 座右铭 : 你们 面对 的","ML"
"听众/Na/ZBN_CMN_20010117_wpr/38194",-0.0407433602972443,0.014574600500932,"听众","ZBN","2001","广播 eYada 裁员 纽约 讯 由于 未<br>能 吸引到 许多 <b>听众</b> ，<br>网络 广播 公司 eYada.conc .<br>上 周 裁撤 17","SG"
"读者/Na/ZBN_CMN_20001110_wpr/39406",-0.0645849888005161,-0.0364938362060926,"读者","ZBN","2000","紧急 救难 已经 到 一 段落 ， 关心<br>空难 的 <b>读者</b> ， 也 慢慢<br>地 把 注意 力 从 空难 的","SG"
"读者/Na/ZBN_CMN_20030621_wpr/40309",-0.0204593245072733,-0.0605455741997803,"读者","ZBN","2003",". 交流 》 版 于 6月 14日 刊登<br>的 刘冬华 <b>读者</b> 投函 《<br>隔离 病房 闷热 难受 》 ： 自 4月","SG"
"观众/Na/CNA_CMN_20001219_wpr/56784",-0.0521157296688018,0.113318076276416,"观众","CNA","2000","主持 架势 , 才 刚 出道 就 得到 电视机<br>前 <b>观众</b> 的 青睐 , 并<br>拿到 多 座 金钟 肯定 ,","TW"
"观众/Na/ZBN_CMN_20030707_wpr/37364",0.0639039179993272,0.0912282561728514,"观众","ZBN","2003","主义 武装 分子 占领 莫斯科 一 家 剧院<br>并 将 <b>观众</b> 扣作 人质 后<br>的 一起 最 严重 的 恐怖 袭击","SG"
"观众/Na/CNA_CMN_20001218_wpr/97376",0.0246436880738172,0.00580964813774412,"观众","CNA","2000","听觉 等 多重 元素 于 舞台 的 团体<br>, 让 <b>观众</b> 体验 没有 地域<br>、 语言 限制 的 演出 。 在","TW"
"观众/Na/XIN_CMN_20010119_wpr/37766",0.11764888799384,0.0715494869289865,"观众","XIN","2001",", 来自 墨西哥 最 著名 的 八 座 博物馆<br>, <b>观众</b> 能 欣赏到 玛雅<br>文明 在 建筑 、 雕刻 、 绘画","ML"
"观众/Na/CNA_CMN_20001211_wpr/111592",0.0803954177379518,-0.00103461072070664,"观众","CNA","2000","发行 业者 在商言商 以 追求 利润 为<br>导向 , 而 <b>观众</b> 则 以<br>电影 好看 值回票价 为主 , 因此 「<br>叫好","TW"
"读者/Na/ZBN_CMN_20030825_wpr/81197",-0.0875933803921463,-0.0189818763816349,"读者","ZBN","2003","。 那 是 史学 家 的 责任 ， 非 一般<br><b>读者</b> 能力 所 能 及 ，<br>包括 我 。 我 的","SG"
"观众/Na/XIN_CMN_20001019_wpr/34027",-0.388612969578201,0.297023964518197,"观众","XIN","2000","信息 家电 ” 、 “ 未来 网站 ” 等<br>交互式 <b>观众</b> 参 与 的 活动<br>。 这 次 博览会 将 于","ML"
"读者/Na/ZBN_CMN_20030607_wpr/16937",-0.0601879848633312,-0.0724352561515927,"读者","ZBN","2003","， 赢 取购物 礼券 。 前往 IMM 订阅<br>早报 的 <b>读者</b> ， 不妨 在<br>那里 购物 。 它 拥有 各 种","SG"
"读者/Na/ZBN_CMN_20030526_wpr/58479",-0.0274285675639195,-0.00422841854290755,"读者","ZBN","2003","） 说 ： “ 我们 可以 证实 ， 包括<br>推算 <b>读者</b> 人数 在 内 的<br>所有 调查 工作 ， 都 是","SG"
"读者/Na/ZBN_CMN_20030622_wpr/42810",-0.152490781810253,-0.0187918792692889,"读者","ZBN","2003","个 角色 ， 带动 联想 、 激发 创意<br>， 引导 <b>读者</b> 在 艺术 上<br>的 参与 投入 。 这样 的 构思","SG"
"观众/Na/ZBN_CMN_20001203_wpr/488",0.0302986131616914,-0.0060245508638089,"观众","ZBN","2000","英国 友人 去 看 京 剧 ， 竟 被 其他<br><b>观众</b> 赶出 戏园子 （ 这<br>群 中国人 对 自家人 穿 西装","SG"
"观众/Na/XIN_CMN_20030622_wpr/10769",0.0654570262925289,0.0216017513717692,"观众","XIN","2003",", 很 难 区分 谁 是 演员 , 谁 是<br><b>观众</b> 。 一 个 多 小时<br>的 演出 不知不觉 过去 了","ML"
"读者/Na/XIN_CMN_20030420_wpr/49746",-0.240006665055558,-0.313092599493216,"读者","XIN","2003","自我 保护 意识 。 ( 小标题 ) 治愈者<br>有 免疫力 <b>读者</b> : “ 一<br>个 朋友 得 过 ‘ 非典 ’","ML"
"读者/Na/ZBN_CMN_20001231_wpr/26131",-0.00271222588656875,-0.0611440063389823,"读者","ZBN","2000","。 《 理财 天地 》 自 今年 7月 初<br>请 <b>读者</b> 来函 后 ， 首<br>立 和 渣打 银行 的 财务","SG"
"观众/Na/ZBN_CMN_20030720_wpr/51723",0.174634503353295,-0.159474460837881,"观众","ZBN","2003","上 的 抓狂 …… 等 情节 ， 都 是<br>对 <b>观众</b> 智慧 一 次 又<br>一 次 的 污辱 。 今日","SG"
"观众/Na/ZBN_CMN_20030711_wpr/54601",0.0460797983952572,-0.05443343910013,"观众","ZBN","2003","在 家 里 。 德国 n-tv 电视 频道<br>则 要 <b>观众</b> 就 总理 的<br>决定 拨电 或 发电 邮 表达 看法","SG"
"观众/Na/ZBN_CMN_20030711_wpr/76900",0.00295074339569546,-0.00585045090740672,"观众","ZBN","2003","为 讲 英语 的 受访者 加上 华语 配音<br>， 方便 <b>观众</b> 收看 。 －－<br>李彬 . 看到 钟珊音 昏迷 将近 一","SG"
