"id","x","y","variant","corpus","year","text","lect"
"地位/Na/XIN_CMN_20030920_wpr/33506",-0.0205629234939919,0.014718171051622,"地位","XIN","2003","明确 农村 教育 在 全面 建设 小康社会<br>中 的 重要 <b>地位</b> , 把<br>农村 教育 作为 教育 工作 的 重 中","ML"
"身份/Na/ZBN_CMN_20030715_wpr/17060",0.0534303249329144,-0.201873221331723,"身份","ZBN","2003","昨 下判 一 度 持 “ 朝鲜 新义州 特首<br>” <b>身份</b> 、 中国 富豪 之<br>一 的 杨斌 ， 他 自","SG"
"地位/Na/CNA_CMN_20010108_wpr/5870",-0.0389344273806752,0.0112785468852104,"地位","CNA","2001","中 指出 , 中共 重视 伊朗 作为 地区<br>大国 的 <b>地位</b> 和 作用 ,<br>中 共和 伊朗 也 都 面临 着","TW"
"身份/Na/XIN_CMN_20030801_wpr/31513",0.0177771191378656,0.0274614171008797,"身份","XIN","2003","带回 询问 , 随后 以 “ 三 无 人员<br>” <b>身份</b> 转 送 到 广州市<br>收容 遣送 中 转站 , 在","ML"
"地位/Na/ZBN_CMN_20030601_wpr/47974",-0.057874666306495,-0.149652413855849,"地位","ZBN","2003","结果 尽管 都 入不 了 罪 ， 他 的<br>总督 <b>地位</b> 所 象 征 的<br>尊严 和 诚信 确然 成 了","SG"
"地位/Na/XIN_CMN_20001018_wpr/13303",-0.0156566319522968,0.0150654072669452,"地位","XIN","2000","涉及 老年 教育 的 产生 、 性质 、<br>目的 、 <b>地位</b> 及 社会 功能<br>等 问题 的 研究 , 关于 进一步","ML"
"地位/Na/XIN_CMN_20001128_wpr/64740",-0.0977199695853395,-0.116657874682153,"地位","XIN","2000","剪 了 彩 。 欧安组织 正式 恢复 南<br>联盟 成员国 <b>地位</b> 新华社<br>维也纳 11月 27日 专电 ( 记者 林川<br>) 为期","ML"
"地位/Na/XIN_CMN_20030626_wpr/14758",-0.0583829632450004,0.11544015910416,"地位","XIN","2003","说 。 在 西方 大行其道 的 科幻 ,<br>在 中国 <b>地位</b> 仍然 很 低<br>。 郑文光 17 日 心脏 病 突发","ML"
"地位/Na/ZBN_CMN_20010103_wpr/9814",0.010592402120714,0.0174884200949851,"地位","ZBN","2001","港 、 澳门 及 台湾 的 黑帮 ， 其<br>“ <b>地位</b> ” 等同 “ 法轮<br>功 ” 、 “ 新疆 分离","SG"
"地位/Na/XIN_CMN_20030617_wpr/9225",-0.0177650034419824,0.015862361082635,"地位","XIN","2003","其 科研 体制 和 模式 不同于 美国 目前<br>占 主导 <b>地位</b> 的 较 重视<br>论文 的 模式 。 目前 德国 最","ML"
"地位/Na/CNA_CMN_20001026_wpr/25883",-0.0221338337020126,-0.0219923185560332,"地位","CNA","2000","上网 电子 器材 的 兴起 , 使 微软<br>的 领导 <b>地位</b> 面临 严峻<br>挑战 , 股价 也 跌到 近 一 年","TW"
"身份/Na/CNA_CMN_20030415_wpr/956",0.00523263268152591,-0.012068276285053,"身份","CNA","2003","革 国民 政党 」 代表 金元雄 ， 日前<br>以 密使 <b>身份</b> 访问 平壤<br>， 为 北韩 核悬 案 解套 的 说法","TW"
"身份/Na/ZBN_CMN_20001204_wpr/20424",0.00542694977423035,-0.0281558743834596,"身份","ZBN","2000","地区 的 政治局 势 。 他 是以 行动党<br>秘书长 的 <b>身份</b> ， 在 党<br>大会 上 发表 演讲 。 李显龙 副总理","SG"
"地位/Na/XIN_CMN_20001016_wpr/1897",-0.010919038700484,-0.00106947068460679,"地位","XIN","2000","国家统计局 联合 组织 实施 了 第一 期<br>中国 妇女 社会 <b>地位</b> 调查<br>, 从 法律 、 政治 、 经济 、 婚","ML"
"职位/Na/XIN_CMN_20001122_wpr/22449",0.0352314360361503,-0.0247668903983061,"职位","XIN","2000","和 高级 管理人员 。 这 次 公开 选拔<br>的 副厅级 <b>职位</b> 共 20<br>个 , 分别 是 省委 统 战 部","ML"
"地位/Na/XIN_CMN_20001013_wpr/2073",-0.0909490754008414,0.0310690612980045,"地位","XIN","2000",", 在 世界 上 也 都 占有 很 重要<br>的 <b>地位</b> , 两 国 应 本着<br>日中 联合 声明 的 精神","ML"
"地位/Na/XIN_CMN_20030522_wpr/54826",-0.0633849949287434,-0.0350048373500857,"地位","XIN","2003","武器核查 、 “ 石油 换 食品 ” 计<br>划下 合同 <b>地位</b> 、 联合国<br>作用 以及 美英 对 伊 实施 占领 与","ML"
"地位/Na/XIN_CMN_20001001_wpr/2039",-0.04384926373782,0.0235224657304936,"地位","XIN","2000","中国 更 以 空前 的 速度 向前 发展<br>, 国际 <b>地位</b> 空前 提高<br>, 使 海外 华人 华侨 感到 无比 欢欣鼓舞","ML"
