"id","x","y","variant","corpus","year","text","lect"
"楷模/Na/CNA_CMN_20001202_wpr/86902",-0.0437264881235449,0.0190305559356686,"楷模","CNA","2000","好/VH 的/DE 愿景/Na ,/COMMACATEGORY<br>是/SHI 中华民国/Nc 全体/Na 公务人员/Na<br>学习/VC 的/DE <b>楷模/Na</b><br>。/PERIODCATEGORY 现任/A<br>行政院长/Na 张俊雄/Nb 指出/VE<br>,/COMMACATEGORY 孙运璇/Nb<br>是/SHI 一/Neu 位/Nf","TW"
"模范/Na/ZBN_CMN_20030812_wpr/68305",-0.0628519489716043,-0.177128476605753,"模范","ZBN","2003","在/VCP 家乡/Nc ，/COMMACATEGORY<br>我/Nh 永远/D 是/SHI 乡亲/Na<br>父老/Na 期许/VK 的/DE <b>模范/Na</b><br>，/COMMACATEGORY 永远/D<br>背负/VC 着/Di 无法/D 甩/VC<br>脱/VC 的/DE 社会/Na 眼光/Na","SG"
"典范/Na/CNA_CMN_20010113_wpr/75972",0.0480198638654509,0.0453858464201083,"典范","CNA","2001",",/COMMACATEGORY 建立/VC<br>二十一世纪台/Nc 湾/Nc 农村/Nc<br>果树/Na 栽培/VC 产销/Na 新/VH<br>活力/Na <b>典范/Na</b> 。/PERIODCATEGORY<br>参加/VC 的/DE 学者/Na 和/Caa<br>民众/Na 在/P 古坑/Nc 「/PARENTHESISCATEGORY<br>庵/Nc","TW"
"模范/Na/XIN_CMN_20030618_wpr/19523",-0.111284564655549,-0.0418349758089654,"模范","XIN","2003","《/PARENTHESISCATEGORY<br>解放军/Na 画报/Na 》/PARENTHESISCATEGORY<br>上/Ncd 发表/VC 了/Di 宣传/Na<br>雷/Nb 锋/Na <b>模范/Na</b><br>事迹/Na 的/DE 专题/Na 图片/Na<br>。/PERIODCATEGORY 到/VCL<br>1962年/Nd 8月/Nd 雷锋/Nb<br>牺牲/VJ","ML"
"楷模/Na/ZBN_CMN_20010129_wpr/6671",0.0869343420784707,0.0646424753052351,"楷模","ZBN","2001","：/COLONCATEGORY 新日/Nd<br>经济/Na 伙伴/Na 协定/Na 谈判/Na<br>可/D 作为/Na 双边/A 合作/VH<br><b>楷模/Na</b> 新加坡/Nc 和/Caa<br>日本/Nc 目前/Nd 正在/D 谈判/Na<br>签署/VC 的/DE 双边/A 自由/Na","SG"
"典范/Na/XIN_CMN_20001023_wpr/879",0.119062968947232,0.0348092095432804,"典范","XIN","2000","新/VH 技术/Na 产业/Na ,/COMMACATEGORY<br>都/D 树立/VC 了/Di 中日/Nd<br>合作/VH 的/DE <b>典范/Na</b><br>。/PERIODCATEGORY 日本/Nc<br>也/D 是/SHI 上海/Na 最/Dfa<br>大/VH 的/DE 出口/Nv 市场/Nc","ML"
"典范/Na/XIN_CMN_20030613_wpr/41464",-0.0529727728825559,-0.13845668499134,"典范","XIN","2003","、/PAUSECATEGORY 张锡宪/Nb<br>、/PAUSECATEGORY 刘/Nb<br>永/D 佳/VH 等/Cab 医护/A 人员/Na<br>为/VG <b>典范/Na</b> ,/COMMACATEGORY<br>划出/VC 人生/Na 中/Ng 的/DE<br>一道道/Neqa 彩虹/Na 。/PERIODCATEGORY<br>他/Nh 说/VE","ML"
"标兵/Na/XIN_CMN_20010105_wpr/29736",-0.00723129805104516,0.0111942766655071,"标兵","XIN","2001","组织/Na 的/DE 评选/Nv 表彰/VC<br>,/COMMACATEGORY 除/P 大力/VH<br>宣传/Na 涌现出来/VA 的/DE <b>标兵/Na</b><br>家庭/Na 外/Ng ,/COMMACATEGORY<br>还/D 将/D 在/P 创建/VC 活动/Na<br>有/V_2 基础/VH","ML"
"楷模/Na/CNA_CMN_20030726_wpr/5629",-0.00777158613229048,0.171763784746327,"楷模","CNA","2003","，/COMMACATEGORY 还/D 有/V_2<br>获利/Na 能力/Na 的/DE 企业/Na<br>，/COMMACATEGORY 足堪亚/Nb<br>洲/Nc <b>楷模/Na</b> 。/PERIODCATEGORY<br>亚洲/Nc 金融危机/Na 之前/Nd ，/COMMACATEGORY<br>韩管/Nb 本来/D 只是/D 一/Neu<br>家/Nf","TW"
"标兵/Na/XIN_CMN_20001210_wpr/17990",-0.072386705719744,-0.0393987248256919,"标兵","XIN","2000","劳动/Na 模范/Na 、/PAUSECATEGORY<br>全国三/Nb 八/Neu 红旗/Na 手/Na<br>、/PAUSECATEGORY 三八/VH<br>红旗/Na <b>标兵/Na</b> 。/PERIODCATEGORY<br>她/Nh 领导/Na 的/DE 棉花/Na<br>作务组/Na 被/P 命名为/VG 全国三/Nb<br>八/Neu","ML"
