"id","x","y","variant","corpus","year","text","lect"
"生命/Na/ZBN_CMN_20030718_wpr/46049",-0.00496341230896472,-0.036059761711845,"生命","ZBN","2003","。/PERIODCATEGORY 身心健康/VH<br>的/DE 人/Na ，/COMMACATEGORY<br>都/D 应该/VH 感恩/Nv ，/COMMACATEGORY<br>让/VL <b>生命/Na</b> 活/VH<br>得/DE 更/Dfa 充实/VHC ，/COMMACATEGORY<br>更/Dfa 有/V_2 意义/Na 。/PERIODCATEGORY<br>◇/FW","SG"
"生活/Na/ZBN_CMN_20030709_wpr/36182",-0.00493396339864116,-0.0256577885285273,"生活","ZBN","2003","的/DE 酒店/Nc 服务员/Na ，/COMMACATEGORY<br>也/D 会/D 看到/VC 国人/Na 的/DE<br>真实/Nv <b>生活/Na</b> 面貌/Na<br>。/PERIODCATEGORY 迈向/VCL<br>优雅/VH 社会/Na 是/SHI 个/Nf<br>美好/VH 理想/Na ，/COMMACATEGORY","SG"
"生命/Na/CNA_CMN_20010122_wpr/56353",0.0527917330497203,0.246959531730638,"生命","CNA","2001","可行/VH 的/DE 路/Na 。/PERIODCATEGORY<br>900122/Neu 上海/Nc 黄浦江/Nc<br>将/D 改建成/VG 上海/Na <b>生命/Na</b><br>动脉/Na ︵/FW 中央社/Nc 台北/Nc<br>二十二日/Nd 电/VC ︶/FW 横贯/VH<br>上海/Na 中心/Nc","TW"
"生活/Na/XIN_CMN_20030928_wpr/4044",-0.00869436078205291,0.0456379905817477,"生活","XIN","2003","民航/Na 、/PAUSECATEGORY<br>铁路/Na 运输/VC 中断/VC ,/COMMACATEGORY<br>给/VD 当地/Nc 居民/Na 的/DE<br><b>生活/Na</b> 造成/Nv 严重/Nv<br>影响/Nv 。/PERIODCATEGORY<br>安莎/Nb 社/Nc 人士/Na 说/VE<br>,/COMMACATEGORY 这/Nep","ML"
"生活/Na/CNA_CMN_20001209_wpr/51218",0.0264649089636985,0.0146062305657566,"生活","CNA","2000","家人/Na 脑力/Na 激盪/VA 下/Ng<br>,/COMMACATEGORY 发挥/VJ<br>巧思/Na ,/COMMACATEGORY<br>各/Nes 种/Nf <b>生活/Na</b><br>上/Ncd 的/DE 材料/Na 统统/D<br>被/P 拿来/VC 当成/VG 装饰/Na<br>用品/Na ,/COMMACATEGORY","TW"
"生命/Na/XIN_CMN_20001229_wpr/41569",0.00331996681580481,-0.00379796256354137,"生命","XIN","2000","的/DE 人类/Na 早期/Nd 胚胎/Na<br>也/D 是/SHI 神圣/Na 不可/D<br>侵犯/VC 的/DE <b>生命/Na</b><br>,/COMMACATEGORY 只/Da<br>为了/P 获取/VC 一些/Neqa 有用/VH<br>的/DE 细胞/Na 而/Cbb 创造/VC","ML"
"生命/Na/XIN_CMN_20030507_wpr/45467",-0.0785638406122299,-0.0126846844912287,"生命","XIN","2003","形态学/Na 信息/Na 研究/VC 的/DE<br>实验/Na 平台/Na ,/COMMACATEGORY<br>为/VG 医学/Na 、/PAUSECATEGORY<br><b>生命/Na</b> 科学/Na 等/Cab<br>的/DE 研究/Nv 和/Caa 应用/Na<br>提供/VC 基础/VH 与/Caa 技术/Na","ML"
"生命/Na/ZBN_CMN_20030403_wpr/23373",0.198645757537629,0.0105439885841014,"生命","ZBN","2003","他/Nh 最后/Nd 选择/VC 了/Di<br>跳楼/VA 这/Nep 残忍/VH 的/DE<br>方式/Na 结束/Nv <b>生命/Na</b><br>。/PERIODCATEGORY 4月/Nd<br>8日/Nd 出殡/Nv 玄学/Na 家/Nc<br>有/V_2 话说/Dk 玄学家/Na 麦玲玲/Nb","SG"
"生活/Na/CNA_CMN_20001028_wpr/55064",-0.0568877921899895,-0.13105042170778,"生活","CNA","2000","已经/D 讲/VE 得/DE 相当/Dfa<br>流利/VH ,/COMMACATEGORY<br>并/Cbb 融入/Nv 当地人/Na 的/DE<br><b>生活/Na</b> ,/COMMACATEGORY<br>色拉寺/Na 的/Na 人/Na 都/D<br>和/P 他/Nh 相处/VA 得/DE 很/Dfa","TW"
"生命/Na/ZBN_CMN_20001210_wpr/34362",-0.0384737452840973,-0.0253326459866804,"生命","ZBN","2000","解释/Nv ：/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>哦/I ！/EXCLANATIONCATEGORY<br>我们/Nh 的/DE 老板/Na 非常/Dfa<br>相信/VK <b>生命/Na</b> 科学/Na<br>，/COMMACATEGORY 认为/Nv<br>人类/Na 将来/Nd 能/D 活/VH<br>到/P 百/Neu 岁/Nf","SG"
"生命/Na/CNA_CMN_20001114_wpr/107480",-0.0341049378467391,-0.131727396208763,"生命","CNA","2000","台北/Nc 十四/Neu 日/Nf 电/Na<br>)/PARENTHESISCATEGORY<br>以/P 古典乐/Na 诠释/Na 现代人/Na<br>的/DE <b>生命/Na</b> 视野/Na<br>。/PERIODCATEGORY 十/Neu<br>音/Na 室内乐/Na 创办人/Na 大提琴家/Na<br>张馨心/Nb 将/D 于/P","TW"
"生活/Na/XIN_CMN_20030706_wpr/14798",-0.0333032542653955,0.013163956619727,"生活","XIN","2003",":/COLONCATEGORY 一/Neu<br>是/SHI 社会/Na 效/Na 益/Dfa<br>,/COMMACATEGORY 即/D 提供/VC<br>优质/A <b>生活/Na</b> 燃料/Na<br>、/PAUSECATEGORY 改善/Nv<br>和/Caa 提高/VC 农村/Nc 生活/Na<br>质量/Na 、/PAUSECATEGORY<br>推动/VC","ML"
"生活/Na/ZBN_CMN_20030501_wpr/61163",-0.00215707023156813,-0.0745154319731295,"生活","ZBN","2003","创作/VA 了/Di 不少/VH 打动/VHC<br>人/Na 的/DE 作品/Na ，/COMMACATEGORY<br>却/D 自认/VE <b>生活/Na</b><br>无聊/VH ，/COMMACATEGORY<br>很/Dfa 规律/Na ，/COMMACATEGORY<br>旅行/Na 不能/D 有/V_2 任何/Neqa<br>危险/VH","SG"
"生命/Na/XIN_CMN_20001224_wpr/16340",-0.00120792608746009,0.03354559815726,"生命","XIN","2000","影响/VC 了/Di 达/VJ 州市/Nc<br>社会/Na 稳定/Nv 和/Caa 人民/Na<br>群众/Na 的/DE <b>生命/Na</b><br>财产/Na 安全/Na 。/PERIODCATEGORY<br>在/VCP “/PARENTHESISCATEGORY<br>打黑/VH 除恶/VA ”/PARENTHESISCATEGORY<br>专项/Na 斗争/VC","ML"
"生活/Na/XIN_CMN_20001119_wpr/53487",-0.00630920645659144,-0.0225517083878606,"生活","XIN","2000","中心/Nc 还/D 教/VC 孩子/Na<br>们/Na 学习/VC 刺绣/VA 、/PAUSECATEGORY<br>烹饪/Nv 等/Cab <b>生活/Na</b><br>技能/Na 。/PERIODCATEGORY<br>罗萨/Nb 里/Ng 说/VE ,/COMMACATEGORY<br>孩子/Na 们/Na 到/VCL 了/Di","ML"
"生命/Na/XIN_CMN_20001214_wpr/56189",-0.0442351487709872,-0.0316117823942777,"生命","XIN","2000",",/COMMACATEGORY 从/P 宇宙/Na<br>大爆/VH 炸/VC ,/COMMACATEGORY<br>到/VCL 是否/D 存在/VJ 地外/Na<br><b>生命/Na</b> ,/COMMACATEGORY<br>争论/Na 之中/Ng ,/COMMACATEGORY<br>20世纪/Nd 的/DE 科学/Na 技/Na<br>术/Na 取得/VC","ML"
"生命/Na/ZBN_CMN_20001119_wpr/7636",-0.123272183181895,-0.0230161255052866,"生命","ZBN","2000","，/COMMACATEGORY 这些/Neqa<br>花/VC 了/Di 大笔/Na 钱/Na<br>做/VC 研究/VA 工作/VA 的/DE<br><b>生命/Na</b> 科学/Na 工业/Na<br>，/COMMACATEGORY 在/P 实用/VH<br>产品/Na 推出/VC 要/D 为/VG<br>产品/Na","SG"
"生命/Na/XIN_CMN_20001116_wpr/58085",0.125682746440453,0.176195257585142,"生命","XIN","2000","次/Nf ,/COMMACATEGORY<br>对/P 我/Nh 来说/T ,/COMMACATEGORY<br>治疗/Nv 肾脏病/Na 事业/Na 胜过/VJ<br><b>生命/Na</b> 。/PERIODCATEGORY<br>一/Neu 年/Nf 后/Ng ,/COMMACATEGORY<br>医院/Nc 党委/Na 经过/Na 反覆/D<br>论证/VC","ML"
