"id","x","y","variant","corpus","year","text","lect"
"成份/Na/XIN_CMN_20030718_wpr/39749",-0.10050075117326,0.0186428287831563,"成份","XIN","2003","小标题 ) 深 B 股 可能 进入 调整期<br>本周 深市 <b>成份</b> B 股 在<br>不知不觉 中 创出 两 年 来 新高","ML"
"材料/Na/ZBN_CMN_20030730_wpr/71497",0.0689144473425434,-0.0247632612064421,"材料","ZBN","2003","里 达 前 军营 找到 一 间 工作室 ，<br>囤积 <b>材料</b> 的 问题 才 获得<br>解决 。 在 收集 材料 的","SG"
"原料/Na/XIN_CMN_20001126_wpr/21577",0.0187899590795927,0.0211919592704005,"原料","XIN","2000","前景 的 重点 龙头 企业 , 在 基地<br>建设 、 <b>原料</b> 采购 、 设备<br>引进 和 产品 出口 等 方面 给予","ML"
"材料/Na/XIN_CMN_20030716_wpr/76188",0.111101804358088,-0.0448273111439718,"材料","XIN","2003",", 有的 将 包背装 改为 线装 , 有<br>的 修复 <b>材料</b> 色质 各 异<br>, 修复 时 尽量 完整 保留 成书","ML"
"成分/Na/XIN_CMN_20030518_wpr/1430",-0.0158666093064319,-0.0592410409796083,"成分","XIN","2003","生长 激素 ( HGH ) 等 违禁药物<br>, 以及 不明 <b>成分</b> 的 针剂<br>和 用 过 的 包装盒 、 注射器 等","ML"
"原料/Na/XIN_CMN_20030704_wpr/64326",0.025928454449076,0.0581880645698405,"原料","XIN","2003","淡水鱼类 首 次 出口 。 湖南省 出入境<br>检验 检疫局 对 <b>原料</b> 养殖<br>基地 进行 考查 备案 , 并 加快 进行<br>出口","ML"
"原料/Na/ZBN_CMN_20030603_wpr/3602",0.197528496785061,-0.327668500978471,"原料","ZBN","2003","脉 浮数 。 建议 药膳 ： 白 菜根 葱白汤<br>。 <b>原料</b> ： 大白菜 根 3<br>个 ， 葱白 连 须 2","SG"
"成份/Na/CNA_CMN_20001108_wpr/39163",-0.0637859594339773,-0.0489270450933101,"成份","CNA","2000","PPA ) , 在 近日 外 电报 导 这<br>种 <b>成份</b> 有 导致 出 血性<br>中风 的 危险 , 美国 FDA","TW"
"成分/Na/CNA_CMN_20010113_wpr/9811",-0.325068694567259,-0.0855990417662682,"成分","CNA","2001","缝纫 系统 的 发展 说起来 也 有 些<br>巧合 的 <b>成分</b> ; 当初 德国<br>知名 的 朋驰 汽车 公司 Mercedes<br>Benz","TW"
"成份/Na/CNA_CMN_20001009_wpr/135194",-0.13130349089983,0.0146646577744123,"成份","CNA","2000","中共 等 压力 尚未 定案 , 但 达赖<br>来 的 <b>成份</b> 很 高 。 由于<br>达赖 目前 是 持 印度 所","TW"
