"id","x","y","variant","corpus","year","text","lect"
"议题/Na/CNA_CMN_20001016_wpr/31027",-0.0558211603648938,0.0210437135542859,"议题","CNA","2000","中/Ng ,/COMMACATEGORY<br>特别/VH 将/D 是/SHI 否/T 提出/VC<br>不/D 信任案/Na 列入/VJ <b>议题/Na</b><br>讨论/Na 。/PERIODCATEGORY<br>曾永权/Nb 表示/VE ,/COMMACATEGORY<br>明天/Nd 国民党团/Na 会议/Na 将/P<br>讨论/Na","TW"
"课题/Na/ZBN_CMN_20030710_wpr/58937",0.0301814927142016,-0.0750797442472657,"课题","ZBN","2003","更/D 能/D 顾全/VC 大局/Na 。/PERIODCATEGORY<br>其实/D 不只/D 是/SHI 同性恋/Na<br>的/DE <b>课题/Na</b> ，/COMMACATEGORY<br>生活/Nv 中/Ng 许多/Neqa 其他/Neqa<br>事/Na 情/Na 也/D 都/D 一样/VH","SG"
"主题/Na/CNA_CMN_20001228_wpr/17167",-0.0782747438438676,0.184271153989847,"主题","CNA","2000","发展/Na 值得/VH 重视/VJ 。/PERIODCATEGORY<br>891228/Neu 台中县市/Nc 向/P<br>中央/Nc 争取/VC 建设/Na <b>主题/Na</b><br>商圈/Nc 及/Caa 科学园区/Nc ︵/FW<br>中央社/Nc 记者/Na 李钖璋/Nb 台中市/Nc<br>二十八日电/Na ︶/FW","TW"
"课题/Na/ZBN_CMN_20001016_wpr/16317",0.0163199134680508,-0.0646730427639132,"课题","ZBN","2000","要/D 。/PERIODCATEGORY<br>另外/Cbb ，/COMMACATEGORY<br>他/Nh 也/D 提及/VE 学习/VC<br>语文/Na 的/DE <b>课题/Na</b><br>。/PERIODCATEGORY 当今/Nd<br>世界/Nc 潮流/Na ，/COMMACATEGORY<br>人/Na 们/Na 多/D 热衷/VJ 于/P","SG"
"议题/Na/CNA_CMN_20001130_wpr/144519",-0.0160972287149654,0.00278831660061295,"议题","CNA","2000","以上/Ng 表示/VE 。/PERIODCATEGORY<br>许阳明/Nb 说/VE ,/COMMACATEGORY<br>两岸/Nc 问题/Na 包括/VK 政治性/Na<br><b>议题/Na</b> 和/Caa 务实/VH<br>性交/VA 往/P 等/Cab 议题/Na<br>,/COMMACATEGORY 政治性/Na<br>议题/Na 不/D","TW"
"主题/Na/XIN_CMN_20001020_wpr/64617",0.0286578677857084,0.0334817081790562,"主题","XIN","2000","女性/Na 、/PAUSECATEGORY<br>新机/Na 遇/VK 、/PAUSECATEGORY<br>新/VH 挑战/Nv ”/PARENTHESISCATEGORY<br>这/Nep 一/Neu <b>主题/Na</b><br>,/COMMACATEGORY 分/Nf<br>经济/Na 贸易/Na 、/PAUSECATEGORY<br>社会/Na 服务/Na 、/PAUSECATEGORY<br>教育/VC 、/PAUSECATEGORY","ML"
"主题/Na/XIN_CMN_20010119_wpr/22672",0.028631983654941,0.0113921601234526,"主题","XIN","2001","的/DE 先河/Na ,/COMMACATEGORY<br>以/P “/PARENTHESISCATEGORY<br>西部/Ncd 大/VH 开发/VC ”/PARENTHESISCATEGORY<br>为/VG <b>主题/Na</b> ,/COMMACATEGORY<br>以/P “/PARENTHESISCATEGORY<br>大/VH 创意/Na 、/PAUSECATEGORY<br>大手笔/VH 、/PAUSECATEGORY<br>大/VH 制作/VC","ML"
"主题/Na/ZBN_CMN_20030612_wpr/73453",0.133092009671338,0.0734158174183585,"主题","ZBN","2003","力/Na 的/DE 坚固/Nv 作用/Na<br>。/PERIODCATEGORY 日本/Nc<br>：/COLONCATEGORY Studio/FW<br>NASCA/FW 设计/Na <b>主题/Na</b><br>：/COLONCATEGORY 涡线/Na<br>型/Na 花园/Nc （/PARENTHESISCATEGORY<br>Spiral/FW Park/FW ）/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 整体/D","SG"
"议题/Na/CNA_CMN_20001111_wpr/71183",-0.0411193905754152,-0.000909188517155297,"议题","CNA","2000","对话/Nv 机制/Na ,/COMMACATEGORY<br>确立/Nv 在野/Nv 联盟/Na 制衡/Nv<br>力量/Na ,/COMMACATEGORY<br>继/P <b>议题/Na</b> 合作/VH<br>外/Ng ,/COMMACATEGORY<br>三党/Nb 能否/D 在/P 选举/VC<br>合作/VH ,/COMMACATEGORY<br>更/Dfa","TW"
"主题/Na/ZBN_CMN_20030512_wpr/62392",0.0437990850091845,0.0229774683753599,"主题","ZBN","2003","园林/Na 景观/Na 方面/Na 将/D<br>以/P “/PARENTHESISCATEGORY<br>水陆/Na 交融/VH ”/PARENTHESISCATEGORY<br>为/VG <b>主题/Na</b> ，/COMMACATEGORY<br>园/Nc 内/Ncd 将/D 设/VC 沿/P<br>河/Na 步行/VA 道/VE 、/PAUSECATEGORY","SG"
