"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"案件/Na/CNA_CMN_20010115_wpr/77609",-0.362562096718051,-0.258431001167593,"案件","CNA","2001","品质/Na 和/Caa 运行/VA 效率/Na<br>。/PERIODCATEGORY 900115/Neu<br>贷款人/Na/3.969 还不出/VC/5.173<br>钱/Na 核贷/VC/3.382 <b>案件/Na</b><br>的/DE 前/Nes 农会/Nc 总干事/Na<br>判赔/VD (/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 刘嘉泰/Nb 花莲县/Nc","品质/Na 和/Caa 运行/VA 效率/Na<br>。/PERIODCATEGORY 900115/Neu<br>贷款人/Na/3.969 还不出/VC/5.173<br>钱/Na 核贷/VC/3.382 <b>案件/Na</b><br>的/DE 前/Nes 农会/Nc 总干事/Na<br>判赔/VD (/PARENTHESISCATEGORY<br>中央社/Nc 记者/Na 刘嘉泰/Nb 花莲县/Nc","TW"
"案件/Na/ZBN_CMN_20030823_wpr/418",0.0581232641224205,-0.0431258405785823,"案件","ZBN","2003","男童/Na/1.125 是/SHI 与/P<br>同母/Na 异父/VH 的/DE 妹妹/Na<br>双双/D 遇害/VH/3.361 ，/COMMACATEGORY<br><b>案件/Na</b> 在/P 高庭/Nb/3.639<br>审讯/VC/4.130 时/Ng ，/COMMACATEGORY<br>揭发/VC/2.313 许多/Neqa 令人发指/VH/3.547<br>的/DE 内情/Na/2.849","男童/Na/1.125 是/SHI 与/P<br>同母/Na 异父/VH 的/DE 妹妹/Na<br>双双/D 遇害/VH/3.361 ，/COMMACATEGORY<br><b>案件/Na</b> 在/P 高庭/Nb/3.639<br>审讯/VC/4.130 时/Ng ，/COMMACATEGORY<br>揭发/VC/2.313 许多/Neqa 令人发指/VH/3.547<br>的/DE 内情/Na/2.849","SG"
"官司/Na/ZBN_CMN_20001201_wpr/4961",0.0381270026024125,0.00616304582348619,"官司","ZBN","2000","。/PERIODCATEGORY 双方/Nh<br>订/VC 于/P 美国/Na 时间/Na<br>星期五/Nd/1.675 针对/P 这/Nep/1.639<br>起/Nf/3.880 <b>官司/Na</b><br>进行/VC 口头/Na/2.713 辩护/Nv/2.698<br>。/PERIODCATEGORY 嘲笑/VC<br>邻国/Na 总统/Na/1.391 难产/VA<br>加拿大/Nc 也/D","。/PERIODCATEGORY 双方/Nh<br>订/VC 于/P 美国/Na 时间/Na<br>星期五/Nd/1.675 针对/P 这/Nep/1.639<br>起/Nf/3.880 <b>官司/Na</b><br>进行/VC 口头/Na/2.713 辩护/Nv/2.698<br>。/PERIODCATEGORY 嘲笑/VC<br>邻国/Na 总统/Na/1.391 难产/VA<br>加拿大/Nc 也/D","SG"
"案件/Na/ZBN_CMN_20030430_wpr/10702",0.232249885916095,0.166266644672085,"案件","ZBN","2003","仇/VJ 。/PERIODCATEGORY<br>死者/Na 是/SHI 霹雳州/Nc 三王/Nb<br>的/DE 次/Nes 妻/Na ，/COMMACATEGORY<br><b>案件/Na</b> 的/DE 背后/Nc/1.905<br>有/V_2 牵扯/VC/3.717 了/Di<br>三/Neu 王妃/Na 。/PERIODCATEGORY<br>三王/Nb 拉惹/Nb","仇/VJ 。/PERIODCATEGORY<br>死者/Na 是/SHI 霹雳州/Nc 三王/Nb<br>的/DE 次/Nes 妻/Na ，/COMMACATEGORY<br><b>案件/Na</b> 的/DE 背后/Nc/1.905<br>有/V_2 牵扯/VC/3.717 了/Di<br>三/Neu 王妃/Na 。/PERIODCATEGORY<br>三王/Nb 拉惹/Nb","SG"
"案件/Na/XIN_CMN_20001107_wpr/36644",-0.00735188302390654,-0.0136870567131426,"案件","XIN","2000","兰州/Nc 军区/Nc 各/Nes 法院/Nc/2.439<br>共/Da/1.961 受理/VC/3.975<br>120多/Neu/3.094 个/Nf 委托/Nv<br>执行/Nv/2.082 <b>案件/Na</b><br>,/COMMACATEGORY 其中/Nep/1.256<br>40多/Neu/1.150 个/Nf 案件/Na/2.833<br>得到/Nv 调解/VC/2.398 ,/COMMACATEGORY<br>60多/Neu/1.629 个/Nf","兰州/Nc 军区/Nc 各/Nes 法院/Nc/2.439<br>共/Da/1.961 受理/VC/3.975<br>120多/Neu/3.094 个/Nf 委托/Nv<br>执行/Nv/2.082 <b>案件/Na</b><br>,/COMMACATEGORY 其中/Nep/1.256<br>40多/Neu/1.150 个/Nf 案件/Na/2.833<br>得到/Nv 调解/VC/2.398 ,/COMMACATEGORY<br>60多/Neu/1.629 个/Nf","ML"
"案件/Na/CNA_CMN_20001008_wpr/80397",0.000404047550838362,0.00967078847696736,"案件","CNA","2000","﹐/COMMACATEGORY/1.066<br>群体/Na/1.305 性/Na/1.748<br>治安/Na/3.098 事件/Na 不断/VH<br>增多/Nv/3.278 ﹐/COMMACATEGORY/1.066<br>恶性/A/4.214 刑事/Na/4.797<br><b>案件/Na</b> 频/D/1.759<br>发/VD/1.038 。/PERIODCATEGORY<br>贾春旺/Nb/2.238 是/SHI 在/P<br>巡警/Na/2.038 防暴/Na 警/Na/1.245<br>业务/Na","﹐/COMMACATEGORY/1.066<br>群体/Na/1.305 性/Na/1.748<br>治安/Na/3.098 事件/Na 不断/VH<br>增多/Nv/3.278 ﹐/COMMACATEGORY/1.066<br>恶性/A/4.214 刑事/Na/4.797<br><b>案件/Na</b> 频/D/1.759<br>发/VD/1.038 。/PERIODCATEGORY<br>贾春旺/Nb/2.238 是/SHI 在/P<br>巡警/Na/2.038 防暴/Na 警/Na/1.245<br>业务/Na","TW"
"案件/Na/CNA_CMN_20001103_wpr/146939",0.00910511834961634,0.0738383627652522,"案件","CNA","2000","对/P 台湾/Nc 社会/Na 有/V_2<br>正面/Na 意义/Na ,/COMMACATEGORY<br>从/P 这/Nep/1.122 起/Nf/4.882<br><b>案件/Na</b> 中/Ng 可以/D<br>了解/VK 行政权/Na/1.818 、/PAUSECATEGORY<br>司法权/Na 之间/Ncd 权力/Na 监督/Na<br>、/PAUSECATEGORY","对/P 台湾/Nc 社会/Na 有/V_2<br>正面/Na 意义/Na ,/COMMACATEGORY<br>从/P 这/Nep/1.122 起/Nf/4.882<br><b>案件/Na</b> 中/Ng 可以/D<br>了解/VK 行政权/Na/1.818 、/PAUSECATEGORY<br>司法权/Na 之间/Ncd 权力/Na 监督/Na<br>、/PAUSECATEGORY","TW"
"案件/Na/CNA_CMN_20001225_wpr/88643",-0.0697533183714964,0.0350031051011727,"案件","CNA","2000","︵/FW 镇/Nc ︶/FW 领导/Na<br>干部/Na/1.525 中/Ng 发生/VJ/2.207<br>的/DE 违纪/VH/5.232 违法/Nv/4.672<br><b>案件/Na</b> ,/COMMACATEGORY<br>也/D 要/D 认真/VH 查处/VE/4.819<br>。/PERIODCATEGORY 891225/Neu<br>十二月/Nd 二十五日/Nd 国内/Nc","︵/FW 镇/Nc ︶/FW 领导/Na<br>干部/Na/1.525 中/Ng 发生/VJ/2.207<br>的/DE 违纪/VH/5.232 违法/Nv/4.672<br><b>案件/Na</b> ,/COMMACATEGORY<br>也/D 要/D 认真/VH 查处/VE/4.819<br>。/PERIODCATEGORY 891225/Neu<br>十二月/Nd 二十五日/Nd 国内/Nc","TW"
"案件/Na/XIN_CMN_20001022_wpr/59080",-0.00908874957381109,0.0430688399403156,"案件","XIN","2000","至今/D ,/COMMACATEGORY<br>全/Nes 市/Nc 未/D 发生/VJ/2.207<br>一起/D/2.449 运钞车/Na/2.814<br>被/P 抢/VD/2.085 <b>案件/Na</b><br>,/COMMACATEGORY 还/D 协助/VC<br>公安/Na/1.974 机关/Na/2.155<br>破获/VC/4.455 了/Di 多/VH<br>起/Ng 冒领/VC/3.014","至今/D ,/COMMACATEGORY<br>全/Nes 市/Nc 未/D 发生/VJ/2.207<br>一起/D/2.449 运钞车/Na/2.814<br>被/P 抢/VD/2.085 <b>案件/Na</b><br>,/COMMACATEGORY 还/D 协助/VC<br>公安/Na/1.974 机关/Na/2.155<br>破获/VC/4.455 了/Di 多/VH<br>起/Ng 冒领/VC/3.014","ML"
"案件/Na/CNA_CMN_20001222_wpr/13067",0.0140315697340868,-0.01039220124354,"案件","CNA","2000","时候/Na ,/COMMACATEGORY<br>这/Nep/1.122 是/SHI 非常/Dfa<br>严重/VH/1.466 的/DE 政治/Na<br>、/PAUSECATEGORY 司法/Na/2.846<br><b>案件/Na</b> ,/COMMACATEGORY<br>希/VK 望/VC 司法/Na/2.846<br>单位/Na 出面/VA 调查/Na/2.032<br>,/COMMACATEGORY 赶快/D<br>介入/VC/1.569","时候/Na ,/COMMACATEGORY<br>这/Nep/1.122 是/SHI 非常/Dfa<br>严重/VH/1.466 的/DE 政治/Na<br>、/PAUSECATEGORY 司法/Na/2.846<br><b>案件/Na</b> ,/COMMACATEGORY<br>希/VK 望/VC 司法/Na/2.846<br>单位/Na 出面/VA 调查/Na/2.032<br>,/COMMACATEGORY 赶快/D<br>介入/VC/1.569","TW"
