"id","x","y","variant","corpus","year","text","lect"
"作用/Na/XIN_CMN_20030514_wpr/19066",-0.063004628832807,0.027478559930144,"作用","XIN","2003","府 与 企业 之间 的 桥梁 所 发挥 的<br>积极 <b>作用</b> 。 ( 国际 )<br>新加坡 可能 出现 新 一 轮","ML"
"功能/Na/ZBN_CMN_20030528_wpr/7337",0.213758034347272,-0.0861512343093506,"功能","ZBN","2003","和 白术 。 青 洋参 有 排毒 和解 毒<br>的 <b>功能</b> ； 西 洋参 则<br>有 补肺气 、 降 虚火 、","SG"
"作用/Na/XIN_CMN_20001028_wpr/11140",-0.070683726798174,0.0372364120585318,"作用","XIN","2000","和 用 好 人才 的 政策 、 发挥 科技<br>主导 <b>作用</b> 、 增 加 教育<br>投入 和 加强 文化 卫生 建设","ML"
"功能/Na/XIN_CMN_20001206_wpr/83558",0.0130856741822592,0.0175394427850628,"功能","XIN","2000","服 饰 延续 数千 年 的 “ 保暖 防寒<br>” <b>功能</b> 得到 加强 并 开始<br>为 人类 提供 越来越 多 、","ML"
"作用/Na/XIN_CMN_20030716_wpr/64461",-0.108498218775194,-0.0230570577925444,"作用","XIN","2003","以 讨论 我们 在 伊拉克 战后 重建 工作<br>中 的 <b>作用</b> 问题 , 但是<br>我们 在 有关 派遣 军队 问题 上","ML"
"作用/Na/XIN_CMN_20001204_wpr/64763",-0.0753440675509887,0.0111797053532243,"作用","XIN","2000","政治 思想 工作 和 精神文明 建设 中<br>发挥 核 心 <b>作用</b> ; 在<br>企业 依法 经营 、 依法 纳税 、 依法","ML"
"作用/Na/XIN_CMN_20010102_wpr/49960",-0.0317602473392308,0.0372779050985022,"作用","XIN","2001","其 职能 , 正确 发挥 对 经济 的 宏观<br>调控 <b>作用</b> 。 过去 几十<br>年 里 , 亚洲国 家 政府 在","ML"
"作用/Na/XIN_CMN_20030416_wpr/63553",-0.0445651076798927,0.00352382858745997,"作用","XIN","2003","欧洲 国家 在 伊拉 克 战后 重建 中<br>发挥 关键 <b>作用</b> 。 伊拉克<br>伊斯兰 革命 最 高 委员会 是 伊拉 克","ML"
"作用/Na/XIN_CMN_20030626_wpr/10369",-0.00837370980011218,0.00194860930704457,"作用","XIN","2003","整体 生态环境 的 进一步 提高 有 极<br>大 的 促进 <b>作用</b> , 使<br>这里 真正 成为 “ 熊猫 家园 , 绿色","ML"
"作用/Na/XIN_CMN_20030415_wpr/5382",0.0263056554372605,-0.0843939000009622,"作用","XIN","2003","大陆 乃至 全 世界 产生 的 负面 影响<br>和 消极 <b>作用</b> , 决 非<br>在 短 时间 内 能够 烟消云散 。","ML"
