"id","x","y","variant","corpus","year","text","lect"
"思想/Na/XIN_CMN_20030726_wpr/18693",-0.0392745792694305,-0.0562372393534732,"思想","XIN","2003","大学/Nb 经济学院/Nc 院长/Na 胡代光/Nb<br>认为/VE ,/COMMACATEGORY<br>“/PARENTHESISCATEGORY<br>袁勤生/Nb 的/DE 管理/Na <b>思想/Na</b><br>行/VA 之/DE 有/V_2 效/Na<br>,/COMMACATEGORY 具有/VJ<br>中国/Na 特色/Na ”/PARENTHESISCATEGORY<br>。/PERIODCATEGORY","ML"
"观念/Na/XIN_CMN_20010113_wpr/46117",0.0418904581802954,-0.0105097077531084,"观念","XIN","2001","”/PARENTHESISCATEGORY<br>姓/VG “/PARENTHESISCATEGORY<br>社/Nc ”/PARENTHESISCATEGORY<br>的/DE 思想/Na 和/Caa 小农/Nb<br>经济/Na <b>观念/Na</b> 的/DE<br>束缚/Nv ,/COMMACATEGORY<br>树立/VC 了/Di 与/Caa 社会主义/Na<br>市场/Nc 经济/Na 相/D","ML"
"思想/Na/XIN_CMN_20001117_wpr/12924",0.0119949214864881,-0.00465439096601954,"思想","XIN","2000","的/DE 重/VH 要/D 指导/VC 思想/Na<br>,/COMMACATEGORY 又/D 是/SHI<br>新/VH 时期/Na <b>思想/Na</b><br>政治/Na 工作/Na 的/DE 重要/Nv<br>内容/Na ,/COMMACATEGORY<br>要/D 结/VC 合/VG 人大/Nc","ML"
"理念/Na/XIN_CMN_20030407_wpr/28741",0.0717942313702268,-0.0428611796400811,"理念","XIN","2003","弘扬/VC 民间/Nc 友好/VH 传统/Na<br>,/COMMACATEGORY 使/VL<br>中日/Nd 世代/Na 友好/VH 的/DE<br><b>理念/Na</b> 扎根/VA 于/P<br>人民/Na 。/PERIODCATEGORY<br>温家宝/Nb 强调/VE ,/COMMACATEGORY<br>中日/Nd 双方/Nh 应/D","ML"
"思想/Na/ZBN_CMN_20030515_wpr/53272",0.0156788576355668,-0.0568613584390086,"思想","ZBN","2003","单纯/VH 的/DE 陕北/Nc 老百姓/Na<br>，/COMMACATEGORY 也/D 不/D<br>是/SHI 在/P 毛泽东/Nb <b>思想/Na</b><br>教育/Na 下/Ng 长大/VH 的/DE<br>一代人/Na ，/COMMACATEGORY<br>而是/Cbb 有/V_2 知识/Na 、/PAUSECATEGORY","SG"
"思想/Na/XIN_CMN_20001223_wpr/13455",0.0130329736535532,-0.0080039087815269,"思想","XIN","2000","贯彻/Nv 落实/Nv 江泽民/Nb 同志/Na<br>“/PARENTHESISCATEGORY<br>三/Neu 个/Nf 代表/Na ”/PARENTHESISCATEGORY<br>重要/Nv <b>思想/Na</b> 的/DE<br>具体/Nv 体现/Nv ,/COMMACATEGORY<br>是/SHI 加强/VC 控申/Nb 举报/VE<br>工作/Na 规范/Na","ML"
"思想/Na/XIN_CMN_20010110_wpr/19983",0.0304912541914615,-0.0100148475015792,"思想","XIN","2001","。/PERIODCATEGORY 党/Na<br>的/DE 十四大/Nc 、/PAUSECATEGORY<br>十五大/Nc 以来/Ng 的/DE 宣/VC<br>传/VD <b>思想/Na</b> 工作/Na<br>取得/VC 了/Di 新/VH 经验/Na<br>,/COMMACATEGORY 开创/VC<br>了/Di 新/VH 局面/Na","ML"
"思想/Na/XIN_CMN_20030630_wpr/43960",0.00418598082657122,-0.0107519791795481,"思想","XIN","2003","少年/Na ,/COMMACATEGORY<br>是/SHI 实践/VC “/PARENTHESISCATEGORY<br>三/Neu 个/Nf 代表/Na ”/PARENTHESISCATEGORY<br>重要/Nv <b>思想/Na</b> 的/DE<br>必然/VH 要求/Na ,/COMMACATEGORY<br>是/SHI 保证/Na 我们/Nh 的/DE<br>事业/Na 后继/Na","ML"
"思想/Na/ZBN_CMN_20001007_wpr/32352",0.000441545085768542,0.0130144822618412,"思想","ZBN","2000","在/P 他/Nh 的/DE 回忆录/Na<br>中/Ng 表达/VC 了/Di 自己/VH<br>的/DE 政治/Na <b>思想/Na</b><br>和/Caa 建国/Nc 的/DE 心路历程/Na<br>。/PERIODCATEGORY 四/Neu<br>名/Nf 年轻/Na 的/DE 华文/Na","SG"
"思想/Na/XIN_CMN_20030626_wpr/39030",0.000721983098878515,-0.00829238338274183,"思想","XIN","2003","认识/VC 兴起/Nv 学习/Nv 贯彻/Nv<br>“/PARENTHESISCATEGORY<br>三/Neu 个/Nf 代表/Na ”/PARENTHESISCATEGORY<br>重要/Nv <b>思想/Na</b> 新/VH<br>高潮/Na 的/DE 重大/VH 意义/Na<br>,/COMMACATEGORY 在/P 认真/VH<br>学习/VC 贯彻/Nv","ML"
