"id","x","y","variant","corpus","year","text","lect"
"情况/Na/CNA_CMN_20030603_wpr/2423",-0.0176060231377614,0.0148396615987479,"情况","CNA","2003","」 ， 他 提醒 国会 要 注意到 这 两<br>种 <b>情况</b> 的 不同 。 亲民党<br>主席 宋楚瑜 下午 接受 电视 访问","TW"
"状态/Na/XIN_CMN_20030520_wpr/21554",-0.0790815141457344,-0.0255478297076111,"状态","XIN","2003",", 以色列 全国 20 日 已经 进入 最<br>高 戒备 <b>状态</b> 。 据以 电台<br>报道 , 为 弥补 人力 的 不足","ML"
"局势/Na/ZBN_CMN_20001011_wpr/24246",0.0262995297770509,-0.000291674651826783,"局势","ZBN","2000","的 尊严 ， 而且 还 会 影响到 南斯拉夫<br>的 国内 <b>局势</b> 能否 保持<br>稳定 。 如果 西方 的 让步 能够 换来","SG"
"状况/Na/CNA_CMN_20001227_wpr/88303",0.0149002277173648,-0.0235572604628123,"状况","CNA","2000","银行 三十 家 。 就 全体 国际 金融业<br>务分行 资金 <b>状况</b> 分析 ,<br>资金 来源 以 金融 机构 存款 及 联行","TW"
"情况/Na/XIN_CMN_20030504_wpr/27458",0.0323416878212024,-0.0559695599886456,"情况","XIN","2003","投资 企业 介 绍 对 非典型 肺炎 疫情<br>的 防治 <b>情况</b> 和 预防 措施<br>, 切实 关心 外商 投资 企 业","ML"
"局面/Na/XIN_CMN_20030718_wpr/4555",0.055973733284807,-0.00184380784264728,"局面","XIN","2003","改变 中国 长期 以来 对 该 产品 依赖<br>进口 的 <b>局面</b> 。 该 项目<br>预计 2004年 竣工 , 2005年 投入<br>试","ML"
"形势/Na/XIN_CMN_20001121_wpr/6514",0.0267949225873862,-0.0171201368604237,"形势","XIN","2000","转变为 和解 与 合作 的 关系 。 当前<br>的 朝鲜半岛 <b>形势</b> 要求 祖国<br>统一 泛民族 联盟 进一步 开展 争取 祖国<br>统一","ML"
"情况/Na/CNA_CMN_20001114_wpr/140267",-0.0189791257982157,-0.0386424136526275,"情况","CNA","2000",") 九十年度 中央政府 总预算 已 送 立法院<br>审议 , 审议 <b>情况</b> 尚 不得而知<br>; ( 二 ) 上述 支出 应 系","TW"
"情况/Na/XIN_CMN_20010103_wpr/16214",0.0330624743733142,-0.00401259917203409,"情况","XIN","2001","特别 是 针 对 当前 行贿 犯罪 较 严重<br>的 <b>情况</b> , 加大 了 打击<br>行贿 犯罪 力度 , 去年 共立办","ML"
"情况/Na/CNA_CMN_20001102_wpr/64734",0.0283993679777735,0.256578749883218,"情况","CNA","2000","只 多 一些 的 电力 可以 使 用 ,<br>相差 <b>情况</b> 并 不 多 ,<br>值得 我们 花 几千亿 元 吗","TW"
"势头/Na/XIN_CMN_20030830_wpr/13039",0.0403428647751297,-0.00697242558177247,"势头","XIN","2003","朝鲜 半岛 无 核化 的 原则 , 决定<br>保持 对话 <b>势头</b> , 这 值得<br>肯定 。 各 方 就 朝鲜 半岛","ML"
