"id","x","y","variant","corpus","year","text","lect"
"机构/Na/XIN_CMN_20030915_wpr/60371",-0.0515181027027718,-0.0144096420333264,"机构","XIN","2003","向 伊朗 施压 的 政治 手段 ” 。 国际<br>原子能 <b>机构</b> 理事会 会议<br>12日 通过 决议 , 要求 伊朗 与 国际","ML"
"集团/Na/ZBN_CMN_20030531_wpr/26430",0.047164670791347,-0.00269138596452078,"集团","ZBN","2003","投资 香港 的 酒 店 及 消闲 业务 ；<br>以及 <b>集团</b> 在 出售 非 核心<br>业务 的 同时 ， 却 又","SG"
"团体/Na/XIN_CMN_20030928_wpr/51627",-0.0242484335905736,-0.115978346045169,"团体","XIN","2003","人员 组成 的 留法学 者 二 队 获得<br>了 男子 <b>团体</b> 冠军 , 由<br>法国 东部 中国 留 学生组 成 的","ML"
"集团/Na/XIN_CMN_20001012_wpr/37674",0.195362796984543,0.117045549474059,"集团","XIN","2000","世界杯 男子 乒乓球赛 是 由 国际 乒联<br>与 国际 管理 <b>集团</b> 共 同<br>创办 的 一 项 赛事 , 首 届","ML"
"组织/Na/CNA_CMN_20001108_wpr/74967",-0.0699508868343279,-0.0563351902700835,"组织","CNA","2000","因素 。 声明 中 指出 , 「 国 际<br>飞行员 <b>组织</b> 以 近乎 最<br>强烈 的 措词 , 谴责 在 发生","TW"
"机构/Na/CNA_CMN_20001129_wpr/147133",-0.0473324487574696,-0.0903998912329125,"机构","CNA","2000","联邦 安全局 的 调查 人 员 「 破获<br>美国 特务 <b>机构</b> 的 『 木马<br>』 计划 」 表示 祝贺 。 艾斯塔科夫","TW"
"机构/Na/CNA_CMN_20010131_wpr/105212",0.0630636964643655,0.0253020374002439,"机构","CNA","2001","佔 百分之一 。 资金 去路 方面 , 以<br>存放 金融 <b>机构</b> 及 联行<br>往来 佔 资产 总额 的 百分之五十一 最多<br>(","TW"
"机构/Na/XIN_CMN_20030522_wpr/52409",-0.00019606124376287,0.00143937441257635,"机构","XIN","2003","声明 》 要求 中西非 各 国 政府 同<br>联合国 有关 <b>机构</b> 、 世界<br>与 地区 的 金 融 机构 以及 地区","ML"
"机构/Na/ZBN_CMN_20030712_wpr/47341",0.0368550852782074,0.00170153523897071,"机构","ZBN","2003","中心 的 地位 ， 很多 国 际 性 的<br>金融 <b>机构</b> 都 纷纷 落户<br>浦东 等 地区 ， 国内 很多 银行","SG"
"机构/Na/XIN_CMN_20030514_wpr/7790",-0.00291454921008931,0.0843671633263055,"机构","XIN","2003","由 国家 投资 建设 的 9 个 疾病 预防<br>控制 <b>机构</b> , 除 平罗县<br>疾病 预防 控制 中心 已 建成 投入","ML"
