"id","x","y","variant","corpus","year","text","lect"
"人士/Na/CNA_CMN_20001123_wpr/108251",-0.152269734542431,-0.0134098423914161,"人士","CNA","2000","例如 由 规范 政党 着手 , 包括 政党<br>提名 的 <b>人士</b> 予以 初步<br>筛选 排除 , 借由 政党 自行 规范 ,","TW"
"人类/Na/XIN_CMN_20030710_wpr/23470",0.0241728054158835,-0.00686397199453364,"人类","XIN","2003","2003年度 人类 发展 报告 －－千 年<br>发展 目标 : 消除 <b>人类</b><br>贫困 的 全球 公约 》 。 该 报告 首<br>次","ML"
"人们/Na/XIN_CMN_20030624_wpr/87925",0.0312585050389727,-0.13672608962248,"人们","XIN","2003","不过 , 合 作 和 竞争 的 关系 也<br>是 <b>人们</b> 激烈 争论 的 话题<br>。 “ 在 印度 , 我们","ML"
"人士/Na/ZBN_CMN_20030908_wpr/36326",0.017697625438097,-0.156022287968706,"人士","ZBN","2003","处理 。 公积金 制度 不 够 灵活 ，<br>比如 自雇 <b>人士</b> 的 医药<br>储蓄户 头 已经 达到 顶 限 ， 一些","SG"
"人士/Na/CNA_CMN_20010106_wpr/34031",-0.15220867776011,-0.000343386773483216,"人士","CNA","2001","没有 意见 , 觉得 高山峰 满 可爱 的<br>。 政界 <b>人士</b> 黄主文 的<br>入选 让 现场 观众 几乎 笑歪 了 ,","TW"
"人们/Na/ZBN_CMN_20001228_wpr/7252",0.0370085233163237,-0.029428365666999,"人们","ZBN","2000","引起 一些 火光 。 ” 巴特曼斯湾 的<br>警方 前晚 接到 <b>人们</b> 打来<br>的 电话 。 他们 说 ， 他们 看到 上","SG"
"人们/Na/ZBN_CMN_20030519_wpr/14934",0.0198938924738561,-0.00441916595888786,"人们","ZBN","2003","开始 有 人 通过 药物 来 提高 表现<br>。 现在 <b>人们</b> 为了 逃避<br>药检 ， 更 进一步 利用 基因 改造 的","SG"
"人士/Na/CNA_CMN_20001020_wpr/19855",-0.0566404773567811,-0.0355381648015053,"人士","CNA","2000","的 首肯 。 产经 指出 , 综合 接近<br>李前 总统 <b>人士</b> 的 发言<br>显示 , 李登辉 的 这 项 首肯 是","TW"
"人士/Na/CNA_CMN_20001215_wpr/2068",-0.109738137788367,0.0826954581945909,"人士","CNA","2000","夏汉兰 。 另外 , 饱受 全 美 亚裔<br>和 民权 <b>人士</b> 抗议 的 负面<br>性质 动 画 人物 「 黄 先生","TW"
"人士/Na/CNA_CMN_20001016_wpr/141776",-0.0166233152211392,0.00395619729175078,"人士","CNA","2000","到 大陆 寻求 执业 机会 , 故 香港<br>的 专业 <b>人士</b> 绝不 能 坐视<br>。 被 问及 如果 中共 中央 领导人","TW"
"人们/Na/XIN_CMN_20001118_wpr/34600",0.140693424373045,0.00335475568448819,"人们","XIN","2000","环境 中 生活 和 工作 。 噪声 污染<br>, 干扰 <b>人们</b> 正常 的 工作<br>和 生活 , 甚至 影响 社会 稳","ML"
"人士/Na/ZBN_CMN_20030421_wpr/26993",-0.103354792662022,0.451564127225323,"人士","ZBN","2003","那些 因 沙斯 肺炎 住院 或 留医 观察<br>的 自雇 <b>人士</b> ， 如果 有<br>经济 困难 ， 可 以 向 英勇","SG"
"人类/Na/XIN_CMN_20001106_wpr/27474",0.0506336134248536,0.043139425772718,"人类","XIN","2000","复杂 , 目前 围棋 电脑 软件 还 不能<br>真正 挑战 <b>人类</b> 围棋 高手<br>。 进一步 提高 电脑 围棋 程序 水平<br>,","ML"
"人们/Na/ZBN_CMN_20001213_wpr/13953",0.0617232817797188,-0.0891721858948445,"人们","ZBN","2000","企业 不能 依赖 地方 保护 主义 或是<br>民族 主义 ， <b>人们</b> 对 外来<br>文化 与 传统 文化 的 交流 撞击 更","SG"
"人士/Na/XIN_CMN_20010103_wpr/4756",-0.0911852717892494,0.0959621845095654,"人士","XIN","2001",", 多 为 私人 收藏者 、 电影 机构<br>和 电影界 <b>人士</b> 的 捐赠<br>。 这些 电影 资 料 不仅 是 香港","ML"
"人们/Na/ZBN_CMN_20001204_wpr/308",0.162027156516876,-0.0372143336474713,"人们","ZBN","2000","极 大 的 执政 难题 。 如果 戈尔 当选<br>， <b>人们</b> 也许 会 这样 认为<br>： 美国 目前 享有 如此 繁荣","SG"
"人士/Na/CNA_CMN_20001011_wpr/69855",-0.182658115281737,0.103217402343007,"人士","CNA","2000","虐待 致死 ( 香港 ) 。 公正报 :<br>等候 公屋 <b>人士</b> 或 获租楼<br>津贴 ( 香港 ) 。 经济日报 : 清","TW"
"人们/Na/ZBN_CMN_20001023_wpr/20882",0.0731762393702574,-0.0345553353263982,"人们","ZBN","2000","实事求是 ， 寻求 真理 的 认真 工作<br>态度 ， 改变 <b>人们</b> 对 科研<br>的 态度 和 精神 ， 相信 这 就是","SG"
"人类/Na/XIN_CMN_20030715_wpr/22598",0.0453720730202998,-0.0561424679701065,"人类","XIN","2003","军事 联盟 新华社 技术局 ( 国际 )<br>背景 资料 : <b>人类</b> 与 艾滋病<br>新华社 北京 7月 15日 电 背景 资料<br>:","ML"
"人们/Na/ZBN_CMN_20030607_wpr/40077",0.142414193328767,-0.0547133571673811,"人们","ZBN","2003","见怪不怪 了 。 有 的 中文 电脑 软件<br>就 应 <b>人们</b> 的 需求 ，<br>把 一些 常见 的 生僻 人名用 字","SG"
"人类/Na/CNA_CMN_20001230_wpr/108781",0.0879428956147258,-0.0421454191692294,"人类","CNA","2000","萎缩 , 这 为 以 毒性 较 低 方式<br>治疗 <b>人类</b> 的 癌症 带来<br>了 希望 。 根据 刊登 在 一月号","TW"
"人类/Na/CNA_CMN_20001107_wpr/109873",0.0577786126381125,0.0371889326352054,"人类","CNA","2000","、 风调雨顺 。 另一方面 , 有鑑于 传统<br>道教 文化 在 <b>人类</b> 追求<br>心灵 的 生活 中 , 一直 佔有 不可<br>磨灭","TW"
"人类/Na/XIN_CMN_20001106_wpr/84762",0.0260558970411055,-0.0151428668527402,"人类","XIN","2000","强 的 一 种 组合 。 研究 还 显示<br>, <b>人类</b> 大约 在 4.4<br>万 年前 走出 非 洲 , 向","ML"
"人士/Na/CNA_CMN_20010104_wpr/19057",-0.0761341167105919,-0.0116413356026174,"人士","CNA","2001","部长 以及 与 巴勒斯坦 进行 和平 努力<br>有关 的 政界 <b>人士</b> 组成<br>, 该 内阁 今天 在 阿拉 法特 正面<br>回应","TW"
"人士/Na/CNA_CMN_20001108_wpr/32674",-0.014666829583687,0.181286381851741,"人士","CNA","2000","在 历任 董事长 的 苦心 经营 与 各<br>热心 公益 <b>人士</b> 戮力 奉献<br>下 , 已 奠定 良好 基础 , 目前","TW"
"人士/Na/ZBN_CMN_20001201_wpr/34084",0.00511447063043181,0.0101833994893309,"人士","ZBN","2000","4月 举行 的 专业 教练 课程 后 ，<br>圈 内 <b>人士</b> 便 猜测 国家队<br>教练 可能 换人 。 有 报道 说","SG"
"人士/Na/ZBN_CMN_20030607_wpr/44809",-0.0611749518347468,-0.0916961687903604,"人士","ZBN","2003","迹象 ， 并 提出 了 政策 建议 。 中国<br>业内 <b>人士</b> 称 之 为 “<br>红色 警报 ” 。 与 此","SG"
"人士/Na/XIN_CMN_20030414_wpr/46925",-0.0255698617031562,0.0260343034265667,"人士","XIN","2003","24 小时 热线 电话 ( 英语 ) ,<br>回答 外籍 <b>人士</b> 和 港澳台<br>同胞 有关 问题 ; 省 、 自治区 、","ML"
"人士/Na/XIN_CMN_20010114_wpr/57558",-0.184715999793284,0.112140126651874,"人士","XIN","2001","良好 势头 继续 发展 下去 。 他 希望<br>印度 工商界 <b>人士</b> 把 握<br>机会 , 积极 进取 , 为 开拓 中印","ML"
"人类/Na/ZBN_CMN_20030524_wpr/5173",0.105274128068038,-0.0268289363980193,"人类","ZBN","2003","脆弱 无能 。 如何 提高 自身 的 免疫力<br>功能 是 <b>人类</b> 欲 想 高<br>素质 生存 的 关键 因素 。 因","SG"
"人类/Na/XIN_CMN_20030418_wpr/40411",0.0568689554052897,0.0299449101767933,"人类","XIN","2003","博物馆 遭到 洗劫 深感 遗憾 与 痛惜<br>。 这 是 <b>人类</b> 文明 财富<br>的 重大 损失 。 希望 有关 方面 采取","ML"
"人们/Na/ZBN_CMN_20030719_wpr/36911",0.0451661504124957,-0.0157349424171412,"人们","ZBN","2003","了 先河 ， 也 因为 随着 时间 的 推进<br>， <b>人们</b> 逐渐 从 传媒 的<br>报道 中 认识 及 感染 了","SG"
