"id","x","y","variant","corpus","year","text","lect"
"房子/Na/ZBN_CMN_20030702_wpr/73658",-0.0251697445772664,0.153725098501576,"房子","ZBN","2003","蚊子/Na 总/D 在/P 夜里/Nd 来/D<br>干扰/VC 。/PERIODCATEGORY<br>后来/Nd 另/Nes 租/VD <b>房子/Na</b><br>，/COMMACATEGORY 也/D 备尝/VC<br>冬夜蚊鸣/Na 的/DE 烦躁/VH 。/PERIODCATEGORY<br>有/V_2 人/Na 建议/VC","SG"
"房屋/Na/ZBN_CMN_20030730_wpr/33829",-0.12325217105345,-0.0686033779254446,"房屋","ZBN","2003","的/DE 士兵/Na 突袭/VC 了/Di<br>在/P 当地/Nc 的/DE 另/Nes<br>一/Neu 所/Nf <b>房屋/Na</b><br>，/COMMACATEGORY 了解/VK<br>这/Nep 次/Nf 行动/Na 的/DE<br>军方/Na 官员/Na 说/VE ，/COMMACATEGORY","SG"
"屋子/Na/ZBN_CMN_20030812_wpr/48184",0.00978912886408252,0.0792637164570131,"屋子","ZBN","2003","忽略/VJ 了/Di 装修/Nv 的/DE<br>合法性/Na 。/PERIODCATEGORY<br>建屋局/Nc 提醒/VE ，/COMMACATEGORY<br>确保/Nv <b>屋子/Na</b> 的/DE<br>装修/Nv 符合/VJ 建屋局/Nc 标准/Na<br>是/SHI 买主/Na 的/DE 责任/Na<br>。/PERIODCATEGORY","SG"
"房屋/Na/ZBN_CMN_20001108_wpr/11239",-0.126722539145549,-0.056531656004324,"房屋","ZBN","2000","爆竹/Na 所/D 发出/VC 的/DE<br>火花/Na 乱飞/VA ，/COMMACATEGORY<br>落/VA 在/VCP 附近/Nc <b>房屋/Na</b><br>，/COMMACATEGORY 触发/VJ<br>一/Neu 场/Nf 火患/Na ，/COMMACATEGORY<br>火势/Na 迅速/VH 蔓延/VH 到/P","SG"
"房子/Na/ZBN_CMN_20030919_wpr/62143",-0.0181381995734812,0.101963115848256,"房子","ZBN","2003","。/PERIODCATEGORY 但是/Cbb<br>穷/VH 学校/Nc 请/VF 他/Nh<br>出/VC 点/Nf 钱/Na 修破/Nb<br><b>房子/Na</b> ，/COMMACATEGORY<br>帮/P 穷学生/Na 交/VD 学费/Na<br>，/COMMACATEGORY 他/Nh<br>就/D 突然/D 吞服/VC","SG"
"房子/Na/CNA_CMN_20001218_wpr/61422",-0.210696893238259,0.0330885863887497,"房子","CNA","2000",",/COMMACATEGORY 海南/Nc<br>许多/Neqa 穷/VH 乡/Nc 僻壤/Nc<br>纷纷/D 盖起/VC 不少/VH 新/VH<br><b>房子/Na</b> ,/COMMACATEGORY<br>然而/Cbb 随着/D 走私/VC 日益/D<br>的/DE 猖獗/VH ,/COMMACATEGORY<br>不仅/Cbb 使/VL","TW"
"房子/Na/XIN_CMN_20010125_wpr/18425",-0.0440124137021854,0.0255331118913255,"房子","XIN","2001","’/PARENTHESISCATEGORY<br>;/SEMICOLONCATEGORY 可/D<br>现在/Nd 我/Nh 拥有/VJ 了/Di<br>车/Na 子/Nb 、/PAUSECATEGORY<br><b>房子/Na</b> 和/Caa 自己/VH<br>的/DE 一/Neu 间/Nf 公司/Nc<br>,/COMMACATEGORY 这/Nep<br>一切/Neqa 都/D","ML"
"房子/Na/ZBN_CMN_20030507_wpr/70657",-0.0494949456765246,0.0940375671927622,"房子","ZBN","2003","钟情/VI 的/DE 乐土/Nc 。/PERIODCATEGORY<br>但是/Cbb ，/COMMACATEGORY<br>从/P 去年/Nd 开始/VH ，/COMMACATEGORY<br><b>房子/Na</b> 已经/D 不/D<br>像/VG 原来/D 那样/Dfa 好/VH<br>卖/VD 了/Di 。/PERIODCATEGORY<br>于是/Cbb","SG"
"房子/Na/ZBN_CMN_20030824_wpr/31458",-0.0962089054932283,-0.0582782221657667,"房子","ZBN","2003","座/Nf 建筑物/Na 蔓延/VH 到/P<br>另外/Nes 一/Neu 座/Nf 建筑物/Na<br>，/COMMACATEGORY 一些/Neqa<br><b>房子/Na</b> 因为/Cbb 热度/Na<br>太/Dfa 高/VH 而/Cbb 发生/VJ<br>爆炸/Nv 。/PERIODCATEGORY<br>美国/Nc 俄勒冈州/Nc","SG"
"房子/Na/ZBN_CMN_20030503_wpr/71007",-0.0604459278498284,-0.00665823677816692,"房子","ZBN","2003","，/COMMACATEGORY 他/Nh<br>便/D 和/P 三/Neu 个/Nf 朋友/Na<br>合租/VD 了/Di 栋/Nf <b>房子/Na</b><br>，/COMMACATEGORY 每/Nes<br>个人/Nh 一/Neu 间/Nf 小小/VH<br>的/DE 卧室/Nc 。/PERIODCATEGORY<br>正在/D","SG"
