"id","x","y","variant","corpus","year","text","lect"
"军人/Na/ZBN_CMN_20030724_wpr/37430",-0.106747897238856,0.0857098239282038,"军人","ZBN","2003","但/Cbb 他/Nh 拒绝/VF 透露/VE<br>日期/Na ，/COMMACATEGORY<br>或/Caa 代表团/Na 将/D 对/P<br><b>军人/Na</b> 政府/Na 施加/VC<br>什么/Nep 样/Nf 的/DE 压力/Na<br>。/PERIODCATEGORY 奥普勒/Nb<br>说/VE ：/COLONCATEGORY","SG"
"战士/Na/XIN_CMN_20010102_wpr/3117",0.0514685816894337,-0.109189018266861,"战士","XIN","2001",",/COMMACATEGORY 老师/Na<br>们/Na 满/Dfa 含/VJ 深情/Na<br>地/DE 讲述/VE 着/Di 抗联/Na<br><b>战士/Na</b> 的/DE 感人/VH<br>故事/Na ,/COMMACATEGORY<br>孩子/Na 们/Na 聚精会神/VH 地/DE<br>听/VE 着/Di","ML"
"军人/Na/XIN_CMN_20001010_wpr/37179",0.0120815303156693,-0.0100408681229689,"军人","XIN","2000","的/DE 保安/Na 措施/Na ,/COMMACATEGORY<br>共/Da 派出/VC 5万/Neu 名/Nf<br>警察/Na 和/Caa <b>军人/Na</b><br>在/P 各/Nes 地维/Na 持/VJ<br>治安/Na 。/PERIODCATEGORY<br>欧佩克/Nb 油价/Na 上/Nes 周/Nf","ML"
"士兵/Na/ZBN_CMN_20030429_wpr/27628",0.020271118923023,0.0130162096541976,"士兵","ZBN","2003","的/DE 两/Neu 辆/Nf 美军/Na<br>军车/Na ，/COMMACATEGORY<br>打/VC 伤/VHC 四/Neu 名/Nf<br><b>士兵/Na</b> ，/COMMACATEGORY<br>其中/Nep 一/Neu 人/Na 伤势/Na<br>严重/VH 。/PERIODCATEGORY<br>目前/Nd 还/D 不/D","SG"
"士兵/Na/CNA_CMN_20010115_wpr/163654",0.542062662916871,0.167342903586807,"士兵","CNA","2001","所有/Nv 由/P 牛肉/Na 产品/Na<br>制成/VG 的/DE 储粮/Na ,/COMMACATEGORY<br>且/Cbb 如果/Cbb <b>士兵/Na</b><br>不/D 希望/Na 食用/VC 牛肉/Na<br>食物/Na ,/COMMACATEGORY<br>为/VG 他们/Nh 准备/VC 非/A","TW"
"军人/Na/XIN_CMN_20030410_wpr/65643",-0.162525567966956,-0.00604551087703646,"军人","XIN","2003","地区/Nc ,/COMMACATEGORY<br>而/Cbb 其中/Nep 来自/VJ 拉/VC<br>美/Nc 地区/Nc 的/DE 移民/Nv<br><b>军人/Na</b> 占/VJ 了/Di<br>半数/Neqa 。/PERIODCATEGORY<br>(/PARENTHESISCATEGORY<br>完/VH )/PARENTHESISCATEGORY<br>(/PARENTHESISCATEGORY<br>国际/Nc )/PARENTHESISCATEGORY","ML"
"军人/Na/XIN_CMN_20030716_wpr/37192",-0.0466074224432364,0.052385558024889,"军人","XIN","2003","和/Caa 普林西比/Nb (/PARENTHESISCATEGORY<br>圣普/Nb )/PARENTHESISCATEGORY<br>发生/Nv 军事/Na 政变/Na 。/PERIODCATEGORY<br>政变/Na <b>军人/Na</b> 逮捕/VC<br>了/Di 政府/Na 总理/Na 和/Caa<br>部分/Na 政府/Na 要员/Na 。/PERIODCATEGORY<br>圣普/Nb","ML"
"军人/Na/ZBN_CMN_20010118_wpr/32332",-0.194926641658012,-0.126102732610764,"军人","ZBN","2001","主角/Na 。/PERIODCATEGORY<br>”/PARENTHESISCATEGORY<br>当时/Nd 先进/Na 力量/Na 的/DE<br>代表/Na 《/PARENTHESISCATEGORY<br>黄埔/Nc <b>军人/Na</b> 》/PARENTHESISCATEGORY<br>以/P 20世纪/Nd 20年代/Nd 中/Ng<br>，/COMMACATEGORY 国共/Na<br>两/Neu 党/Na 第一/Neu","SG"
"士兵/Na/CNA_CMN_20001118_wpr/111652",0.0203849459713616,0.00594613248403515,"士兵","CNA","2000","「/PARENTHESISCATEGORY<br>在/P 接下来/D 的/DE 交火/Na<br>中/Ng ,/COMMACATEGORY<br>另外/Nes 两/Neu 名/Nf <b>士兵/Na</b><br>受/P 伤/VHC ,/COMMACATEGORY<br>该/Nes 名/Nf 恐怖/VH 分子/Na<br>被/P 击毙/VC 。/PERIODCATEGORY","TW"
"军人/Na/ZBN_CMN_20010110_wpr/13654",-0.0549598613501815,0.0454173231175396,"军人","ZBN","2001","会谈/VA 曼谷/Nc 法新/Nb 电/Na<br>联合国/Nc 特使/Na 拉扎利/Nb 透露/VE<br>，/COMMACATEGORY 缅甸/Nc<br><b>军人/Na</b> 政府/Na 已经/D<br>同/P 反对党/Na 领袖/Na 翁山淑枝/Nb<br>举行/VC 秘密/Na 高层/Na 会谈/VA","SG"
"军人/Na/CNA_CMN_20001123_wpr/149298",-0.0867815524265071,-0.0444867885316202,"军人","CNA","2000",",/COMMACATEGORY 中兴新村/Nc<br>。/PERIODCATEGORY --/DASHCATEGORY<br>十七时/Nd ,/COMMACATEGORY<br>总统/Na 接见/VC 美国/Na 退伍/VH<br><b>军人/Na</b> 协会/Nc 总会长/Na<br>史密/Nb 斯/Nep 夫妇/Na ,/COMMACATEGORY<br>总统府/Nc 。/PERIODCATEGORY<br>--/DASHCATEGORY 十九时/Nd","TW"
