"id","x","y","variant","corpus","year","text","lect"
"程序/Na/XIN_CMN_20030602_wpr/14704",-0.148636412978968,0.0422626920059311,"程序","XIN","2003","将 把 这些 经验 带回去 来 完善 泰国<br>的 检疫 <b>程序</b> , 尤其 是<br>那 个 能 自动 阅读 健康 申","ML"
"过程/Na/ZBN_CMN_20030709_wpr/76256",0.0617268675048738,-0.0273813558517892,"过程","ZBN","2003","人 感到 失望 ， 但 手术 小组 在 手术<br>的 <b>过程</b> 中 ， 对于 进展<br>却 是 相当 满意 的 。","SG"
"手续/Na/ZBN_CMN_20030505_wpr/54429",-0.108051243622332,-0.00952331132266662,"手续","ZBN","2003","所在 地 畜牧 兽医 部门 和 派出所 办理<br>相关 养犬 <b>手续</b> ， 领取<br>《 犬类 免疫证 》 、 《 犬类 饲养证","SG"
"过程/Na/XIN_CMN_20030906_wpr/17976",0.0516913997178006,-0.0357906583972647,"过程","XIN","2003","山区 周口店镇 龙门村 村民 绿化 用 的<br>蓄水池 。 清理 <b>过程</b> 中<br>, 考古 专家 发现 大 石坑 中 堆积<br>了","ML"
"程序/Na/ZBN_CMN_20030823_wpr/37276",-0.0259098548095376,0.00357038877032295,"程序","ZBN","2003","在 暗 。 文明 社会 大都 有 一 套<br>法律 <b>程序</b> ， 需要 证据<br>确凿 才能 判刑 ， 同时 也 避","SG"
"程序/Na/CNA_CMN_20001031_wpr/23663",-0.177091632108569,-0.0984075587035249,"程序","CNA","2000","罢免法 」 两 项 修正 草案 迳付 二<br>、 三读 <b>程序</b> 。 为 因应<br>今天 的 议事 攻防 , 民进党 一早","TW"
"程序/Na/CNA_CMN_20001207_wpr/40059",-0.0644002295785817,-0.0202071727195975,"程序","CNA","2000","申请 笔迹 鑑定 , 唯有 让 此 案 交付<br>法律 <b>程序</b> , 才 能 还给<br>老太太 及 所有 承租人 一 个","TW"
"程序/Na/XIN_CMN_20001101_wpr/62279",-0.0421447196021825,-0.0154640190100615,"程序","XIN","2000","生产 发生 争议 的 , 按照 有关 法律<br>规定 的 <b>程序</b> 处理 。 在<br>争议 解决 以前 , 任何 一 方","ML"
"程序/Na/ZBN_CMN_20030417_wpr/55308",-0.188861335101429,0.105644184291899,"程序","ZBN","2003","表示 ， 当 新 措施 在 机场 实施 的<br>检疫 <b>程序</b> 顺 畅 后 ，<br>当局 也 会 在 陆路 和","SG"
"程序/Na/CNA_CMN_20030522_wpr/846",-0.0948530139253916,0.0316896203778778,"程序","CNA","2003","疫情 ， 以 降低 民心 的 惶恐 、 订出<br>作业 <b>程序</b> ， 并 加强 指挥<br>体系 ， 也 希望 政府 能","TW"
"手续/Na/CNA_CMN_20001231_wpr/19777",-0.0952268368654831,-0.000776025981478271,"手续","CNA","2000","饲料 产品 要 立即 予以 查封 , 限期<br>补办 有关 <b>手续</b> , 并 做<br>相应 处罚 。 891231 中共 查处<br>生产","TW"
"过程/Na/XIN_CMN_20030510_wpr/28021",0.105159124267749,-0.0761718406764805,"过程","XIN","2003","解除 对 伊拉克 的 制裁 , 但 在 这<br>一 <b>过程</b> 中 必须 考虑 联合国<br>安理 会 关于 伊拉克 问题 的","ML"
"过程/Na/ZBN_CMN_20030404_wpr/73573",0.0103917389523985,0.196016818004546,"过程","ZBN","2003","高 的 清洁 卫生 水准 ， 以 防止 晶圆<br>生产 <b>过程</b> 受 影响 。 特许<br>半导体 的 发言人 说 ， 公司","SG"
"程序/Na/CNA_CMN_20001030_wpr/17187",-0.0594586054533167,-0.0330844592341275,"程序","CNA","2000","去 摧毁 、 变卖 , 未 经 立法院 补办<br>预算 <b>程序</b> , 谁 敢 乱动<br>, 就是 违法 。 他 并且","TW"
"过程/Na/CNA_CMN_20001208_wpr/110216",0.0127113253784979,-0.0483342751503616,"过程","CNA","2000","无法 因应 当前 台海 态势 , 乃 在<br>呈报 修纲 <b>过程</b> 中 , 经<br>国防部 审查 , 认为 项 、 量","TW"
"程序/Na/CNA_CMN_20001025_wpr/17827",-0.0749938659578265,-0.0097818425457816,"程序","CNA","2000","小组 秘书 单位 国科会 制定 的 「 违<br>常 处理 <b>程序</b> 」 , 于<br>九月 召集 情治 单位 人员 讲习 ,","TW"
"程序/Na/CNA_CMN_20010120_wpr/69290",-0.0580582303299141,-0.0259173511473018,"程序","CNA","2001","及 议决 , 行政院 必须 要 按 立法院<br>议决 的 <b>程序</b> 来 做 。<br>对于 废核 条例 等 能源 法案 ,","TW"
"程序/Na/CNA_CMN_20001015_wpr/14252",-0.101852830037173,-0.26022257652797,"程序","CNA","2000","。 891015 中共 官员 称 已 开展<br>WTO 多边 加入 <b>程序</b> ︵<br>中央社 台北 十五日电 ︶ 中共 外 经贸部<br>办公厅 主任","TW"
"过程/Na/ZBN_CMN_20030713_wpr/66500",0.0956120359043194,-0.0730150482606096,"过程","ZBN","2003","的 武器 了 。 异乡 之 歌 在 采访<br>的 <b>过程</b> 中 ， 结识 了<br>一 名 移居 波士顿 多 年","SG"
"程序/Na/CNA_CMN_20001210_wpr/20275",-0.0796638506952997,-0.055997443703067,"程序","CNA","2000","均 遭 法院 驳回 , 司法 体系 内 法律<br>救济 <b>程序</b> 已 穷 。 此<br>案 判决 仅 凭 共同 被告","TW"
"过程/Na/ZBN_CMN_20001107_wpr/14843",0.15529959203407,0.103406484879746,"过程","ZBN","2000","， 相当 遗憾 。 他 进一步 说 ， 飞安会<br>调查 <b>过程</b> 所 遭遇 的 困难<br>， 将 会 和 法务部 、","SG"
"过程/Na/ZBN_CMN_20001008_wpr/24373",0.0787476376823287,0.0557797683323239,"过程","ZBN","2000","时 允许 犯错 ， 短 距离 项目 的 整<br>个 <b>过程</b> 则 要求 完美 ，<br>任何 的 差错 都 可能 影响","SG"
"过程/Na/ZBN_CMN_20030405_wpr/57288",0.0991780716580486,-0.0534447142492148,"过程","ZBN","2003","当然 ， 中国 官员 或者 部门 在 解决<br>问题 的 <b>过程</b> 中 可能 没有<br>表现出 应有 的 紧迫感 ， 但 这","SG"
"程序/Na/ZBN_CMN_20030801_wpr/62872",-0.134964394591378,0.214288343987214,"程序","ZBN","2003","不 是 所有人 。 另一方面 ， 医院 里<br>的 隔离 <b>程序</b> 也 必 须要<br>持续 。 其实 ， 我 更 担心","SG"
"程序/Na/XIN_CMN_20010121_wpr/58553",-0.0765853677419803,-0.0383576450001587,"程序","XIN","2001","公平 、 公正 审判 案件 , 兴安县 法院<br>将 审判 <b>程序</b> 方面 的 法律<br>规定 公布 于 众 。 坚持 周一","ML"
"过程/Na/XIN_CMN_20010114_wpr/25532",-0.0270658477099993,-0.0697149767782052,"过程","XIN","2001","指 计算机 内部 对 数据 进行 处理 并<br>对 处理 <b>过程</b> 进行 控制<br>的 部件 , 伴随 着 大规模集 成 电路","ML"
"过程/Na/XIN_CMN_20030621_wpr/4049",0.282768881857802,-0.0798541095279965,"过程","XIN","2003","的 国家 的 主权 联合 是 一 个 漫长<br>的 <b>过程</b> 。 而 要 建立<br>一 个 “ 大欧 洲 ”","ML"
"过程/Na/CNA_CMN_20001220_wpr/129126",-0.0504333775382459,-0.181279629024808,"过程","CNA","2000","当作 练 兵 、 提昇 士气 来 看 ,<br>若 <b>过程</b> 、 结果 十分 圆满<br>, 党员 投票 又 踊跃 ,","TW"
"过程/Na/CNA_CMN_20001209_wpr/91259",0.188662585071117,0.15859871206824,"过程","CNA","2000","九七 年 修宪 的 前 民进党 主席 许信良<br>回忆 修宪 <b>过程</b> 指出 ,<br>当年 民进党 原本 不 赞成 修宪 朝 双首长制","TW"
"过程/Na/ZBN_CMN_20030828_wpr/70358",0.015364141879672,-0.0476089959541743,"过程","ZBN","2003","改进 医疗 程序 。 双方 将 分享 彼此<br>对 就医 <b>过程</b> 中 去世 病例<br>的 研究 ， 建立 反馈 机制 ，","SG"
"过程/Na/ZBN_CMN_20030605_wpr/45038",0.0356946811605136,0.0744201829947248,"过程","ZBN","2003","为 考察 农民 有 组织 抗争 产生 的<br>原因 、 <b>过程</b> 和 机制 ，<br>专门 “ 在 湖南省 的 H 县","SG"
"程序/Na/CNA_CMN_20001221_wpr/120492",-0.167881606623904,-0.101805017071515,"程序","CNA","2000","做为 研判 的 参考 , 「 难道 中共<br>会 按照 <b>程序</b> 一 步 一<br>步 做 不会 变 ? 」 。","TW"
"过程/Na/XIN_CMN_20001114_wpr/1650",0.0268578131132349,0.0341234945375603,"过程","XIN","2000","将 贯穿 我国 改革 开放 和 现代化 建设<br>的 全 <b>过程</b> 。 发展 是<br>硬 道理 。 经 济 特区 要","ML"
"过程/Na/CNA_CMN_20001009_wpr/79917",-0.190190814815031,0.0879233326587263,"过程","CNA","2000","施政 , 他 比较 在意 的 是 财政 政策<br>决策 <b>过程</b> 的 品质 , 并<br>增加 工商 企业 与 大众 的","TW"
"过程/Na/ZBN_CMN_20001215_wpr/29991",0.269911351327478,-0.0261048921204602,"过程","ZBN","2000","设计师 。 这 期间 还 有 一 个 痛定思痛<br>的 <b>过程</b> 。 她 回忆 说<br>， 学生 时代 ， 她 曾","SG"
"过程/Na/CNA_CMN_20030520_wpr/8537",0.105159124267749,-0.0761718406764805,"过程","CNA","2003","并 不 意外 。 但 他 强调 ， 在 努力<br><b>过程</b> 中 ， 台湾 得到 很多<br>的 支持 ， 特别 是","TW"
"手续/Na/ZBN_CMN_20030410_wpr/73546",-0.165757815105899,-0.0134948539764972,"手续","ZBN","2003","说 ， 胜安 已 安排 人员 在 乘客 办理<br>登机 <b>手续</b> 时 ， 以及 在<br>登机口 检查 乘客 的 健康 状况","SG"
