"id","x","y","variant","corpus","year","text","lect"
"时代/Na/XIN_CMN_20030408_wpr/74321",-0.0337131035899804,0.0461456320548217,"时代","XIN","2003",",/COMMACATEGORY 目前/Nd<br>喜马拉雅/Nb 国际/Nc 登山/Nv 运动/Na<br>正/D 处在/VJ “/PARENTHESISCATEGORY<br>黄金/Na <b>时代/Na</b> ”/PARENTHESISCATEGORY<br>,/COMMACATEGORY 登/VCL<br>山/Na 、/PAUSECATEGORY<br>探险/Nv 运动/Na 正向/VH 业余/Na<br>化/VH","ML"
"时期/Na/ZBN_CMN_20030524_wpr/27311",-0.0241776243970982,-0.0271264186721982,"时期","ZBN","2003","冒险/VA 和/Caa 保留/VC 员工/Na<br>。/PERIODCATEGORY 虽然/Cbb<br>半导体业/Na 正/D 经历/Na 困难/Na<br><b>时期/Na</b> ，/COMMACATEGORY<br>但是/Cbb 他/Nh 从来/D 没想到/D<br>要/D 裁员/VC 。/PERIODCATEGORY<br>他/Nh 希望/Na","SG"
"时代/Na/CNA_CMN_20001007_wpr/2750",0.0433682500168512,0.185435308887155,"时代","CNA","2000",",/COMMACATEGORY 得奖/Na<br>好/VH 作品节/Na 目/Na 「/PARENTHESISCATEGORY<br>曾经/D 」/PARENTHESISCATEGORY<br>将/D 大/VH <b>时代/Na</b><br>的/DE 过往/Na 托出/VC 淡淡/VH<br>哀愁/VH 扣人心弦/VH 温柔/VH 婉约/VH<br>,/COMMACATEGORY 台湾/Nc","TW"
"时期/Na/XIN_CMN_20030610_wpr/31811",-0.0240179574463567,-0.0184115422296565,"时期","XIN","2003","当前/Nd 和/Caa 今后/Nd 几年/Nd<br>是/SHI 实施/Nv 西部大开发/Nb<br>战略/Na 的/DE 重要/Nv <b>时期/Na</b><br>。/PERIODCATEGORY 要/D<br>以/P 邓小平/Nb 理论/Na 和/Caa<br>“/PARENTHESISCATEGORY<br>三/Neu 个/Nf 代表/Na","ML"
"时代/Na/ZBN_CMN_20001010_wpr/1274",-0.146276022670352,-0.0172879494445617,"时代","ZBN","2000","也/D 不/D 是/SHI 不可以/D 有/V_2<br>规则/Na 的/DE 。/PERIODCATEGORY<br>在/P 网络/Na <b>时代/Na</b><br>，/COMMACATEGORY 知识产权/Na<br>的/DE 保护/Nv 规则/Na ，/COMMACATEGORY<br>在/P 英文/Na 世界/Nc 里/Ncd","SG"
"时代/Na/CNA_CMN_20001115_wpr/3904",0.315862995818676,-0.40472841519502,"时代","CNA","2000","总统/Na 失/VJ 败/VH ,/COMMACATEGORY<br>转而/Cbb 经营/VC 地方/Na 建设/Na<br>。/PERIODCATEGORY 密特朗/Nb<br><b>时代/Na</b> ,/COMMACATEGORY<br>由于/Cbb 两/Neu 人/Na 在/P<br>地/Na 下/Ng 抗敌/VA 工作/VA<br>的/DE","TW"
"时代/Na/CNA_CMN_20001218_wpr/74183",-0.144722724445914,-0.0129259273160298,"时代","CNA","2000","进行/VC 第二/Neu 阶段/Na 的/DE<br>转型/Nv 计画/Na ,/COMMACATEGORY<br>配/VD 合/VB 知识经济/Na <b>时代/Na</b><br>朝/P 高科技/Na 、/PAUSECATEGORY<br>高/VH 附加/Nv 价值/Na 的/DE<br>半导体/Na 等/Cab 电子/Na","TW"
"时代/Na/XIN_CMN_20001103_wpr/15968",-0.0663622310335187,0.0316567459634195,"时代","XIN","2000","全国/Nc 农运会/Nc 比/P 以/P<br>往/P 任何/Neqa 一/Neu 届/Nf<br>更/Dfa 具/VJ <b>时代/Na</b><br>色彩/Na 。/PERIODCATEGORY<br>第四/Neu 媒体/Na 网络/Na 首/Nes<br>次/Nf 介入/VC 农运会/Nc ,/COMMACATEGORY","ML"
"时代/Na/XIN_CMN_20030725_wpr/14774",-0.286197561005112,0.290385704162322,"时代","XIN","2003","肺炎/Na 斗争/VC 医疗/Na 卫生/Na<br>人员/Na 中/Ng 的/DE 杰出/VH<br>代表/Na 和/Caa <b>时代/Na</b><br>楷模/Na ,/COMMACATEGORY<br>并/Cbb 在/P 全国/Nc 卫生/Na<br>系统/Na 开展/VC 向/P 他们/Nh","ML"
"时代/Na/XIN_CMN_20001015_wpr/42158",-0.107810757907688,-0.00560751700936672,"时代","XIN","2000","追求/VC 和/Caa 新希望/Nb ,/COMMACATEGORY<br>也/D 听到/VE 了/Di 知/VK 识/VJ<br>经济/Na <b>时代/Na</b> 的/DE<br>足音/Na 正/D 由/P 远/VH 而/Cbb<br>近/Nes 。/PERIODCATEGORY<br>新加坡/Nc 推出/VC","ML"
