"cluster"	"sigcol"
"4"	"高科"
"4"	"技"
"4"	"股"
"4"	"不"
"4"	"看好"
"4"	"以及"
"4"	"通货膨胀"
"4"	"隐忧"
"4"	"对话"
"4"	"不"
"4"	"乐观"
"4"	"鑑于"
"4"	"台湾海崃"
"4"	"不"
"4"	"确定"
"4"	"关系"
"4"	"荆棘"
"4"	"满途"
"4"	"饱受"
"4"	"不"
"4"	"我国"
"4"	"发展"
"4"	"堪虞"
"4"	"资讯"
"4"	"谨慎"
"4"	"消费者"
"4"	"佳"
"4"	"港人"
"4"	"长期"
"4"	"对"
"4"	"充满"
"4"	"忧虑"
"4"	"对"
"4"	"令"
"4"	"对"
"4"	"台港"
"4"	"乐观"
"4"	"势头"
"4"	"台港"
"4"	"关系"
"4"	"对"
"4"	"不"
"4"	"乐观"
"4"	"展现"
"4"	"西藏"
"4"	"广阔"
"4"	"开发"
"4"	"西藏"
"4"	"西藏"
"4"	"投资"
"4"	"看好"
"4"	"开发"
"4"	"储量"
"4"	"十分"
"4"	"发展"
"4"	"广阔"
"4"	"改善"
"4"	"增强"
"4"	"对"
"4"	"亚太"
"4"	"经济"
"4"	"信心"
"4"	"经济"
"4"	"技术合作"
"4"	"乌合"
"4"	"广阔"
"4"	"对"
"4"	"未来"
"4"	"合作"
"4"	"充满"
"4"	"信心"
"4"	"王毅"
"4"	"表示"
"4"	"+"
"4"	"向前"
"4"	"发展"
"4"	"更加"
"4"	"光明"
"4"	"对"
"4"	"香"
"4"	"港"
"4"	"经济"
"4"	"依然"
"4"	"抱有"
"4"	"信心"
"4"	"关系"
"4"	"生命力"
"4"	"广阔"
"4"	"发展"
"4"	"传统"
"4"	"两国"
"4"	"合作"
"4"	"拉克"
"4"	"营业"
"4"	"经济"
"4"	"不"
"4"	"利"
"4"	"股市"
"4"	"经济"
"4"	"企业"
"4"	"业绩"
"4"	"愈发"
"4"	"黯淡"
"4"	"日渐"
"4"	"市场"
"4"	"港澳台"
"4"	"评级"
"4"	"对"
"4"	"港"
"4"	"评级"
"4"	"仍"
"4"	"稳定"
"4"	"对"
"4"	"中东"
"4"	"和平"
"4"	"表示"
"4"	"乐观"
"4"	"双方"
"4"	"对"
"4"	"经营"
"4"	"行业"
"4"	"看法"
"4"	"看"
"4"	"橙色"
"4"	"相当"
"4"	"不妙"
"4"	"发展"
"4"	"经贸"
"4"	"合作"
"4"	"潜力"
"4"	"巨大"
"4"	"广阔"
"4"	"双方"
"4"	"双边"
"4"	"关系"
"4"	"广阔"
"4"	"发展"
"4"	"宾主"
"4"	"发展"
"4"	"两国"
"4"	"关系"
"4"	"表示"
"4"	"对"
"4"	"发展"
"4"	"十分"
"4"	"乐观"
"4"	"坚信"
"4"	"辉煌"
"4"	"等待"
"4"	"亚欧"
"4"	"经贸"
"4"	"合作"
"4"	"探讨"
"4"	"亚欧"
"4"	"经贸"
"4"	"合作"
"4"	"亚欧"
"4"	"亚欧"
"4"	"展现出"
"4"	"更加"
"4"	"辉煌"
"4"	"合作"
"4"	"乌云"
"4"	"深层"
"4"	"勘探"
"4"	"好"
"4"	"聚氨酯"
"4"	"发展"
"4"	"广阔"
"4"	"朝阳"
"4"	"产业"
"4"	"发达国"
"4"	"市场"
"4"	"经贸"
"4"	"关系"
"4"	"现状"
"4"	"和平"
"4"	"黯淡"
"4"	"发展"
"4"	"潜力"
"4"	"巨大"
"4"	"良好"
"4"	"多样性"
"4"	"融合"
"4"	"和平"
"4"	"发展"
"4"	"对"
"4"	"非常"
"4"	"看好"
"4"	"发展"
"4"	"两岸"
"4"	"对话"
"4"	"谈判"
"4"	"对"
"4"	"两岸"
"4"	"对话"
"4"	"谈判"
"4"	"两岸"
"4"	"科技股"
"4"	"乐观"
"4"	"对"
"4"	"深沉"
"4"	"对于"
"4"	"消退"
"4"	"经济"
"4"	"依然"
"4"	"不"
"4"	"明朗"
"4"	"副总理"
"4"	"两国"
"4"	"经贸"
"4"	"商机"
"4"	"挺"
"4"	"置富"
"4"	"置富"
"4"	"2004"
"4"	"．"
"4"	"经济学家"
"4"	"预测"
"4"	"经济"
"4"	"好转"
"4"	"市场"
"4"	"业绩"
"4"	"业者"
"4"	"对"
"4"	"旅游业"
"4"	"表示"
"4"	"乐观"
"4"	"业者"
"4"	"令"
"4"	"纷至沓来"
"4"	"旅游业"
"4"	"辉煌"
"4"	"苗条"
"2"	"今后"
"2"	"能"
"4"	"他们"
"4"	"抱有"
"4"	"他们"
"4"	"夺标"
"2"	"并"
"2"	"能"
"2"	"并"
"4"	"带来"
"4"	"平息"
"4"	"席哈克"
"2"	"政局"
"2"	"他"
"2"	"忙完"
"2"	"能"
"4"	"诱因"
"4"	"给予"
"4"	"智"
"4"	"未来"
"2"	"我们"
"2"	"能"
"2"	"我们"
"2"	"支持"
"2"	"我们"
"4"	"丝织"
"4"	"农会系"
"4"	"台湾"
"2"	"能"
"3"	"不要"
"2"	"表示"
"2"	"法务部"
"2"	"能"
"2"	"此"
"2"	"并"
"3"	"他"
"3"	"届时"
"3"	"不要"
"3"	"他"
"4"	"原本"
"4"	"政府"
"4"	"安理会"
"4"	"机会"
"3"	"他们"
"1"	"陈永淘"
"1"	"道歉"
"1"	"她"
"1"	"陈永淘"
"1"	"能够"
"1"	"主办"
"4"	"跨党派小组"
"4"	"表示"
"4"	"年底"
"4"	"两岸"
"4"	"立场"
"4"	"尽速"
"4"	"改善"
"2"	"侨胞"
"2"	"们"
"2"	"能"
"2"	"善用"
"2"	"侨居地"
"2"	"影响力"
"2"	"继续"
"4"	"年底"
"4"	"抱"
"4"	"寄存"
"4"	"勾勒出"
"4"	"排队"
"4"	"民众"
"4"	"表示"
"4"	"尽快"
"4"	"一睹"
"3"	"客家人"
"3"	"头前溪"
"3"	"孕育出"
"3"	"子民"
"3"	"大家"
"3"	"能"
"3"	"头前溪"
"1"	"期待"
"1"	"就是"
"1"	"双方"
"1"	"能够"
"1"	"互设"
"1"	"透过"
"4"	"林丰正"
"4"	"来电"
"4"	"表示"
"4"	"林丰正"
"4"	"他"
"4"	"沟通"
"4"	"扁连"
"2"	"棒球"
"2"	"谷底"
"2"	"他"
"2"	"能"
"2"	"棒球"
"3"	"和平"
"3"	"诚恳"
"3"	"透过"
"3"	"努力"
"3"	"我们"
"3"	"可以"
"2"	"她"
"2"	"因此"
"2"	"翁岳生"
"2"	"她"
"2"	"能"
"2"	"继续"
"2"	"台湾人"
"2"	"她"
"2"	"未来"
"2"	"两岸"
"2"	"能"
"3"	"他们"
"3"	"陈"
"3"	"他"
"2"	"能"
"3"	"马前卒"
"3"	"他"
"3"	"萧万长"
"3"	"他"
"4"	"内斗"
"4"	"内斗"
"4"	"因此"
"4"	"在野党"
"4"	"大家"
"4"	"能"
"4"	"尽速"
"4"	"他们"
"4"	"他"
"4"	"表示"
"4"	"他"
"4"	"参事"
"4"	"他"
"1"	"分辨出来"
"1"	"因此"
"1"	"有所"
"1"	"能够"
"4"	"恪遵"
"4"	"政府"
"4"	"跳脱"
"4"	"透过"
"4"	"他"
"4"	"表示"
"4"	"光明"
"4"	"民意"
"4"	"对话"
"4"	"因此"
"4"	"未来"
"4"	"能"
"4"	"尽快"
"4"	"沟通"
"4"	"保住"
"4"	"蝉联"
"4"	"球王"
"4"	"领先者"
"3"	"他"
"3"	"以后"
"3"	"机会"
"3"	"连战"
"3"	"致歉"
"3"	"并"
"3"	"连战"
"3"	"帮"
"3"	"他"
"3"	"他"
"3"	"看到"
"3"	"媒体报"
"3"	"陈"
"3"	"连战"
"3"	"致歉"
"3"	"连战"
"4"	"国人"
"4"	"道歉"
"4"	"缓和"
"4"	"原本"
"4"	"林鸿道"
"4"	"能"
"4"	"撑下去"
"4"	"陈政忠"
"4"	"贵"
"4"	"借"
"4"	"此"
"4"	"未来"
"4"	"县府"
"4"	"教育局"
"4"	"多"
"4"	"表示"
"4"	"政府"
"4"	"能"
"4"	"早日"
"4"	"陈"
"4"	"双方"
"4"	"何鸿燊"
"4"	"原博"
"3"	"外界"
"3"	"尊重"
"3"	"遵守"
"4"	"立场"
"4"	"外侨区"
"4"	"两岸"
"2"	"会谈"
"2"	"我们"
"2"	"并"
"2"	"能"
"2"	"重返"
"4"	"撤案"
"3"	"并"
"3"	"併入"
"3"	"他"
"4"	"对立"
"4"	"因此"
"4"	"领养"
"4"	"继续"
"4"	"凝聚"
"4"	"政党"
"4"	"未来"
"4"	"共识"
"4"	"戴者"
"4"	"Acela"
"4"	"Express"
"4"	"未来"
"4"	"推展"
"4"	"妇癌"
"4"	"们"
"4"	"业者"
"4"	"动能"
"4"	"借由"
"4"	"政府"
"4"	"释出"
"4"	"县府"
"4"	"日后"
"4"	"并"
"4"	"业者"
"4"	"民意"
"4"	"务实"
"4"	"透过"
"4"	"凝聚"
"4"	"乐器"
"4"	"奏"
"4"	"乐章"
"4"	"乐器"
"3"	"我"
"3"	"无穷"
"3"	"所以"
"3"	"他"
"4"	"透过"
"4"	"协助"
"4"	"跨党派小组"
"4"	"此"
"4"	"他"
"4"	"继续"
"4"	"推下去"
"4"	"朝向"
"4"	"两岸"
"2"	"就是"
"2"	"将来"
"2"	"犁头山"
"2"	"能"
"4"	"民众"
"4"	"放话"
"4"	"表示"
"4"	"沟通"
"4"	"政府"
"4"	"服务型"
"4"	"政府"
"4"	"解决"
"4"	"沟通"
"3"	"业界"
"3"	"能"
"3"	"大家"
"3"	"他"
"3"	"表示"
"4"	"他"
"4"	"市民"
"4"	"说明文字"
"3"	"未来"
"3"	"不要"
"3"	"太少"
"3"	"当然"
"3"	"我"
"3"	"我们"
"2"	"能"
"2"	"并"
"4"	"借"
"4"	"外界"
"4"	"不要"
"4"	"误解"
"4"	"表示"
"3"	"她"
"3"	"她"
"3"	"出面"
"3"	"解决"
"4"	"业者"
"4"	"优胜劣败"
"4"	"落空"
"4"	"们"
"3"	"继续"
"3"	"努力"
"3"	"大家"
"3"	"不吝"
"3"	"指教"
"3"	"如释重负"
"3"	"她"
"3"	"看到"
"3"	"她"
"3"	"表示"
"3"	"帮"
"3"	"台汽"
"3"	"清达"
"3"	"打气"
"3"	"他"
"3"	"好好"
"1"	"能够"
"2"	"出"
"2"	"殷承宗"
"2"	"能"
"2"	"他"
"1"	"表示"
"1"	"转告"
"1"	"业者"
"1"	"业者"
"1"	"能够"
"4"	"借用"
"4"	"多"
"4"	"有机"
"4"	"他"
"4"	"表示"
"4"	"透过"
"4"	"有奖征答"
"4"	"家属"
"4"	"致歉"
"4"	"通过"
"4"	"国际人权"
"4"	"法典"
"4"	"台湾人权"
"4"	"法典"
"4"	"借"
"4"	"抱"
"2"	"政府"
"2"	"能"
"3"	"能"
"3"	"快点"
"3"	"好好"
"3"	"不要"
"3"	"她"
"3"	"她"
"4"	"政府"
"4"	"曼宁"
"4"	"改革党"
"4"	"借"
"4"	"此"
"4"	"能"
"4"	"政党"
"4"	"进一步"
"4"	"新政府"
"4"	"恢复"
"4"	"巴"
"4"	"高尔"
"4"	"系"
"4"	"他"
"4"	"能"
"4"	"尽快"
"4"	"恢复"
"4"	"他"
"4"	"并"
"4"	"此"
"4"	"愿望"
"4"	"能"
"4"	"早日"
"2"	"大家"
"2"	"她"
"2"	"有关"
"2"	"政府"
"2"	"能"
"2"	"大众"
"3"	"连战"
"3"	"出面"
"3"	"不要"
"3"	"双胞案"
"3"	"张建邦"
"4"	"放宽"
"4"	"失真"
"4"	"改善"
"4"	"并"
