"id","x","y","variant","corpus","year","text","lect"
"任务/Na/XIN_CMN_20030715_wpr/21532",-0.038336524417886,-0.055962680862479,"任务","XIN","2003","他国/Nc 家/Nc 参加/VC 伊拉克/Nc<br>战后/Nd 重建/VC ,/COMMACATEGORY<br>因为/Cbb 这/Nep 个/Nf <b>任务/Na</b><br>十分/Dfa 艰巨/VH ,/COMMACATEGORY<br>不/D 是/SHI 一/Neu 个/Nf<br>国家/Na 所/D 能/D","ML"
"责任/Na/ZBN_CMN_20030415_wpr/94646",0.170932541532733,-0.0646847688904098,"责任","ZBN","2003","地/DE 代/Na 孩子/Na 扛起/VC<br>了/Di 原/D 该/D 属于/VJ 他/Nh<br>的/DE <b>责任/Na</b> 。/PERIODCATEGORY<br>结果/Na 呢/T ，/COMMACATEGORY<br>孩/Na 子/Nb 一/Neu 上/Ncd<br>考场/Nc ，/COMMACATEGORY","SG"
"任务/Na/CNA_CMN_20010115_wpr/56439",-0.0268217172846996,0.0636275940932545,"任务","CNA","2001","只/Da 待/P 政府/Na 号召/Nv<br>一声令下/Nv 即可/VH 出动/VAC<br>赴/VCL 萨国/Nb 执行/VC <b>任务/Na</b><br>。/PERIODCATEGORY 萨国/Nb<br>发生地/Nc 震/VAC 后/Ng ,/COMMACATEGORY<br>基于/P 八十八/Neu 年/Nf 九二一/Neu","TW"
"责任/Na/XIN_CMN_20030610_wpr/25869",0.121469140260736,0.00473353906306922,"责任","XIN","2003","发展/Na 的/DE 权利/Na ;/SEMICOLONCATEGORY<br>发达/VH 国家/Na 应承/VE 担起/VC<br>更多/VH 的/DE <b>责任/Na</b><br>,/COMMACATEGORY 兑现/VC<br>承诺/Na ,/COMMACATEGORY<br>增加/Nv 发展/Na 援助/Na ,/COMMACATEGORY<br>帮助/Na 发展/Na","ML"
"任务/Na/ZBN_CMN_20030427_wpr/25277",-0.0256531035289987,-0.090000251728701,"任务","ZBN","2003","。/PERIODCATEGORY 李/Nb<br>副总理/Na 说/VE ：/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>我们/Nh 当前/Nd 的/DE 首要/Na<br><b>任务/Na</b> 是/SHI 处理/VC<br>沙斯/Nb 课题/Na ，/COMMACATEGORY<br>如果/Cbb 不/D 解决/VC 这/Nep<br>个/Nf","SG"
"任务/Na/XIN_CMN_20001111_wpr/43758",-0.094769911200084,0.00488470969794593,"任务","XIN","2000","公里/Nf 。/PERIODCATEGORY<br>今年/Nd 新修/Nb 改造/VC 3000/Neu<br>公里/Nf 县乡/Nc 公路/Na 的/DE<br><b>任务/Na</b> ,/COMMACATEGORY<br>已/D 完成/VC 98/Neu %/Nf<br>的/DE 路基/Na 和/Caa 56/Neu<br>%/Nf","ML"
"任务/Na/XIN_CMN_20001219_wpr/16064",-0.0182399120803771,-0.0171689818480526,"任务","XIN","2000","把/P 保护/Nv 投资/VC 者/Na<br>利益/VC 作为/Na 监/Na 管/VE<br>的/DE 首要/Na <b>任务/Na</b><br>和/Caa 目标/Na ,/COMMACATEGORY<br>其/Nep 重点/D 是/SHI 保护/Nv<br>中小/A 投资/VC 者/Na","ML"
"任务/Na/XIN_CMN_20030513_wpr/13597",-0.0403533785572151,0.0163870625318228,"任务","XIN","2003","维/Na 和/Caa 部队/Na 已经/D<br>完成/VC 了/Di 俄/Nc 政府/Na<br>交给/VD 的/DE <b>任务/Na</b><br>。/PERIODCATEGORY 从/P<br>军事/Na 角度/Na 讲/VE ,/COMMACATEGORY<br>已经/D 没有/VJ 必要/Na 继续/VA","ML"
"任务/Na/XIN_CMN_20030930_wpr/57635",-0.0287991380502246,0.0341521569108108,"任务","XIN","2003","部队/Na 进入/VCL 该/Nes 国/Nc<br>执行/VC 维/Na 和/Caa 与/P<br>人道/Na 援助/Na <b>任务/Na</b><br>。/PERIODCATEGORY (/PARENTHESISCATEGORY<br>国际/Nc )/PARENTHESISCATEGORY<br>科普/Na :/COLONCATEGORY<br>被动/Nv 吸烟/Nv 让/VL 人/Na","ML"
"任务/Na/XIN_CMN_20030503_wpr/47383",-0.0514569076353286,0.0956498281434939,"任务","XIN","2003","协调/VC 为/P 北京/Nc 无偿/VH<br>提/VE 供/VF 5万/Neu 只/Nf<br>口罩/Na 的/DE <b>任务/Na</b><br>,/COMMACATEGORY 第一/Neu<br>批/Nf 2万/Neu 只/Nf 口罩/Na<br>3/Neu 日/Nf 已/D 运往/VCL","ML"
"任务/Na/CNA_CMN_20001025_wpr/133156",-0.0147937704041792,0.0782480875023943,"任务","CNA","2000","派/Nf 意见/Na 却/D 认为/VE<br>,/COMMACATEGORY SNG/FW<br>车/Na 执行/VH 的/DE 报导/Nv<br><b>任务/Na</b> 是否/D 是/SHI<br>「/PARENTHESISCATEGORY<br>公务/Na 」/PARENTHESISCATEGORY<br>,/COMMACATEGORY 其实/D<br>大/VH 有/V_2 疑问/Na","TW"
"责任/Na/XIN_CMN_20001222_wpr/42940",0.0228106839294569,0.0250306277516714,"责任","XIN","2000","党纪/Na 和/Caa 法律/Na ,/COMMACATEGORY<br>追究/VE 当事人/Na 和/Caa 有关/Nv<br>领导/Na 的/DE <b>责任/Na</b><br>。/PERIODCATEGORY 第二/Neu<br>,/COMMACATEGORY 加大/VC<br>对/P 公开/Nv 考试/Na 考/VC<br>核/Na 与/Caa","ML"
"责任/Na/XIN_CMN_20030909_wpr/38569",0.000553075523063695,0.0207952580954726,"责任","XIN","2003",",/COMMACATEGORY 对/P 直接/VH<br>负责/Nv 的/DE 主管/Na 人员/Na<br>和/P 其他/Neqa 直接/VH <b>责任/Na</b><br>人员/Na ,/COMMACATEGORY<br>依法/VH 给予/Nv 降级/VB 或者/Caa<br>撤职/VB 的/DE 行政/Na 处分/Na","ML"
"任务/Na/XIN_CMN_20001106_wpr/31684",-0.128661256957945,-0.0647687512783902,"任务","XIN","2000","县/Nc (/PARENTHESISCATEGORY<br>森林局/Nc )/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 在/P<br>这些/Neqa 地区/Nc 的/DE 主要/VH<br><b>任务/Na</b> 是/SHI :/COLONCATEGORY<br>全面/Na 停止/Nv 天然/A 林/Nb<br>采伐/VC ;/SEMICOLONCATEGORY<br>加快/VHC 宜林/Nb","ML"
"职责/Na/ZBN_CMN_20010117_wpr/28877",0.0224570572135463,0.0326209496510725,"职责","ZBN","2001","的/DE 改革/Nv 。/PERIODCATEGORY<br>公务员/Na 问/VE 责制/Na 是/SHI<br>对/P 公务员/Na 工作/VA <b>职责/Na</b><br>的/DE 重大/VH 变更/VC ，/COMMACATEGORY<br>使/VL 公务员/Na 变成/VG 要/D<br>为/VG 政策/Na","SG"
"任务/Na/XIN_CMN_20001101_wpr/70501",-0.0248738719714752,-0.0384673705956839,"任务","XIN","2000","维护/Nv 国家/Na 安全/Na 是/SHI<br>阿卡耶夫/Nb 面临/VK 的/DE 另/Nes<br>一/Neu 主要/VH <b>任务/Na</b><br>。/PERIODCATEGORY 最近/Nd<br>两/Neu 年/Nf ,/COMMACATEGORY<br>吉尔吉斯/Nb 连续/D 遭受/P 国际/Nc<br>恐怖/VH","ML"
"任务/Na/XIN_CMN_20030426_wpr/53599",-0.070306458938235,-0.130566123036056,"任务","XIN","2003","对/P 阿拉法特/Nb 的/DE “/PARENTHESISCATEGORY<br>软禁/VC ”/PARENTHESISCATEGORY<br>是/SHI 新/VH 政府/Na 首要/Na<br><b>任务/Na</b> 新华社/Nc 加/VC<br>沙/Na 4月/Nd 26日/Nd 电/Na<br>(/PARENTHESISCATEGORY<br>记者/Na 周轶君/Nb )/PARENTHESISCATEGORY","ML"
"任务/Na/XIN_CMN_20001019_wpr/31391",-0.027928109146786,-0.0256103284235884,"任务","XIN","2000","战略/Na 部署/VC ,/COMMACATEGORY<br>是/SHI 一/Neu 项/Nf 长期/Na<br>而/Cbb 艰巨/VH 的/DE <b>任务/Na</b><br>。/PERIODCATEGORY 西部大开发/Nb<br>也/D 为/P 香港/Nc 各界/Na 人士/Na<br>施展/VC 才干/Na 提供/VC","ML"
"责任/Na/ZBN_CMN_20030427_wpr/32475",0.0312581770361154,-0.0546607362104628,"责任","ZBN","2003","，/COMMACATEGORY 同时/Nd<br>也/D 接受/VC 道德/Na 修正为/VG<br>该/Nes 群体/Na 的/DE 社会/Na<br><b>责任/Na</b> 。/PERIODCATEGORY<br>诚然/D ，/COMMACATEGORY<br>性/Na 本/D 无罪/VH ，/COMMACATEGORY<br>四海/Nc 皆/D 准/VE","SG"
"任务/Na/XIN_CMN_20001227_wpr/25703",-0.0731228501906712,-0.10536176062258,"任务","XIN","2000","名列前茅/VH ,/COMMACATEGORY<br>特别/VH 是/SHI 在/P 金牌/Na<br>榜/Na 上/Ncd 名列前茅/VH ,/COMMACATEGORY<br><b>任务/Na</b> 仍/D 很/Dfa<br>艰巨/VH 。/PERIODCATEGORY<br>董良田/Nb 说/VE ,/COMMACATEGORY<br>各/Nes 省/Nc 之间/Ncd","ML"
"责任/Na/XIN_CMN_20030803_wpr/628",0.0919199535669376,0.062329602173144,"责任","XIN","2003","发生/VJ 在/P 黎巴嫩/Nc 的/DE<br>巴勒斯坦/Nc 难民/Na 被/P 屠杀/VC<br>事件/Na 负有/VJ <b>责任/Na</b><br>。/PERIODCATEGORY 为/VG<br>抗议/Nv 沙龙/Nc 在/P 比利时/Nc<br>遭到/P 起诉/Nv ,/COMMACATEGORY<br>以/Cbb","ML"
"责任/Na/XIN_CMN_20030720_wpr/50456",0.0312692563646137,0.0620979399989081,"责任","XIN","2003","。/PERIODCATEGORY 湖南省/Nc<br>上半年/Nd 16/Neu 名/Nf 地厅级/Na<br>干部/Na 被/P 追究/VE 刑事/Na<br><b>责任/Na</b> 新华社/Nc 长沙/Nc<br>7月/Nd 21日电/Na (/PARENTHESISCATEGORY<br>张/Nf 振中/Nb 吴曦/Nb )/PARENTHESISCATEGORY<br>湖南省/Nc","ML"
"责任/Na/XIN_CMN_20030911_wpr/85699",-0.124650668698229,-0.0429745061428414,"责任","XIN","2003","程阳桥/Nb 景区/Nc 管理处/Nc 隶属于/VG<br>三江县/Nc 程阳桥/Nb 景区/Nc 旅游/Na<br>开发/VC 有限/Nv <b>责任/Na</b><br>公司/Nc ,/COMMACATEGORY<br>该/Nes 公司/Nc 于/P 今年/Nd<br>5月/Nd 初/Ng 成立/VC ,/COMMACATEGORY","ML"
"任务/Na/ZBN_CMN_20010121_wpr/9275",-0.046989159752119,0.0749255727136965,"任务","ZBN","2001","黄/Nb 宏国/Nb （/PARENTHESISCATEGORY<br>52/Neu 岁/Nf ）/PARENTHESISCATEGORY<br>接到/VC 一/Neu 个/Nf 烫手/VH<br><b>任务/Na</b> ：/COLONCATEGORY<br>必须/Nv 到/Caa 伊蚊/Nb 最为/Dfa<br>猖獗/VH 的/DE 景/Na 万岸/Nc<br>和/Caa","SG"
"任务/Na/XIN_CMN_20030630_wpr/6597",-0.0303120379966606,-0.0498095548605639,"任务","XIN","2003","安/Nb 机关/Na 一/Neu 项/Nf<br>长期/Na 、/PAUSECATEGORY<br>艰巨/VH 、/PAUSECATEGORY<br>复杂/VH 的/DE <b>任务/Na</b><br>。/PERIODCATEGORY 目前/Nd<br>,/COMMACATEGORY 还/D 有/V_2<br>一些/Neqa 隐藏/VC 较/Dfa 深/VH<br>的/DE","ML"
"责任/Na/XIN_CMN_20001022_wpr/42852",0.0500517664914479,-0.0573907569248579,"责任","XIN","2000","首脑/Na 会议/Na 的/DE 各/Nes<br>国/Nc 领导人/Na 担负/VC 起/Di<br>民族/Na 的/DE <b>责任/Na</b><br>,/COMMACATEGORY 进/VCL<br>一/Neu 步/Nf 加强/VC 阿拉伯/Nc<br>统一/Nv 和/Caa 团结/Nv ,/COMMACATEGORY","ML"
"责任/Na/XIN_CMN_20030417_wpr/37977",0.0267370035795662,0.0322667207438213,"责任","XIN","2003","工作/Na ,/COMMACATEGORY<br>并/Cbb 逐步/D 建立/VC 和/Caa<br>规范/VC 核查/VC 制度/Na 和/Caa<br><b>责任/Na</b> 追究/VE 制度/Na<br>,/COMMACATEGORY 加强/VC<br>草畜/Na 平衡/Nv 管理/Na 。/PERIODCATEGORY<br>要/D 根据/P","ML"
"责任/Na/CNA_CMN_20001021_wpr/55342",0.0426907410575496,0.0617626178842483,"责任","CNA","2000","、/PAUSECATEGORY 建管处/Nc<br>继续/VA 蒐集/VC 资料/Na ,/COMMACATEGORY<br>依/P 当时法/Na 规/Na 追究/VE<br><b>责任/Na</b> ,/COMMACATEGORY<br>并/Cbb 主动/VH 与/Caa 检方/Na<br>接触/VC ,/COMMACATEGORY<br>收集/Nv 证据/Na 。/PERIODCATEGORY","TW"
"职责/Na/ZBN_CMN_20030820_wpr/41302",-0.0195272675128141,0.00290282139059627,"职责","ZBN","2003","级/Na 巡视/VC 专员/Na 。/PERIODCATEGORY<br>报道/Na 说/VE ，/COMMACATEGORY<br>巡视/VC 工作/VA 的/DE <b>职责/Na</b><br>和/Caa 任务/Na 主要/D 是/SHI<br>对/P 省级/Na 领导/Na 班子/Na<br>及/Caa 其/Nep","SG"
"职责/Na/ZBN_CMN_20030930_wpr/2401",0.18769598065485,-0.24120106373229,"职责","ZBN","2003","就/D 如/P 提供/VC 课室/Nc 上课/VA<br>一样/Ng ，/COMMACATEGORY<br>是/SHI 大学/Na 的/DE <b>职责/Na</b><br>。/PERIODCATEGORY 大学/Nb<br>怎能/D 因/P 课室/Nc 短缺/Nv<br>，/COMMACATEGORY 无/VJ<br>法/Na 开课/VA","SG"
"责任/Na/ZBN_CMN_20001109_wpr/18627",0.124364299715913,0.100811578778156,"责任","ZBN","2000","中正机场/Nc 从头/D 至今/D 一口咬定/VE<br>机场/Nc 没有/D 丝毫/Neqa 的/DE<br>过失/Na 和/Caa <b>责任/Na</b><br>。/PERIODCATEGORY 近日/Nd<br>的/DE 电视/Na 新闻/Na 报道/Na<br>，/COMMACATEGORY 在/P 记者/Na<br>招待会/Na","SG"
"任务/Na/XIN_CMN_20010109_wpr/11640",-0.0278989920967121,0.00339509924074231,"任务","XIN","2001","情况/Na ,/COMMACATEGORY<br>广铁/Na 警方/Na 在/P 完成/VC<br>繁重/VH 的/DE 公安/Na 保卫/VC<br><b>任务/Na</b> 、/PAUSECATEGORY<br>确保/Nv 旅客/Na 生命/Na 财产/Na<br>安全/Nv 和/Caa 铁路/Na 运输/VC<br>生产/Na","ML"
"责任/Na/CNA_CMN_20010118_wpr/109076",0.0360815455653967,-0.0500794880715135,"责任","CNA","2001","与/Caa 对岸/Nc 沟通/VC 解决/VC<br>,/COMMACATEGORY 但/Cbb<br>县营/Na 官船/Na 基于/P 社会/Na<br><b>责任/Na</b> ,/COMMACATEGORY<br>有/V_2 必要/Na 做好/VC 开辟/Nv<br>金厦/Nb 航线/Na 的/DE 准备/Nv<br>。/PERIODCATEGORY","TW"
"任务/Na/ZBN_CMN_20030801_wpr/13048",-0.0621534407382312,0.00796822391075135,"任务","ZBN","2003","先进/Na 的/DE 仪器/Na 如/P<br>监视器/Na 和/Caa 测谎器/Na 等/Cab<br>协助/VC 完成/VC <b>任务/Na</b><br>。/PERIODCATEGORY 在任/VH<br>何时/Nd 候/VC ，/COMMACATEGORY<br>调查官/Na 的/DE 任务/Na 必须/VH<br>是/SHI","SG"
"责任/Na/XIN_CMN_20030813_wpr/44245",-0.116979157468845,-0.0413478373288091,"责任","XIN","2003","凝结/VA 其/Nep 心血/Na 的/DE<br>“/PARENTHESISCATEGORY<br>北京/Nc 博奥/Nb 生物/Na 芯片/Na<br>有限/Nv <b>责任/Na</b> 公司/Nc<br>”/PARENTHESISCATEGORY<br>将/D 举行/VC 剪彩/Nv 仪式/Na<br>,/COMMACATEGORY 各/Nes<br>项/Nf 准备/VC","ML"
"责任/Na/CNA_CMN_20001204_wpr/23209",0.142926208497426,0.210494634025611,"责任","CNA","2000","」/PARENTHESISCATEGORY<br>难道/D 检察/VE 总长/Na 卢仁发/Nb<br>、/PAUSECATEGORY 法务部长/Na<br>陈定南/Nb 都/D 没/VJ <b>责任/Na</b><br>。/PERIODCATEGORY 杜善良/Nb<br>说/VE ,/COMMACATEGORY<br>一般/A 情况/Na ,/COMMACATEGORY<br>监院/Nc 会/D 要求/VF","TW"
"任务/Na/CNA_CMN_20010109_wpr/128580",-0.0783019112227645,-0.00803799983099297,"任务","CNA","2001","这/Nep 个/Nf 更/Dfa 重要/VH<br>的/DE 。/PERIODCATEGORY<br>结束/Nv 一段/Nc 消毒/VC 、/PAUSECATEGORY<br><b>任务/Na</b> 交付/Nv 的/DE<br>致词/Nv 后/Ng ,/COMMACATEGORY<br>连战/Nb 也/D 轻松/VH 地/DE<br>说/VE","TW"
"任务/Na/ZBN_CMN_20030901_wpr/31995",-0.0179636512694116,-0.0804585490169478,"任务","ZBN","2003","平和/Nv 稳定/Nv 是/SHI 世界/Nc<br>每/Nes 个/Nf 国家/Na 面对/VC<br>的/DE 共同/A <b>任务/Na</b><br>，/COMMACATEGORY 也/D 是/SHI<br>经/P 济/VC 发展/Na 和/Caa<br>人民/Na 福利/Na 的/DE","SG"
"责任/Na/CNA_CMN_20030801_wpr/2519",0.0277829109621794,-0.057682025519373,"责任","CNA","2003","，/COMMACATEGORY 因为/Cbb<br>他们/Nh 是/SHI 信仰/Na 的/DE<br>导师/Na ，/COMMACATEGORY<br>主教/Na 有/V_2 <b>责任/Na</b><br>教导/VC 教友/Na 认清/VK 这/Nep<br>个/Nf 社会/Na 现象/Na 。/PERIODCATEGORY<br>同时/Nd 也/D","TW"
"任务/Na/XIN_CMN_20001212_wpr/26545",-0.312298946733694,-0.162698567186419,"任务","XIN","2000","项目/Na 之/DE 一/Neu 。/PERIODCATEGORY<br>近/Nes 几/Neu 年/Nf ,/COMMACATEGORY<br>在/P 军品/Na <b>任务/Na</b><br>锐减/Nv 、/PAUSECATEGORY<br>企业/Na 向/P 现代/VH 企业/Na<br>制度/Na 转轨/Na 的/DE 过程/Na","ML"
"责任/Na/XIN_CMN_20030428_wpr/19527",0.00306401440557786,0.0804620331479169,"责任","XIN","2003","任务/Na ,/COMMACATEGORY<br>军队/Na 支援/Na 地方/Na 医疗/Na<br>力量/Na 是/SHI 义不容辞/VH 的/DE<br><b>责任/Na</b> ,/COMMACATEGORY<br>要求/VF 选调/Na 精兵/Na 强/VH<br>将/P ,/COMMACATEGORY 提供/VC<br>足够/VH 保障/Na","ML"
"责任/Na/ZBN_CMN_20030602_wpr/52311",0.0895213573688944,0.0527977469394921,"责任","ZBN","2003","的/DE 地/Na 下/Ncd 空间/Na<br>；/SEMICOLONCATEGORY 出租人/Na<br>不/D 履行/VC 防/VC 疫/b <b>责任/Na</b><br>的/DE 。/PERIODCATEGORY<br>台/Nc 开展/VC 全民量/Na 体温/Na<br>运动/Na （/PARENTHESISCATEGORY<br>台北/Nc 综合/VC","SG"
"任务/Na/ZBN_CMN_20030810_wpr/69377",-0.0327401891734038,0.0803301457950948,"任务","ZBN","2003","让/VL 大部/Nc 分/Nf 的/DE<br>病患/Na 战胜/VC 病魔/Na 。/PERIODCATEGORY<br>在/P 执行/VC <b>任务/Na</b><br>的/DE 当儿/Nd ，/COMMACATEGORY<br>医疗/VC 队伍/Na 也/D 损兵折/Na<br>将/D ，/COMMACATEGORY 共/Da","SG"
