"id","x","y","variant","corpus","year","text","lect"
"要求/Na/XIN_CMN_20001124_wpr/21712",-0.0800842915975327,-0.0646942886581682,"要求","XIN","2000","类 产品 的 限期 分别 延后 5 年 。<br>协定 <b>要求</b> 信息 科技 领先<br>的 东盟 成员国 帮助 其它 成员国 建设","ML"
"需要/Na/ZBN_CMN_20010101_wpr/19682",0.0993817210065452,-0.129946178365851,"需要","ZBN","2001","自杀 、 自伤 等 ， 他 强调 ， 台湾<br>社会 <b>需要</b> 进行 心 理治疗<br>， 未来学 会 也 将 扮演 服务","SG"
"必要/Na/ZBN_CMN_20001012_wpr/23966",-0.0184009970064891,0.0726607199712887,"必要","ZBN","2000","安 定 ， 因为 有 这 种 地方 ， 没有<br><b>必要</b> 还 故意 结婚 、 一起<br>生活 。 现在 日本 女人","SG"
"需要/Na/CNA_CMN_20010129_wpr/30338",0.0287248222069597,-0.0298876387695393,"需要","CNA","2001","时 说 , 新 世纪 初始 , 考试院 配合<br>业务 <b>需要</b> , 以 有限 的<br>预算 , 改建 老旧 办公厅 舍","TW"
"要求/Na/XIN_CMN_20030502_wpr/9749",-0.0799320172895264,-0.0831650815495161,"要求","XIN","2003","直接 关系 , 也 与 胡图族 反政府武装<br>自身 的 政治 <b>要求</b> 密不可分<br>, 胡图族 人 出任 过渡 政府 总统 并<br>不能","ML"
"要求/Na/CNA_CMN_20001011_wpr/105940",-0.0918030692154789,-0.0796274861117615,"要求","CNA","2000","当地 承租土 地 耕种 的 农民 向 花莲县<br>政府 陈情 <b>要求</b> 优先 购买<br>或 标购 , 全 案 现 正 进行","TW"
"要求/Na/CNA_CMN_20001113_wpr/65970",-0.0399391804006069,-0.0300055771047413,"要求","CNA","2000","有 权 受损 , 没有 理由 不 提出 索赔<br>的 <b>要求</b> 。 」 马来西亚<br>国际 航运 公司 已经 为 这 艘","TW"
"要求/Na/CNA_CMN_20010124_wpr/47070",-0.0502202650552117,0.00636956684327017,"要求","CNA","2001","的 精神 都 属 正常 , 医 院 说 将<br><b>要求</b> 公安 警察 领 曹茂兵<br>出院 , 但 之后 显然 受到","TW"
"要求/Na/XIN_CMN_20030403_wpr/60283",0.117244467912025,-0.108360877075987,"要求","XIN","2003","总结 经验 的 基础 上 , 根据 形势<br>变化 的 <b>要求</b> , 进 一<br>步 扩大 人民 政协报 在 社会 上","ML"
"要求/Na/CNA_CMN_20010114_wpr/91400",-0.0100630363981564,-0.0427202005519371,"要求","CNA","2001","为 中共 新 世纪 的 宣传 工作 定调<br>, 他 <b>要求</b> 宣传 部门 唱<br>好 主旋律 、 打好 主动 仗 。","TW"
"必要/Na/CNA_CMN_20001227_wpr/96018",-0.0182983267282359,-0.000855007462051986,"必要","CNA","2000","陈希煌 已 向 行政院 完整 呈报 , 并<br>决 定于 <b>必要</b> 时 採取 公权力<br>排除 , 他 强调 , 蒜商 应","TW"
"需求/Na/ZBN_CMN_20030503_wpr/53091",0.0416852563613852,0.0428301119217364,"需求","ZBN","2003","一带 的 三 房 式 组屋 有 很 高 的<br><b>需求</b> ， 但 那里 的 供应<br>不 多 ， 因此 许多","SG"
"需要/Na/XIN_CMN_20030430_wpr/74365",0.0688193233040841,-0.0897127702506402,"需要","XIN","2003","的 巴勒斯坦国 。 对 巴勒斯坦 方面 而言<br>, 目前 迫切 <b>需要</b> 解决<br>的 问题 是 避免 和 停止 针对 以 色列","ML"
"要求/Na/CNA_CMN_20001007_wpr/63430",-0.0812594655135654,-0.0188005121684722,"要求","CNA","2000","表示 , 洪淳庆 挪 用 北韩 购 粮 资金<br>而 <b>要求</b> 引渡 , 但 ,<br>泰国 检方 要求 北韩 提 出","TW"
"要求/Na/ZBN_CMN_20001212_wpr/9536",-0.0811795516783142,0.0177863300938058,"要求","ZBN","2000","戈尔 还 会 就 另 一 项 诉讼 ， 即<br><b>要求</b> 不 把 2万5000<br>张 佛州 海外 选票 计入 最后 计票","SG"
"要求/Na/CNA_CMN_20001006_wpr/138591",-0.0278282764087872,-0.00174449311985522,"要求","CNA","2000","栋 房屋 全 毁 , 表达 强烈 不满 ,<br>并 <b>要求</b> 消防局 应 立即<br>改善 。 针对 议员 批评 , 张博卿","TW"
"要求/Na/CNA_CMN_20010109_wpr/138199",-0.0521245470515852,-0.0327322384247026,"要求","CNA","2001","公约 组织 刻正 面临 欧洲 的 会员国<br>及 伙伴 施压 <b>要求</b> 北约<br>在 布鲁塞尔 举行 的 集会 中 , 针对<br>有关","TW"
"必要/Na/ZBN_CMN_20030912_wpr/2348",-0.0140740740375763,0.020467550593953,"必要","ZBN","2003","， 再一次 的 修改 ， 笔者 认为 这<br>是 有 <b>必要</b> 的 ， 因为<br>它 将 更 好 的 从 现时","SG"
"需要/Na/ZBN_CMN_20010116_wpr/29531",0.192237809409704,-0.0130744723297248,"需要","ZBN","2001","， 他 于 去年 12月 27日 抵达 墨尔本<br>， 他 <b>需要</b> 适应 忽热忽冷<br>的 气候 。 亨曼 将 在 次 圈","SG"
"要求/Na/CNA_CMN_20001118_wpr/252",-0.110223993645553,0.00651500611255575,"要求","CNA","2000","前 一 项 裁定 , 在 考量 棕榈滩 等<br>郡 <b>要求</b> 在 回 报 各 郡<br>选票 统计 期限 结束 后","TW"
"需要/Na/XIN_CMN_20001222_wpr/29257",0.0242989415086673,0.0111513400847951,"需要","XIN","2000","审议 , 由于 有 一些 重要 的 不同<br>意见 , <b>需要</b> 进一步 研究<br>、 论证 , 国务院 于 1999年 6月<br>经","ML"
"需要/Na/XIN_CMN_20001031_wpr/5017",0.187258731163911,-0.275534538575434,"需要","XIN","2000","语言文 字 的 规范 和 标准 。 汉语文<br>出版物 中 <b>需要</b> 使用 外国<br>语言文 字 的 , 应当 用国 家 通用","ML"
"需要/Na/ZBN_CMN_20030821_wpr/83177",0.001129538993417,0.0349529799023239,"需要","ZBN","2003","查瓦利 补充 说 ： “ 我们 不能 自满<br>， 我们 <b>需要</b> 时间 寻找<br>他们 。 ” 他 说 ， 调查 工作","SG"
"要求/Na/XIN_CMN_20030425_wpr/74553",0.0122225681227068,-0.0331280615490945,"要求","XIN","2003","少数 违法 经营 者 。 国家 发展 和<br>改革 委员会 <b>要求</b> , 各<br>级 价格 主管 部门 要 加大 行政 执","ML"
"要求/Na/XIN_CMN_20001021_wpr/38244",-0.0633507957170051,-0.0662374548762317,"要求","XIN","2000","。 此次 紧急 特别 会议 是 在 阿拉伯<br>国家 的 <b>要求</b> 和 推动 下<br>召 开 的 。 特写 : 国歌","ML"
"需求/Na/XIN_CMN_20030403_wpr/30065",0.0387864872612385,0.010973022856333,"需求","XIN","2003","经营 低端 产品 以 满足 各 种 层次<br>消费者 的 <b>需求</b> ; 针 对<br>香港 市场 的 竞争 特点 , 国美","ML"
"需要/Na/CNA_CMN_20001014_wpr/71779",0.146352317242661,-0.06389240554682,"需要","CNA","2000","会 有 资产 可 以 挹注 , 提供 广大<br>的 <b>需要</b> 。 颜庆章 说 ,<br>目前 国有 土地 占 国家 土地","TW"
