"cluster"	"sigcol"
"2"	"能够"
"2"	"提醒"
"2"	"心"
"2"	"去除"
"2"	"引起"
"2"	"怀疑"
"2"	"托莫"
"2"	"引发"
"2"	"兴趣"
"2"	"掉以轻心"
"2"	"满足"
"2"	"需求"
"2"	"做活"
"2"	"需求"
"2"	"做活"
"2"	"问"
"2"	"呼吁"
"2"	"挪"
"2"	"盐"
"2"	"摄入量"
"2"	"盐"
"2"	"摄入量"
"2"	"过"
"2"	"更"
"2"	"湖"
"2"	"投食"
"2"	"湖"
"2"	"纷纷"
"2"	"对"
"2"	"反映"
"2"	"消费"
"2"	"观念"
"2"	"趋"
"2"	"自我"
"2"	"鉴别"
"2"	"了解到"
"2"	"值得"
"2"	"尊敬"
"2"	"思考"
"2"	"对"
"2"	"问"
"7"	"普遍"
"2"	"生活"
"2"	"噪声"
"2"	"干扰"
"2"	"生活"
"1"	"歌声"
"1"	"远去"
"1"	"难忘"
"1"	"回忆"
"2"	"受到"
"2"	"越来越"
"2"	"的"
"2"	"需求"
"2"	"满足"
"1"	"千百"
"1"	"家务"
"1"	"喜事"
"2"	"观念"
"2"	"成为"
"2"	"居家"
"2"	"理财"
"2"	"新理念"
"2"	"意识"
"2"	"需要"
"2"	"警惕"
"2"	"糖尿病"
"2"	"流行"
"2"	"回眸"
"2"	"刘荒"
"2"	"当"
"2"	"驻足"
"2"	"回眸"
"2"	"沐浴"
"2"	"高塔"
"2"	"祝福"
"2"	"生活"
"2"	"更加"
"2"	"地"
"2"	"发现"
"2"	"街头"
"2"	"新添"
"2"	"街头"
"2"	"随时"
"2"	"可以"
"2"	"了解到"
"2"	"减少"
"2"	"传染"
"2"	"对"
"2"	"带来"
"2"	"渺茫"
"2"	"探索"
"2"	"追求"
"2"	"振奋"
"2"	"精神"
"2"	"鼓舞"
"2"	"奋发向上"
"2"	"重视"
"2"	"变得"
"2"	"解释"
"2"	"为什么"
"2"	"缠"
"2"	"手杖"
"2"	"蛇"
"2"	"让"
"2"	"欢笑"
"2"	"度过"
"2"	"节日"
"1"	"这里"
"1"	"踏雪"
"1"	"留影"
"1"	"身着"
"1"	"五颜六色"
"1"	"寒"
"1"	"来到"
"2"	"给"
"2"	"储蓄"
"2"	"带来"
"2"	"安格尔"
"2"	"的"
"2"	"不安感"
"2"	"对"
"2"	"陌生"
"2"	"下风"
"2"	"所"
"2"	"担心"
"2"	"应该"
"2"	"尽量"
"2"	"改变"
"2"	"提醒"
"2"	"改变"
"2"	"期望"
"2"	"物质生活"
"2"	"精神"
"2"	"追求"
"2"	"对"
"2"	"号召"
"2"	"犯罪率"
"2"	"越来越"
"2"	"方式"
"2"	"反映"
"2"	"蔺以光"
"2"	"当"
"2"	"睡梦"
"2"	"白花"
"2"	"纷纷"
"2"	"四面八方"
"2"	"这里"
"2"	"秦"
"2"	"肆虐"
"2"	"撞击"
"2"	"着"
"2"	"心灵"
"2"	"悄然"
"2"	"改变"
"2"	"着"
"2"	"生活"
"2"	"再次"
"2"	"使"
"2"	"对"
"2"	"信心"
"1"	"无声"
"1"	"赞叹"
"1"	"欣赏"
"1"	"目光"
"2"	"现实"
"2"	"超出"
"2"	"预期"
"2"	"争论"
"2"	"话题"
"2"	"需要"
"2"	"帮助"
"2"	"道理"
"2"	"着"
"2"	"帮助"
"1"	"程度"
"1"	"赞美"
"2"	"疲惫"
"2"	"顿时"
"2"	"精神"
"2"	"似乎"
"2"	"皮蓬"
"2"	"逐渐"
"2"	"走出"
"2"	"关注"
"2"	"视野"
"2"	"成为"
"2"	"提高"
"2"	"意识"
"2"	"引起"
"2"	"关注"
"2"	"吃"
"2"	"后代"
"2"	"为了"
"2"	"打消"
"2"	"引导"
"2"	"改变"
"2"	"发现"
"2"	"提高"
"2"	"认识"
"2"	"望远镜"
"2"	"展示"
"2"	"星空"
"2"	"奥秘"
"2"	"天文"
"2"	"望远镜"
"1"	"街头"
"1"	"步行"
"1"	"穿梭"
"2"	"迈克尔"
"2"	"布朗"
"2"	"呼吁"
"2"	"飓风"
"2"	"掉"
"2"	"警惕"
"5"	"广泛"
"5"	"认可"
"2"	"变化"
"2"	"当"
"1"	"意料"
"2"	"改变"
"2"	"对"
"2"	"精神"
"2"	"观念"
"2"	"受到"
"2"	"关"
"2"	"注"
"2"	"对"
"2"	"意念"
"2"	"思想"
"2"	"岁月"
"2"	"它"
"2"	"地"
"2"	"感动"
"2"	"的"
"2"	"心灵"
"2"	"千百"
"2"	"腐败"
"2"	"当"
"2"	"矛头"
"2"	"帮助"
"2"	"受难"
"2"	"也许"
"2"	"感到"
"2"	"多少"
"2"	"给"
"2"	"的"
"2"	"心灵"
"2"	"带来"
"2"	"如何"
"2"	"价值观"
"2"	"也许"
"2"	"不能"
"2"	"对"
"2"	"外来"
"2"	"撞击"
"2"	"引起"
"2"	"打来"
"2"	"看到"
"2"	"趁"
"2"	"小心"
"2"	"准"
"2"	"到头来"
"1"	"不"
"1"	"清楚"
"1"	"不幸"
"2"	"动用"
"2"	"超音波"
"2"	"扫瞄"
"2"	"患上"
"2"	"心脏病"
"2"	"引起"
"2"	"关注"
"2"	"心"
"2"	"既是"
"2"	"新鲜"
"2"	"场所"
"2"	"脏"
"2"	"着"
"2"	"给"
"2"	"它"
"2"	"它"
"1"	"菊花"
"1"	"北紫草"
"1"	"抢购"
"1"	"供不应求"
"2"	"预防"
"2"	"眼前"
"2"	"思维"
"1"	"意料"
"2"	"高难度"
"2"	"鼓励"
"2"	"目地"
"2"	"减少"
"2"	"理解"
"2"	"心理"
"2"	"担心"
"2"	"恐惧"
"2"	"让"
"2"	"厕所"
"2"	"上网"
"2"	"信息"
"2"	"方式"
"2"	"爆炸性"
"2"	"改变"
"2"	"可以"
"2"	"现在"
"2"	"鼓励"
"2"	"消费"
"2"	"能够"
"2"	"帮助"
"2"	"眼前"
"2"	"正确"
"2"	"地"
"2"	"认识"
"2"	"沙斯"
"2"	"正确"
"2"	"观念"
"2"	"知道"
"2"	"自杀"
"2"	"担心"
"2"	"而是"
"2"	"对"
"2"	"提高"
"2"	"现在"
"2"	"为了"
"2"	"药检"
"2"	"更"
"2"	"利用"
"2"	"更"
"2"	"余福金"
"2"	"劝"
"2"	"清楚"
"2"	"购"
"2"	"需要"
"2"	"新款式"
"2"	"刺激"
"2"	"换车"
"2"	"欲望"
"2"	"需求"
"2"	"见怪不怪"
"2"	"需求"
"2"	"常见"
"2"	"需要"
"2"	"期待"
"2"	"等待"
"2"	"它"
"2"	"它"
"2"	"思想"
"2"	"大跃进"
"2"	"从"
"2"	"处处"
"2"	"言论"
"2"	"设想"
"2"	"害怕"
"2"	"言论"
"2"	"受到"
"2"	"或许"
"2"	"出外"
"2"	"购物"
"2"	"现在"
"2"	"认为"
"2"	"沙"
"2"	"提高"
"2"	"对"
"2"	"意识"
"2"	"现在"
"2"	"不再"
"2"	"需要"
"2"	"注射"
"2"	"天花"
"2"	"纷纷"
"2"	"涌向"
"2"	"集合地点"
"2"	"随着"
"2"	"逐渐"
"2"	"认识"
"2"	"有限"
"2"	"经常"
"2"	"担心"
"2"	"购买"
"2"	"沙"
"2"	"阴影"
"2"	"过去"
"2"	"现在"
"2"	"街头巷尾"
"2"	"谈论"
"2"	"话题"
"2"	"裁员"
"2"	"削减"
"2"	"缴交率"
"2"	"使"
"2"	"觉得"
"2"	"难"
"2"	"购买"
"2"	"科学"
"2"	"使用"
"2"	"塑料"
"2"	"瓶子"
"2"	"危害"
"2"	"健康"
"2"	"鼓励"
"2"	"这么"
"2"	"劝"
"2"	"应该"
"2"	"变得"
"2"	"更"
"2"	"让"
"2"	"望而生畏"
"2"	"好了"
"2"	"当"
"2"	"界限"
"2"	"让"
"2"	"在一起"
"2"	"善良"
"2"	"心"
"2"	"除害"
"2"	"驱邪"
"2"	"爱戴"
"2"	"几年"
"2"	"抵消"
"2"	"消费税"
"2"	"受到"
"2"	"方式"
"2"	"娱乐"
"2"	"在一起"
"2"	"健康"
"2"	"生活"
"2"	"积分卡"
"2"	"鼓励"
"2"	"生活"
"2"	"习惯"
"2"	"心"
"2"	"成为"
"2"	"普遍"
"2"	"信仰"
"2"	"都"
"2"	"吹起"
"2"	"的"
"2"	"审美观"
"2"	"高涨"
"2"	"依靠"
"2"	"养老"
"2"	"存有"
"2"	"存款额"
"2"	"理解"
"2"	"对"
"2"	"对"
"2"	"担忧"
"2"	"它"
"2"	"财富"
"2"	"赚到"
"2"	"通常"
"1"	"残障"
"1"	"专用"
"1"	"入馆"
"1"	"搭乘"
"1"	"参观"
"5"	"科学界"
"5"	"协会"
"5"	"认为"
"5"	"香港"
"5"	"公正报"
"5"	"公屋"
"5"	"获租楼"
"5"	"香港"
"5"	"部分"
"5"	"有心"
"5"	"从中作梗"
"5"	"碍"
"4"	"大陆"
"4"	"香港"
"4"	"专业"
"4"	"坐视"
"5"	"要职"
"5"	"参加"
"5"	"公祭"
"5"	"朝野党"
"5"	"及"
"5"	"致送"
"5"	"輓联"
"7"	"华府"
"7"	"外交"
"7"	"消息"
"7"	"透"
"7"	"露"
"5"	"产经"
"5"	"指出"
"5"	"接近"
"5"	"李前"
"5"	"发言"
"5"	"政界"
"5"	"推测"
"7"	"产经"
"7"	"指出"
"7"	"恳"
"7"	"有关"
"5"	"海外"
"5"	"评价"
"2"	"政坛"
"2"	"舆论界"
"2"	"引起"
"2"	"轩然大波"
"2"	"改革派"
"2"	"指责"
"2"	"串通"
"5"	"大陆"
"5"	"来"
"5"	"台"
"7"	"据"
"7"	"及"
"7"	"消息"
"7"	"武装"
"1"	"中川"
"1"	"右翼"
"1"	"餐叙"
"1"	"残障"
"1"	"陈情"
"1"	"吴丽雪"
"1"	"社会"
"1"	"福利"
"1"	"团体"
"1"	"团体"
"1"	"残障"
"1"	"福利"
"5"	"表示"
"5"	"方"
"5"	"权威"
"5"	"私下"
"5"	"透露"
"5"	"到庭"
"5"	"相关"
"5"	"此"
"5"	"及"
"5"	"协会"
"5"	"身心"
"5"	"障碍"
"5"	"誓约"
"3"	"与会"
"3"	"涵盖"
"3"	"产官学界"
"3"	"表示"
"5"	"示威"
"5"	"左翼"
"5"	"反对"
"5"	"派"
"5"	"政界"
"5"	"及"
"5"	"宗教"
"5"	"唿吁"
"5"	"社会"
"5"	"捐赠"
"5"	"历任"
"5"	"热心"
"5"	"戮力"
"5"	"奉献"
"1"	"手语"
"1"	"聋哑"
"1"	"手语"
"5"	"社会"
"5"	"〕"
"5"	"位"
"5"	"国民党"
"5"	"半数"
"5"	"外籍"
"5"	"四十二"
"5"	"匿名"
"7"	"新闻社"
"7"	"引述"
"7"	"消息"
"7"	"话"
"7"	"报导"
"5"	"报导"
"5"	"拉拢"
"5"	"反对"
"5"	"战线"
"5"	"政党"
"5"	"政党"
"5"	"政党"
"5"	"同党"
"5"	"此"
"5"	"举"
"5"	"位"
"5"	"企业界"
"5"	"参与"
"5"	"高科技业"
"7"	"大陆"
"7"	"消息"
"7"	"指出"
"5"	"企业界"
"5"	"阶层"
"5"	"组成"
"5"	"工商界"
"5"	"互助合作"
"5"	"阵营"
"5"	"碰面"
"5"	"及"
"5"	"意见"
"5"	"外交"
"5"	"邀请"
"5"	"相关"
"5"	"列席"
"5"	"叮咛"
"5"	"一万"
"5"	"海内外"
"5"	"参加"
"5"	"港"
"5"	"大陆"
"1"	"量级"
"5"	"工商"
"5"	"大陆"
"5"	"来"
"5"	"台"
"5"	"观光"
"5"	"入境"
"1"	"党政军"
"5"	"告诉"
"5"	"决策"
"5"	"以及"
"5"	"在野"
"5"	"组团"
"5"	"拉法叶舰"
"5"	"相关"
"5"	"在野"
"5"	"持"
"5"	"反对"
"3"	"华人"
"3"	"邀请"
"3"	"各界"
"3"	"重量级"
"3"	"行业"
"1"	"未遂案"
"1"	"工运"
"1"	"曾茂兴"
"1"	"另"
"5"	"反对"
"5"	"举"
"5"	"游行"
"5"	"宪警"
"5"	"位"
"5"	"位"
"5"	"属鼠"
"5"	"龙虎"
"1"	"不明"
