"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"冲突/Na/XIN_CMN_20001013_wpr/18957",-0.0463906785384063,0.0114727975730303,"冲突","XIN","2000","肯定/Nv 会/D 尽/D/1.503 全力/D<br>加以/D 阻止/VC/1.890 。/PERIODCATEGORY<br>尽管/Cbb 巴/Nc/4.858 以/P/2.481<br><b>冲突/Na</b> 尚未/D 终止/VHC/2.482<br>,/COMMACATEGORY 但/Cbb<br>综观/VC 形势/Na 可以/VH 大体/Na<br>断定/VE :/COLONCATEGORY","肯定/Nv 会/D 尽/D/1.503 全力/D<br>加以/D 阻止/VC/1.890 。/PERIODCATEGORY<br>尽管/Cbb 巴/Nc/4.858 以/P/2.481<br><b>冲突/Na</b> 尚未/D 终止/VHC/2.482<br>,/COMMACATEGORY 但/Cbb<br>综观/VC 形势/Na 可以/VH 大体/Na<br>断定/VE :/COLONCATEGORY","ML"
"风波/Na/CNA_CMN_20001221_wpr/106856",0.104110256480533,-0.0256793081374399,"风波","CNA","2000","二十一日电/Na )/PARENTHESISCATEGORY<br>副总统/Na/2.967 吕秀莲/Nb/3.546<br>与/Caa 新新闻/Nb/4.332 週报/Na/4.881<br>间/Ng/1.292 的/DE 绯闻/Na/6.273<br><b>风波/Na</b> 持续/VL/2.070<br>发烧/VH/1.945 ,/COMMACATEGORY<br>新新闻/Nb/4.332 今天/Nd 发佈/VE<br>新闻稿/Na/2.503 质疑/Nv 副总/Na<br>统/VHC/1.513","二十一日电/Na )/PARENTHESISCATEGORY<br>副总统/Na/2.967 吕秀莲/Nb/3.546<br>与/Caa 新新闻/Nb/4.332 週报/Na/4.881<br>间/Ng/1.292 的/DE 绯闻/Na/6.273<br><b>风波/Na</b> 持续/VL/2.070<br>发烧/VH/1.945 ,/COMMACATEGORY<br>新新闻/Nb/4.332 今天/Nd 发佈/VE<br>新闻稿/Na/2.503 质疑/Nv 副总/Na<br>统/VHC/1.513","TW"
"争端/Na/XIN_CMN_20001012_wpr/47147",0.000315628490104429,0.0417515864049142,"争端","XIN","2000","非洲/Nc/2.505 的/DE 团结/Nv<br>、/PAUSECATEGORY 和平/Nv/2.321<br>与/Caa 发展/Na ,/COMMACATEGORY<br>妥善/VH/2.641 解决/VC/5.040<br><b>争端/Na</b> ;/SEMICOLONCATEGORY<br>赞赏/Nv/2.626 非/D/1.901<br>统/VHC/1.801 和/P 其他/Neqa<br>有/P 关/VC 地区/Nc 、/PAUSECATEGORY","非洲/Nc/2.505 的/DE 团结/Nv<br>、/PAUSECATEGORY 和平/Nv/2.321<br>与/Caa 发展/Na ,/COMMACATEGORY<br>妥善/VH/2.641 解决/VC/5.040<br><b>争端/Na</b> ;/SEMICOLONCATEGORY<br>赞赏/Nv/2.626 非/D/1.901<br>统/VHC/1.801 和/P 其他/Neqa<br>有/P 关/VC 地区/Nc 、/PAUSECATEGORY","ML"
"纠纷/Na/CNA_CMN_20010109_wpr/123820",0.0909495206311667,0.116499079056862,"纠纷","CNA","2001","协议会/Na 成员/Na 名/Na 单/Da<br>,/COMMACATEGORY 作为/Na<br>未来/Nd 两/Neu 联盟/Na 协/VH/1.198<br><b>纠纷/Na</b> 协调/VC/2.804<br>仲裁/Nv/4.989 单位/Na 。/PERIODCATEGORY<br>900109/Neu/2.067 表演/Nv<br>艺术/Na 联盟/Na 新旧/Na 理事长/Na","协议会/Na 成员/Na 名/Na 单/Da<br>,/COMMACATEGORY 作为/Na<br>未来/Nd 两/Neu 联盟/Na 协/VH/1.198<br><b>纠纷/Na</b> 协调/VC/2.804<br>仲裁/Nv/4.989 单位/Na 。/PERIODCATEGORY<br>900109/Neu/2.067 表演/Nv<br>艺术/Na 联盟/Na 新旧/Na 理事长/Na","TW"
"冲突/Na/XIN_CMN_20001215_wpr/20173",-0.0275076526764777,0.00642129922749638,"冲突","XIN","2000",",/COMMACATEGORY 巴/Nc/4.858<br>以/P/2.481 间/Ncd/1.918<br>爆发/VJ/4.376 了/Di 大/VH<br>规模/Na/1.095 的/DE 流血/Nv/6.497<br><b>冲突/Na</b> ;/SEMICOLONCATEGORY<br>如何/D/1.084 继续/VA/1.340<br>参与/VC 并/D 促进/VK 中东/Nc/3.381<br>和平/Nc/2.160 进程/Na/1.910<br>,/COMMACATEGORY",",/COMMACATEGORY 巴/Nc/4.858<br>以/P/2.481 间/Ncd/1.918<br>爆发/VJ/4.376 了/Di 大/VH<br>规模/Na/1.095 的/DE 流血/Nv/6.497<br><b>冲突/Na</b> ;/SEMICOLONCATEGORY<br>如何/D/1.084 继续/VA/1.340<br>参与/VC 并/D 促进/VK 中东/Nc/3.381<br>和平/Nc/2.160 进程/Na/1.910<br>,/COMMACATEGORY","ML"
"冲突/Na/CNA_CMN_20001001_wpr/43070",-0.0383981457851815,-0.0881772766576793,"冲突","CNA","2000","」/PARENTHESISCATEGORY<br>,/COMMACATEGORY 一/Neu<br>度/Nf 与/Caa 警方/Na/1.238<br>和/Caa 观礼/VA/1.955 民众/Na<br>发生/Nv/3.813 <b>冲突/Na</b><br>。/PERIODCATEGORY 仪式/Na<br>于/P 上午/Nd 八时/Nd 在/P 会/D<br>展/VC 的/DE 金/Na/1.526","」/PARENTHESISCATEGORY<br>,/COMMACATEGORY 一/Neu<br>度/Nf 与/Caa 警方/Na/1.238<br>和/Caa 观礼/VA/1.955 民众/Na<br>发生/Nv/3.813 <b>冲突/Na</b><br>。/PERIODCATEGORY 仪式/Na<br>于/P 上午/Nd 八时/Nd 在/P 会/D<br>展/VC 的/DE 金/Na/1.526","TW"
"冲突/Na/CNA_CMN_20001023_wpr/14171",-0.0263790532735503,0.00732742258333673,"冲突","CNA","2000","昨天/Nd 证实/VE 巴瑞克/Nb/2.743<br>的/DE 谈话/Na 时/Ng 指出/VE<br>,/COMMACATEGORY 只要/Cbb<br>暴力/VH/5.320 <b>冲突/Na</b><br>不/D 停止/VF/3.095 ,/COMMACATEGORY<br>和平/Nv/2.177 谈判/Na/1.690<br>就/D 不可能/D/1.411 恢复/VHC/1.815<br>。/PERIODCATEGORY 阿拉法特/Nb/2.503","昨天/Nd 证实/VE 巴瑞克/Nb/2.743<br>的/DE 谈话/Na 时/Ng 指出/VE<br>,/COMMACATEGORY 只要/Cbb<br>暴力/VH/5.320 <b>冲突/Na</b><br>不/D 停止/VF/3.095 ,/COMMACATEGORY<br>和平/Nv/2.177 谈判/Na/1.690<br>就/D 不可能/D/1.411 恢复/VHC/1.815<br>。/PERIODCATEGORY 阿拉法特/Nb/2.503","TW"
"冲突/Na/CNA_CMN_20010115_wpr/11911",0.00275656456428128,0.00333043471495213,"冲突","CNA","2001","决定/Na 敌友/Na 的/DE 冷战/Na<br>思维/Na 只/Da 能/D 导致/VL/2.348<br>对抗/VC/1.860 甚至/Cbb/1.589<br><b>冲突/Na</b> 。/PERIODCATEGORY<br>中共和/Nb/3.407 美国/Na 有/V_2<br>很多/VH 利益/VC/2.603 交汇点/Na<br>,/COMMACATEGORY 双方/Nh/2.727<br>实现/VC","决定/Na 敌友/Na 的/DE 冷战/Na<br>思维/Na 只/Da 能/D 导致/VL/2.348<br>对抗/VC/1.860 甚至/Cbb/1.589<br><b>冲突/Na</b> 。/PERIODCATEGORY<br>中共和/Nb/3.407 美国/Na 有/V_2<br>很多/VH 利益/VC/2.603 交汇点/Na<br>,/COMMACATEGORY 双方/Nh/2.727<br>实现/VC","TW"
"冲突/Na/XIN_CMN_20001116_wpr/3746",-0.0857870211431231,-0.00739148535236492,"冲突","XIN","2000","帝汶/Nc/1.543 举行/VC 全民/Na<br>自治/Nv 公决/Na 后/Ng 发/VD/1.245<br>生/VC 大规模/Na/3.557 流血/Nv/6.497<br><b>冲突/Na</b> 时/Ng 越过/VCL<br>边界/Nc/3.335 到/P 印尼/Na<br>一/Neu 侧/Ncd 避难/VA 的/DE<br>。/PERIODCATEGORY","帝汶/Nc/1.543 举行/VC 全民/Na<br>自治/Nv 公决/Na 后/Ng 发/VD/1.245<br>生/VC 大规模/Na/3.557 流血/Nv/6.497<br><b>冲突/Na</b> 时/Ng 越过/VCL<br>边界/Nc/3.335 到/P 印尼/Na<br>一/Neu 侧/Ncd 避难/VA 的/DE<br>。/PERIODCATEGORY","ML"
"冲突/Na/CNA_CMN_20001230_wpr/68337",-0.0343330689613885,0.00570640776839119,"冲突","CNA","2000","香港/Nc )/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 每/Nes<br>日/Nf 新闻报/Na/1.254 :/COLONCATEGORY<br>以/P/2.481 巴/Nc/4.858<br>暴力/VH/5.320 <b>冲突/Na</b><br>危及/VJ/2.376 柯林顿/Nb/1.849<br>和平/Nc/2.160 建议/VC (/PARENTHESISCATEGORY<br>土耳/Na/2.070 其/Nep )/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 读卖/Nb","香港/Nc )/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 每/Nes<br>日/Nf 新闻报/Na/1.254 :/COLONCATEGORY<br>以/P/2.481 巴/Nc/4.858<br>暴力/VH/5.320 <b>冲突/Na</b><br>危及/VJ/2.376 柯林顿/Nb/1.849<br>和平/Nc/2.160 建议/VC (/PARENTHESISCATEGORY<br>土耳/Na/2.070 其/Nep )/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 读卖/Nb","TW"
"争执/Na/XIN_CMN_20030517_wpr/3523",-0.0464231086618264,-0.0974654685471076,"争执","XIN","2003",",/COMMACATEGORY 在/VCP<br>印度/Nc ,/COMMACATEGORY<br>婚姻/Na 中/Ng 因为/Cbb 嫁妆/Na/5.357<br>问题/Na/1.833 发生/Nv/4.296<br><b>争执/Na</b> ,/COMMACATEGORY<br>只要/Cbb 嫁妆/Na/5.357 还/D<br>没有/D 送出/VD ,/COMMACATEGORY<br>女方/Na 一般/D 都/D",",/COMMACATEGORY 在/VCP<br>印度/Nc ,/COMMACATEGORY<br>婚姻/Na 中/Ng 因为/Cbb 嫁妆/Na/5.357<br>问题/Na/1.833 发生/Nv/4.296<br><b>争执/Na</b> ,/COMMACATEGORY<br>只要/Cbb 嫁妆/Na/5.357 还/D<br>没有/D 送出/VD ,/COMMACATEGORY<br>女方/Na 一般/D 都/D","ML"
"矛盾/Na/ZBN_CMN_20001021_wpr/554",0.062792813265087,0.11712364536248,"矛盾","ZBN","2000","应该/D 足够/VH 了/T 吧/T 。/PERIODCATEGORY<br>为什么/D 台湾/Na 目前/Nd 的/DE<br>省籍/Na/4.346 <b>矛盾/Na</b><br>依然/D/2.401 存在/VJ/3.453<br>？/QUESTIONCATEGORY 像/VG<br>石原慎太郎/Nb 那样/VH 的/DE 极端/Dfa/3.496<br>排外/VH 分子/Na","应该/D 足够/VH 了/T 吧/T 。/PERIODCATEGORY<br>为什么/D 台湾/Na 目前/Nd 的/DE<br>省籍/Na/4.346 <b>矛盾/Na</b><br>依然/D/2.401 存在/VJ/3.453<br>？/QUESTIONCATEGORY 像/VG<br>石原慎太郎/Nb 那样/VH 的/DE 极端/Dfa/3.496<br>排外/VH 分子/Na","SG"
"纠纷/Na/ZBN_CMN_20030415_wpr/58894",-0.0152447210484366,0.0338707652839351,"纠纷","ZBN","2003","出现/Nv/1.440 根本性/Na 的/DE<br>冲突/Na/2.240 ，/COMMACATEGORY<br>但/Cbb 许多/Neqa 历史/Na 积怨/Na/5.025<br>和/Caa <b>纠纷/Na</b> 也/D<br>不可能/D 顷刻/D/4.212 之间/Nd/2.428<br>得到/Nv 解决/Nv/3.330 。/PERIODCATEGORY<br>这/Nep 是/SHI 一/Neu","出现/Nv/1.440 根本性/Na 的/DE<br>冲突/Na/2.240 ，/COMMACATEGORY<br>但/Cbb 许多/Neqa 历史/Na 积怨/Na/5.025<br>和/Caa <b>纠纷/Na</b> 也/D<br>不可能/D 顷刻/D/4.212 之间/Nd/2.428<br>得到/Nv 解决/Nv/3.330 。/PERIODCATEGORY<br>这/Nep 是/SHI 一/Neu","SG"
"争端/Na/ZBN_CMN_20030826_wpr/12476",0.0744457666925386,-0.158363688187453,"争端","ZBN","2003","到/VCL 三/Neu 姐妹/Na 的/DE<br>歌迷/Na 家族/Na 去/D “/PARENTHESISCATEGORY<br>引/VL/2.057 起/Di/1.140<br><b>争端/Na</b> ”/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 闪爸/Na/6.088<br>说/Na/2.481 ，/COMMACATEGORY<br>其实/D 半/Nes 年前/Nd 他/Nh<br>就/D","到/VCL 三/Neu 姐妹/Na 的/DE<br>歌迷/Na 家族/Na 去/D “/PARENTHESISCATEGORY<br>引/VL/2.057 起/Di/1.140<br><b>争端/Na</b> ”/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 闪爸/Na/6.088<br>说/Na/2.481 ，/COMMACATEGORY<br>其实/D 半/Nes 年前/Nd 他/Nh<br>就/D","SG"
"冲突/Na/XIN_CMN_20030728_wpr/37375",-0.0383720710361527,-0.0337262452019242,"冲突","XIN","2003","并/Cbb 与/P 驻守/VCL 在/P<br>那里/Ncd/1.336 的/DE 以/P/2.481<br>军/Na/2.332 士兵/Na/1.622<br>发生/Nv/3.813 <b>冲突/Na</b><br>,/COMMACATEGORY 5/Neu<br>名/Nf 示威/Nv/2.757 者/Na<br>被/P 打伤/VC 。/PERIODCATEGORY<br>“/PARENTHESISCATEGORY<br>巴勒斯坦人/Na/3.415","并/Cbb 与/P 驻守/VCL 在/P<br>那里/Ncd/1.336 的/DE 以/P/2.481<br>军/Na/2.332 士兵/Na/1.622<br>发生/Nv/3.813 <b>冲突/Na</b><br>,/COMMACATEGORY 5/Neu<br>名/Nf 示威/Nv/2.757 者/Na<br>被/P 打伤/VC 。/PERIODCATEGORY<br>“/PARENTHESISCATEGORY<br>巴勒斯坦人/Na/3.415","ML"
"争端/Na/ZBN_CMN_20030719_wpr/48460",-0.0277968257683393,0.123589936855004,"争端","ZBN","2003","贾宇/Nb 认为/VE ，/COMMACATEGORY<br>这/Nep 背后/Nc 就/D 因为/Cbb<br>存在/VJ/1.648 着/Di 资源/Na<br><b>争端/Na</b> 、/PAUSECATEGORY<br>岛屿/Na/4.551 归属/Nv/3.590<br>和/Caa 海域/Na/1.627 划界/VA<br>争议/Na 的/DE 问题/Na/1.406<br>。/PERIODCATEGORY","贾宇/Nb 认为/VE ，/COMMACATEGORY<br>这/Nep 背后/Nc 就/D 因为/Cbb<br>存在/VJ/1.648 着/Di 资源/Na<br><b>争端/Na</b> 、/PAUSECATEGORY<br>岛屿/Na/4.551 归属/Nv/3.590<br>和/Caa 海域/Na/1.627 划界/VA<br>争议/Na 的/DE 问题/Na/1.406<br>。/PERIODCATEGORY","SG"
"冲突/Na/CNA_CMN_20001225_wpr/89842",-0.194448207146089,-0.118078746072157,"冲突","CNA","2000","条例/Na 」/PARENTHESISCATEGORY<br>经过/Na 六/Neu 次/Nf 大会/Na<br>、/PAUSECATEGORY 爆发/Nv/4.146<br>议员/Na 口角/Nv/6.282 <b>冲突/Na</b><br>,/COMMACATEGORY 最/Dfa<br>后/Ng 将/D 「/PARENTHESISCATEGORY<br>文化局/Nc 自行/D 动支/VC 百分之二十/Neqa<br>预算/Na","条例/Na 」/PARENTHESISCATEGORY<br>经过/Na 六/Neu 次/Nf 大会/Na<br>、/PAUSECATEGORY 爆发/Nv/4.146<br>议员/Na 口角/Nv/6.282 <b>冲突/Na</b><br>,/COMMACATEGORY 最/Dfa<br>后/Ng 将/D 「/PARENTHESISCATEGORY<br>文化局/Nc 自行/D 动支/VC 百分之二十/Neqa<br>预算/Na","TW"
"争端/Na/XIN_CMN_20030807_wpr/62097",-0.0280591204910571,0.0544076510316679,"争端","XIN","2003","喀麦隆/Nc/2.489 和/Caa 尼日利亚/Nb/3.373<br>7日/Nd 宣布/VE ,/COMMACATEGORY<br>为了/P 解决/VC/5.040 两国/Nc/2.465<br>领土/Na/5.193 <b>争端/Na</b><br>和/Caa 作为/Na 解决/VC/5.040<br>巴卡西/Nb/7.934 半岛/Na/1.464<br>主权/Na/1.935 归属/Nv/3.590<br>问题/Na/1.406 的/DE 第一/Neu","喀麦隆/Nc/2.489 和/Caa 尼日利亚/Nb/3.373<br>7日/Nd 宣布/VE ,/COMMACATEGORY<br>为了/P 解决/VC/5.040 两国/Nc/2.465<br>领土/Na/5.193 <b>争端/Na</b><br>和/Caa 作为/Na 解决/VC/5.040<br>巴卡西/Nb/7.934 半岛/Na/1.464<br>主权/Na/1.935 归属/Nv/3.590<br>问题/Na/1.406 的/DE 第一/Neu","ML"
"风波/Na/CNA_CMN_20001229_wpr/127136",0.334422091907103,0.0110714090921133,"风波","CNA","2000","、/PAUSECATEGORY 「/PARENTHESISCATEGORY<br>国家/Na 安定/Nv 基金/Na 」/PARENTHESISCATEGORY<br>、/PAUSECATEGORY 「/PARENTHESISCATEGORY<br>连战/Nv/2.051 祖坟/Na/4.738<br><b>风波/Na</b> 」/PARENTHESISCATEGORY<br>、/PAUSECATEGORY 「/PARENTHESISCATEGORY<br>宋/Nd/2.384 团队/Na 组党/Nb<br>」/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 在/P<br>最佳/VH","、/PAUSECATEGORY 「/PARENTHESISCATEGORY<br>国家/Na 安定/Nv 基金/Na 」/PARENTHESISCATEGORY<br>、/PAUSECATEGORY 「/PARENTHESISCATEGORY<br>连战/Nv/2.051 祖坟/Na/4.738<br><b>风波/Na</b> 」/PARENTHESISCATEGORY<br>、/PAUSECATEGORY 「/PARENTHESISCATEGORY<br>宋/Nd/2.384 团队/Na 组党/Nb<br>」/PARENTHESISCATEGORY<br>。/PERIODCATEGORY 在/P<br>最佳/VH","TW"
"冲突/Na/CNA_CMN_20001030_wpr/4271",-0.0517655472841893,-0.00552653101024188,"冲突","CNA","2000","在/P 约旦/Nc/1.431 河西岸/Nc/2.298<br>那/Nep 不/D 鲁斯市/Nc 的/DE<br>以/P/2.481 、/PAUSECATEGORY<br>巴/Nc/4.858 <b>冲突/Na</b><br>中/Ng/1.210 被/P 以/P/2.481<br>军/Na/2.332 击中/VC ,/COMMACATEGORY<br>死/VH/1.302 于/P 送/VD 医/VC","在/P 约旦/Nc/1.431 河西岸/Nc/2.298<br>那/Nep 不/D 鲁斯市/Nc 的/DE<br>以/P/2.481 、/PAUSECATEGORY<br>巴/Nc/4.858 <b>冲突/Na</b><br>中/Ng/1.210 被/P 以/P/2.481<br>军/Na/2.332 击中/VC ,/COMMACATEGORY<br>死/VH/1.302 于/P 送/VD 医/VC","TW"
"纠纷/Na/XIN_CMN_20030701_wpr/59282",0.0593492004133056,0.0186831404296601,"纠纷","XIN","2003","了/Di 《/PARENTHESISCATEGORY<br>最/Dfa 高/VH 人民/Na 法院/Nc/2.058<br>关于/P/4.458 审理/VC/5.835<br>著作权/Na/7.738 民事/Na/6.556<br><b>纠纷/Na</b> 案件/Na/4.806<br>适用/Nv/5.571 法律/Na/4.350<br>若干/Neqa/6.102 问题/Na/1.106<br>的/DE 解/VC/2.547 释/VC<br>》/PARENTHESISCATEGORY<br>(/PARENTHESISCATEGORY","了/Di 《/PARENTHESISCATEGORY<br>最/Dfa 高/VH 人民/Na 法院/Nc/2.058<br>关于/P/4.458 审理/VC/5.835<br>著作权/Na/7.738 民事/Na/6.556<br><b>纠纷/Na</b> 案件/Na/4.806<br>适用/Nv/5.571 法律/Na/4.350<br>若干/Neqa/6.102 问题/Na/1.106<br>的/DE 解/VC/2.547 释/VC<br>》/PARENTHESISCATEGORY<br>(/PARENTHESISCATEGORY","ML"
"纠纷/Na/XIN_CMN_20001220_wpr/22251",0.0867999338432186,-0.0109273851654395,"纠纷","XIN","2000",",/COMMACATEGORY 人/Na<br>民法院/Nc 受理/VC/3.300 的/DE<br>涉及/VK/3.137 计算机/Na/2.159<br>网络/Na/2.172 的/DE 著作权/Na/7.738<br><b>纠纷/Na</b> 案件/Na/4.806<br>呈/VJ/1.387 上升/Nv/2.104<br>趋/VL 势/Na ,/COMMACATEGORY<br>审判/Nv/1.526 过程/Na 中/Ng<br>需要/Na",",/COMMACATEGORY 人/Na<br>民法院/Nc 受理/VC/3.300 的/DE<br>涉及/VK/3.137 计算机/Na/2.159<br>网络/Na/2.172 的/DE 著作权/Na/7.738<br><b>纠纷/Na</b> 案件/Na/4.806<br>呈/VJ/1.387 上升/Nv/2.104<br>趋/VL 势/Na ,/COMMACATEGORY<br>审判/Nv/1.526 过程/Na 中/Ng<br>需要/Na","ML"
