"id","x","y","variant","corpus","year","text","lect"
"争议/Na/CNA_CMN_20001017_wpr/110746",-0.0754105934253258,0.0889985882707693,"争议","CNA","2000","机构 。 891017 广州 出现 另 类<br>变脸人 行业 引发 <b>争议</b> (<br>中央社 台北 十七日电 ) 广州 最近 出现<br>一 种","TW"
"争论/Na/XIN_CMN_20001208_wpr/3255",-0.093068781450899,-0.114736753424372,"争论","XIN","2000","围绕 民营经济 “ 姓 社 、 姓 资 ”<br>的 <b>争论</b> 也 未 完全 消失<br>。 今天 辉煌 成就 的 取得","ML"
"争执/Na/ZBN_CMN_20030523_wpr/105135",-0.131321183678123,-0.0540793361765091,"争执","ZBN","2003","开 了 两 枪 一 名 警察 和 家人 起<br><b>争执</b> ， 他 的 佩枪 在<br>混乱 中 射出 两 发","SG"
"争议/Na/ZBN_CMN_20001122_wpr/6385",-0.12852749256964,0.0865445473199017,"争议","ZBN","2000","公司 的 阿利斯 . 尚迪 说 ， 这 个<br>引起 <b>争议</b> 的 调查 故事<br>将 在 明年 底 在 电视 上","SG"
"争议/Na/CNA_CMN_20001107_wpr/101360",0.0428480753408588,0.0361246414876667,"争议","CNA","2000","正确 」 。 他 指出 , 有关 核四 的<br>一切 <b>争议</b> , 就 由 大法官会<br>议决 定 。 对 立法院 在野党","TW"
"争端/Na/CNA_CMN_20001007_wpr/102684",0.137147956776953,-0.129701121778418,"争端","CNA","2000","符号 差异 而 造成 困扰 , 甚或 衍<br>生 无谓 <b>争端</b> 及 商务 损害<br>。 草案 条文 只有 四 条 ,","TW"
"争端/Na/XIN_CMN_20001125_wpr/30819",0.0541338611601003,-0.0948231836840066,"争端","XIN","2000","。 佛州 最高法院 20日 下午 就 该<br>州 选票 统计 <b>争端</b> 举行<br>了 两 个 半 小时 的 听证会 之后 ,","ML"
"争议/Na/CNA_CMN_20001001_wpr/65614",-0.12852749256964,0.0865445473199017,"争议","CNA","2000","季尔山诺瓦 停职 四 年 。 在 另 一<br>场 引起 <b>争议</b> 的 比赛 中<br>, 美国 另 一 名 打进 决赛","TW"
"争议/Na/CNA_CMN_20001030_wpr/129557",-0.00607230000238289,0.0188422918189787,"争议","CNA","2000","座谈 王金平 未 出席 ( 中央社 台北<br>三十日电 ) 核四 <b>争议</b> 引起<br>政治 风暴 。 陈 水 扁 总统 今天 晚上","TW"
"争端/Na/ZBN_CMN_20030826_wpr/12476",-0.177857270630512,0.0167639327980342,"争端","ZBN","2003","到 三 姐妹 的 歌迷 家族 去 “ 引<br>起 <b>争端</b> ” 。 闪爸 说<br>， 其实 半 年前 他 就","SG"
"争执/Na/CNA_CMN_20010116_wpr/145807",0.102587222135336,0.0798657811727409,"争执","CNA","2001","表决 是否 同意 核四 停建 , 让 拥核<br>、 反核 <b>争执</b> 重返 国会<br>。 包括 国民党 、 无党籍 、 新党 、","TW"
"争议/Na/CNA_CMN_20030611_wpr/6565",-0.0820699885186633,0.0893071644224806,"争议","CNA","2003","美国 导弹 防御 系统 （ MD ） 而<br>引发 的 <b>争议</b> ， 目前 正<br>推动 以 最 新型 爱国者飞弹 与 神盾","TW"
"争议/Na/ZBN_CMN_20030723_wpr/21297",0.104348190455017,-0.0918190940926324,"争议","ZBN","2003","分发 3 分 钱 的 《 水供 ∶ 马新<br>的 <b>争议</b> 的 －－ 事实 的<br>真相 》 小册子 ， 来 反击","SG"
"争执/Na/ZBN_CMN_20030927_wpr/63293",0.0147556758434671,-0.0196648629271881,"争执","ZBN","2003","庭 寻求 解决 ， 因为 它 认为 “ 这<br>起 <b>争执</b> 无法 通过 谈判<br>解决 。 ” 许通美 说 ， 事实","SG"
"争议/Na/CNA_CMN_20001201_wpr/26173",0.00134407490110314,-0.00530697844388655,"争议","CNA","2000","是否 将 使 十一月 七日 总统 选举 后<br>不断 的 <b>争议</b> 纷扰 尘埃<br>落 定 。 联邦 最高法院 将 于 十二月","TW"
"争执/Na/ZBN_CMN_20030927_wpr/21067",-0.14726345168041,-0.0489646526137011,"争执","ZBN","2003","热汤 ， 往 姐姐 的 脸 猛 泼 。 起<br><b>争执</b> 的 两 姐妹 ， 一<br>个 22 岁 ， 一","SG"
"争端/Na/ZBN_CMN_20001217_wpr/35281",-0.00250143229598105,-0.0237694266334453,"争端","ZBN","2000","以 弥 合 民主党 和 共和党 因 佛罗里达州<br>的 计票 <b>争端</b> 所 产生 的<br>政治 裂痕 。 布什 说 ， 他","SG"
"争执/Na/ZBN_CMN_20030905_wpr/19038",0.137802330731114,-0.108130207123267,"争执","ZBN","2003","： “ 我 期望 今后 选举 顺顺利利 ，<br>不要 产生 <b>争执</b> 、 对立<br>情况 ， 顺利 引进 具有 才干 、 肯","SG"
"争论/Na/XIN_CMN_20001219_wpr/14960",-0.0175920638374379,-0.0513507069318675,"争论","XIN","2000","应该 不应该 发展 证券 市场 仍 有 很<br>大 的 <b>争论</b> 。 邓小平 同志<br>1992年 初 的 南方 讲 话 ,","ML"
"争端/Na/XIN_CMN_20001212_wpr/74189",0.0726400540949243,-0.116533231491603,"争端","XIN","2000","定 已经 持续 一 个 多 月 的 佛州<br>计票 <b>争端</b> 是否 继续 下去<br>。 在 预计 一 个 半 小时","ML"
