"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"新闻/Na/CNA_CMN_20001107_wpr/93892",-0.0273785658698992,-0.00718949132121633,"新闻","CNA","2000","组织/Na 理事会/Na 代表/Na 职务/Na<br>。/PERIODCATEGORY 891107/Neu<br>世界/Nc 主要/VH/1.942 报纸/Na/3.711<br>头条/Na/4.495 <b>新闻/Na</b><br>标题/Na/4.314 之/DE 一/Neu<br>(/PARENTHESISCATEGORY/2.088<br>中央社/Nc 台北/Nc 七日/Nd 综合/VC<br>报导/Na/2.537 )/PARENTHESISCATEGORY/2.104","组织/Na 理事会/Na 代表/Na 职务/Na<br>。/PERIODCATEGORY 891107/Neu<br>世界/Nc 主要/VH/1.942 报纸/Na/3.711<br>头条/Na/4.495 <b>新闻/Na</b><br>标题/Na/4.314 之/DE 一/Neu<br>(/PARENTHESISCATEGORY/2.088<br>中央社/Nc 台北/Nc 七日/Nd 综合/VC<br>报导/Na/2.537 )/PARENTHESISCATEGORY/2.104","TW"
"消息/Na/ZBN_CMN_20030714_wpr/1983",0.143602441584461,-0.049239881126175,"消息","ZBN","2003","这/Nep/1.174 坏/VHC/3.879<br>消息/Na 对/P 烟客/Na/3.375<br>而言/Nd 却/D 是/SHI 个/Nf<br>好/VH/2.611 <b>消息/Na</b><br>。/PERIODCATEGORY 该/D<br>是/SHI 烟客/Na/3.375 们/Na<br>尝试/Na 戒烟/VA 的/DE 时候/Na<br>了/T","这/Nep/1.174 坏/VHC/3.879<br>消息/Na 对/P 烟客/Na/3.375<br>而言/Nd 却/D 是/SHI 个/Nf<br>好/VH/2.611 <b>消息/Na</b><br>。/PERIODCATEGORY 该/D<br>是/SHI 烟客/Na/3.375 们/Na<br>尝试/Na 戒烟/VA 的/DE 时候/Na<br>了/T","SG"
"报导/Na/CNA_CMN_20001004_wpr/156544",-0.00912262715833511,0.0134558985418791,"报导","CNA","2000","的/DE 网路/Na/1.059 世界/Nc/1.306<br>,/COMMACATEGORY 几乎/Da<br>是/SHI 不切实际/VH/1.527 的/DE<br>规定/Na 。/PERIODCATEGORY<br><b>报导/Na</b> 引述/VC/4.692<br>大陆/Nc/2.339 网路/Na/1.059<br>企业家/Na 说/VE/1.673 ,/COMMACATEGORY<br>中共/Nb/2.911 当局/Na/1.223<br>杜塞/VC 现有/A","的/DE 网路/Na/1.059 世界/Nc/1.306<br>,/COMMACATEGORY 几乎/Da<br>是/SHI 不切实际/VH/1.527 的/DE<br>规定/Na 。/PERIODCATEGORY<br><b>报导/Na</b> 引述/VC/4.692<br>大陆/Nc/2.339 网路/Na/1.059<br>企业家/Na 说/VE/1.673 ,/COMMACATEGORY<br>中共/Nb/2.911 当局/Na/1.223<br>杜塞/VC 现有/A","TW"
"消息/Na/XIN_CMN_20030425_wpr/14360",-0.0369871346447127,0.0789109833798503,"消息","XIN","2003",",/COMMACATEGORY 在/P 陆路/Na<br>口岸/Na 同步/VH 实行/VC 红外/A/1.380<br>线/Nf 检疫/Nv 。/PERIODCATEGORY<br><b>消息/Na</b> 说/VE/1.531<br>,/COMMACATEGORY 从/P 26日/Nd/1.014<br>中午/Nd 起/Ng ,/COMMACATEGORY<br>香港/Nc 与/Caa 深圳/Nc",",/COMMACATEGORY 在/P 陆路/Na<br>口岸/Na 同步/VH 实行/VC 红外/A/1.380<br>线/Nf 检疫/Nv 。/PERIODCATEGORY<br><b>消息/Na</b> 说/VE/1.531<br>,/COMMACATEGORY 从/P 26日/Nd/1.014<br>中午/Nd 起/Ng ,/COMMACATEGORY<br>香港/Nc 与/Caa 深圳/Nc","ML"
"新闻/Na/CNA_CMN_20030719_wpr/16008",0.454197905501661,-0.190993137057731,"新闻","CNA","2003","对于/P 台湾/Nc 第/Neu 一/Neu<br>夫人/Na 吴淑珍/Nb 访问/VC 梵蒂冈/Nc<br>和/Caa 义大利/Nc <b>新闻/Na</b><br>自然/D 也/D 不会/D 遗漏/VH/1.716<br>，/COMMACATEGORY 而且/Cbb<br>在/P 吴/Nb 淑/b 珍访/VC","对于/P 台湾/Nc 第/Neu 一/Neu<br>夫人/Na 吴淑珍/Nb 访问/VC 梵蒂冈/Nc<br>和/Caa 义大利/Nc <b>新闻/Na</b><br>自然/D 也/D 不会/D 遗漏/VH/1.716<br>，/COMMACATEGORY 而且/Cbb<br>在/P 吴/Nb 淑/b 珍访/VC","TW"
"报导/Na/CNA_CMN_20001113_wpr/61011",-0.00319584169028234,0.0298429093468344,"报导","CNA","2000","史迪尔曼/Nb 被/P 问到/VE 有关/P/1.111<br>伦敦/Nc 泰晤士/Nb 报/VC/2.633<br>的/DE 一/Neu 则/D <b>报导/Na</b><br>时/Ng ,/COMMACATEGORY<br>他/Nh 说/VE/1.673 :/COLONCATEGORY<br>「/PARENTHESISCATEGORY<br>我们/Nh 没有/D 听到/VE 任何/Neqa","史迪尔曼/Nb 被/P 问到/VE 有关/P/1.111<br>伦敦/Nc 泰晤士/Nb 报/VC/2.633<br>的/DE 一/Neu 则/D <b>报导/Na</b><br>时/Ng ,/COMMACATEGORY<br>他/Nh 说/VE/1.673 :/COLONCATEGORY<br>「/PARENTHESISCATEGORY<br>我们/Nh 没有/D 听到/VE 任何/Neqa","TW"
"报导/Na/CNA_CMN_20001213_wpr/77308",-0.00771508650811524,-0.0736288439609888,"报导","CNA","2000","以/P 「/PARENTHESISCATEGORY<br>煽情/VH/3.532 」/PARENTHESISCATEGORY/1.291<br>、/PAUSECATEGORY 「/PARENTHESISCATEGORY<br>敢/VL 言/VE 」/PARENTHESISCATEGORY/1.291<br>的/DE <b>报导/Na</b> 手法/Na<br>促销/VC ,/COMMACATEGORY<br>至今/D 该/D 报/VC/2.633 的/DE<br>销量/Na 已/D 成为/VG","以/P 「/PARENTHESISCATEGORY<br>煽情/VH/3.532 」/PARENTHESISCATEGORY/1.291<br>、/PAUSECATEGORY 「/PARENTHESISCATEGORY<br>敢/VL 言/VE 」/PARENTHESISCATEGORY/1.291<br>的/DE <b>报导/Na</b> 手法/Na<br>促销/VC ,/COMMACATEGORY<br>至今/D 该/D 报/VC/2.633 的/DE<br>销量/Na 已/D 成为/VG","TW"
"报导/Na/CNA_CMN_20030520_wpr/6886",0.0495778311316376,-0.0638383720162015,"报导","CNA","2003","他/Nh 誓言/VE ，/COMMACATEGORY<br>富士/Nc/1.216 电视/Na/1.421<br>的/DE 同仁/Na 将/D 继续/VA<br>追踪/VC/2.232 <b>报导/Na</b><br>这/Nep 桩/Nf/1.438 悲剧/Na<br>。/PERIODCATEGORY （/PARENTHESISCATEGORY<br>本文/Na 附有/VJ/1.299 图片/Na<br>）/PARENTHESISCATEGORY<br>世卫/Nb","他/Nh 誓言/VE ，/COMMACATEGORY<br>富士/Nc/1.216 电视/Na/1.421<br>的/DE 同仁/Na 将/D 继续/VA<br>追踪/VC/2.232 <b>报导/Na</b><br>这/Nep 桩/Nf/1.438 悲剧/Na<br>。/PERIODCATEGORY （/PARENTHESISCATEGORY<br>本文/Na 附有/VJ/1.299 图片/Na<br>）/PARENTHESISCATEGORY<br>世卫/Nb","TW"
"新闻/Na/CNA_CMN_20010103_wpr/145423",-0.0339299421509027,-0.0957350307732274,"新闻","CNA","2001","。/PERIODCATEGORY 另外/Cbb<br>,/COMMACATEGORY 爱司/Na<br>去年/Nd 十二月/Nd/1.452 开始/VH<br>统计/Na 资讯/Na 版面/Na/2.697<br><b>新闻/Na</b> ,/COMMACATEGORY<br>发/VD 现/Nd 报纸/Na/3.711<br>资讯版/Na/4.695 面/Na 的/DE<br>新闻王/Nb 由/P 资讯/Na","。/PERIODCATEGORY 另外/Cbb<br>,/COMMACATEGORY 爱司/Na<br>去年/Nd 十二月/Nd/1.452 开始/VH<br>统计/Na 资讯/Na 版面/Na/2.697<br><b>新闻/Na</b> ,/COMMACATEGORY<br>发/VD 现/Nd 报纸/Na/3.711<br>资讯版/Na/4.695 面/Na 的/DE<br>新闻王/Nb 由/P 资讯/Na","TW"
"报导/Na/CNA_CMN_20030401_wpr/10253",-0.0219310289982793,0.00640627475794418,"报导","CNA","2003","，/COMMACATEGORY 二十五/Neu<br>名为/VG 英/Nc 军/Na 。/PERIODCATEGORY<br>据/P/2.725 哥伦比亚/Nc/1.445<br>电视/Na/1.421 新闻网/Na/4.184<br><b>报导/Na</b> ，/COMMACATEGORY<br>这/Nep 一/Neu 数字/Na 包括/VK<br>三十日/Nd/2.316 在/P 伊拉克/Nc<br>南部/Ncd 坠/VA","，/COMMACATEGORY 二十五/Neu<br>名为/VG 英/Nc 军/Na 。/PERIODCATEGORY<br>据/P/2.725 哥伦比亚/Nc/1.445<br>电视/Na/1.421 新闻网/Na/4.184<br><b>报导/Na</b> ，/COMMACATEGORY<br>这/Nep 一/Neu 数字/Na 包括/VK<br>三十日/Nd/2.316 在/P 伊拉克/Nc<br>南部/Ncd 坠/VA","TW"
