"cluster"	"sigcol"
"3"	"灵柩"
"3"	"千"
"3"	"国会"
"3"	"外"
"3"	"排队"
"3"	"等候"
"3"	"瞻仰"
"3"	"公寓"
"3"	"管理"
"3"	"主办"
"3"	"社区"
"3"	"层"
"3"	"太阳"
"3"	"大帝"
"3"	"遭"
"3"	"像神"
"3"	"衣"
"3"	"轻机枪"
"3"	"警员"
"3"	"进入"
"3"	"内"
"3"	"逐"
"3"	"层"
"3"	"搜查"
"3"	"社区"
"3"	"巡守"
"3"	"二百五十五"
"3"	"公寓"
"3"	"巡守"
"3"	"一千四百"
"3"	"三十八"
"3"	"第二"
"3"	"航站"
"3"	"大厦"
"3"	"重新"
"3"	"装修"
"3"	"座"
"3"	"噪音"
"3"	"公寓"
"3"	"紧邻"
"3"	"相接"
"3"	"台北市区"
"3"	"渠"
"3"	"业主"
"3"	"维修"
"3"	"外墙"
"3"	"水管"
"3"	"政府"
"3"	"所在"
"3"	"航站"
"3"	"许多"
"3"	"大厦"
"3"	"印度"
"3"	"雅加达"
"3"	"国会"
"3"	"隆重"
"3"	"开幕"
"3"	"主持"
"3"	"开幕式"
"3"	"撞开"
"3"	"千"
"3"	"围栏"
"3"	"大门"
"3"	"货币"
"3"	"午"
"3"	"马特维延科"
"3"	"主持"
"3"	"千"
"3"	"关闭"
"3"	"12月"
"3"	"南斯拉夫"
"3"	"黑山"
"3"	"通讯"
"3"	"通讯员"
"3"	"朱绪忠蒋忠晓"
"3"	"前"
"3"	"喀麦隆"
"3"	"雅温"
"3"	"维修"
"3"	"设计"
"3"	"合同"
"3"	"雅温"
"3"	"朝阳区"
"3"	"号"
"3"	"北京"
"3"	"华麟科"
"3"	"技"
"3"	"查封"
"3"	"北京"
"3"	"华麟科"
"3"	"技"
"3"	"大厦"
"3"	"有限公司"
"3"	"涉案"
"3"	"误以为"
"3"	"大厦"
"3"	"内"
"3"	"物业"
"3"	"核实"
"3"	"大厦"
"3"	"内"
"3"	"工作人"
"3"	"2001年"
"3"	"12月"
"3"	"在"
"3"	"印度"
"3"	"议会"
"3"	"遭"
"3"	"恐怖"
"3"	"袭击"
"3"	"2001年"
"3"	"12月"
"3"	"印度"
"3"	"议会"
"3"	"恐怖"
"3"	"袭击"
"3"	"管理"
"3"	"建立起"
"3"	"强国"
"3"	"框架"
"3"	"大厦"
"3"	"受限"
"3"	"单一"
"3"	"内"
"3"	"住宅"
"3"	"胡姬花园"
"3"	"（"
"3"	"Taman"
"3"	"Anggerek"
"3"	"Mall"
"3"	"）"
"3"	"购集"
"3"	"出售"
"3"	"星苏"
"3"	"大厦"
"3"	"将来"
"3"	"层"
"3"	"购集"
"3"	"出售"
"3"	"大厦"
"3"	"星苏"
"3"	"将来"
"3"	"层"
"3"	"楼"
"3"	"马林百"
"3"	"列"
"3"	"图书馆"
"3"	"举行"
"3"	"在"
"3"	"汤申路"
"3"	"工业"
"3"	"大厦"
"3"	"办公"
"3"	"竣"
"3"	"迁入"
"3"	"新址"
"3"	"新闻"
"3"	"及"
"3"	"艺术部"
