"cluster"	"sigcol"
"5"	"杜鲁道"
"5"	"无可置疑"
"5"	"政治"
"5"	"懂得"
"5"	"穿衣"
"5"	"政治"
"5"	"槓龟"
"5"	"反对"
"5"	"原住民"
"5"	"政治"
"5"	"文学家"
"5"	"主题"
"5"	"新闻"
"5"	"S"
"5"	"追踪"
"5"	"焦点"
"5"	"新闻"
"5"	"政治"
"5"	"人物"
"5"	"媒体"
"5"	"炒作"
"5"	"政治"
"5"	"逼使"
"5"	"表态"
"5"	"情绪"
"5"	"台面"
"5"	"政治"
"5"	"擅长"
"5"	"长考"
"5"	"艺人"
"5"	"政治"
"5"	"位"
"5"	"大师级"
"5"	"借由"
"5"	"受"
"5"	"欢迎"
"5"	"─"
"5"	"请出"
"3"	"像"
"3"	"布袋戏"
"3"	"非常女"
"3"	"那般"
"3"	"美丽"
"3"	"长相"
"5"	"家喻户晓"
"5"	"民主党"
"5"	"最为"
"5"	"强硬"
"5"	"891118"
"5"	"廖正豪"
"5"	"政治"
"5"	"演艺圈"
"5"	"艺人"
"5"	"模仿"
"5"	"政治"
"5"	"发烧"
"5"	"舞台"
"5"	"明星"
"5"	"争相"
"5"	"要"
"5"	"参谋"
"5"	"首长"
"5"	"重量级"
"5"	"政治"
"5"	"关系史"
"5"	"头痛"
"5"	"民主党"
"3"	"舞蹈"
"3"	"历史"
"3"	"经典"
"3"	"立体"
"3"	"重现"
"3"	"特殊"
"5"	"族群"
"5"	"政"
"5"	"治"
"5"	"扪心自问"
"5"	"对得起"
"5"	"良心"
"5"	"受"
"5"	"欢迎"
"5"	":"
"5"	"赤柬"
"5"	"王朝"
"5"	"首脑"
"5"	"赤柬"
"3"	"着名"
"3"	"媒体"
"3"	"形容"
"3"	"那些"
"5"	"视为"
"5"	"强有力"
"5"	"反驳"
"3"	"黄民奇"
"3"	"高科技圈"
"3"	"知名"
"3"	"当年"
"3"	"图画"
"3"	"山水"
"3"	"宫观"
"3"	"知名"
"3"	"媒体"
"3"	"想像力"
"3"	"表演"
"3"	"惟妙惟肖"
"3"	"刻画"
"3"	"入木三分"
"5"	":"
"5"	"卢森堡"
"5"	"大公"
"5"	"亨利"
"5"	"新闻"
"5"	":"
"5"	"卢森堡"
"5"	"大公"
"5"	"亨利"
"5"	"卢森堡"
"5"	"大公"
"5"	":"
"5"	"阿尔及利亚"
"5"	"布特弗利卡"
"5"	"新闻"
"5"	":"
"5"	"阿尔及利亚"
"5"	"布特弗利卡"
"5"	"各行各业"
"5"	"涌现出来"
"5"	"先进"
"5"	"光"
"5"	"新闻"
"5"	"陆孝"
"5"	"先进"
"5"	"事迹"
"3"	"速写"
"3"	":"
"3"	"用心"
"3"	"诠释"
"5"	"新闻"
"5"	":"
"5"	"新闻"
"5"	"王侯"
"5"	"通缉令"
"5"	"第52"
"5"	"号"
"5"	"11日"
"3"	"画家"
"3"	"雕塑"
"3"	"卡通"
"3"	"玩具"
"3"	"双螺旋"
"3"	"龙冠"
"3"	"京剧"
"3"	"相似"
"5"	"关键"
"5"	"拉希德"
