"id","x","y","variant","corpus","year","text","lect"
"交易/Na/CNA_CMN_20010112_wpr/10834",-0.0370515936083726,0.107330538819458,"交易","CNA","2001","进货量 一千四 百五十五 吨 , 休市 后<br>需求量 大 , <b>交易</b> 略为<br>好转 , 各 菜种 行情 上涨 与 持平<br>居多","TW"
"生意/Na/ZBN_CMN_20030626_wpr/57944",0.0532924043241601,-0.0309177786343593,"生意","ZBN","2003","了 花店 ， 学会 经营 一 门 自己 感兴趣<br>的 <b>生意</b> 。 这 名 花店<br>老板娘 是 现年 49 岁 的","SG"
"买卖/Na/ZBN_CMN_20030430_wpr/22035",-0.0774388455882805,0.166645346911379,"买卖","ZBN","2003","卖空 者 自然 会 在 当天 补仓 ， 因为<br>其 <b>买卖</b> 价差 已 经 很<br>大 ， 足以 取得 可观 的","SG"
"生意/Na/XIN_CMN_20001205_wpr/66778",0.403489305639915,0.245621722515527,"生意","XIN","2000","在 南京路 上 的 “ 黄金 地段 ” ,<br>但是 <b>生意</b> 却 冷冷清清 。<br>记者 日前 来到 这 家 位于 上海","ML"
"交易/Na/XIN_CMN_20001029_wpr/22224",-0.079942527634985,0.0370222358030902,"交易","XIN","2000","部 集 , 其中 国产 剧目 占 96 %<br>, <b>交易</b> 金额 为 4 .<br>1亿 元 人民币 。 ( 今日","ML"
"交易/Na/CNA_CMN_20001019_wpr/8356",-0.0238215325313044,0.0391252708105799,"交易","CNA","2000","成交 量达 4392万 股 , 是 全 天<br>排名 第十一 <b>交易</b> 最 活络<br>的 个股 , 盘 后 交易 再 上涨","TW"
"交易/Na/CNA_CMN_20001110_wpr/126359",-0.0713920829977712,-0.0899803135526519,"交易","CNA","2000","加盟 网站 加盟 , 但是 由于 这 项<br>网路 广告 <b>交易</b> 性质 与<br>他 事业 不同 , 同时 在 缺乏客 观","TW"
"交易/Na/CNA_CMN_20001218_wpr/20128",-0.0771071036579906,0.0420677206770206,"交易","CNA","2000","金额 为 六十四兆六千 尔 百九十九亿七千二百万<br>元 , 已 签 约 <b>交易</b> 债券<br>自营商 三十二 家 。 今年度 上柜 股票<br>截至 十六","TW"
"交易/Na/XIN_CMN_20001008_wpr/69877",-0.0399655415591336,0.0648306592565845,"交易","XIN","2000","辽宁省 软件 产 业 的 对外 窗口 ;<br>加强 软件 <b>交易</b> 市场 建设<br>, 以 沈阳 、 大连 为 重点 ,","ML"
"交易/Na/CNA_CMN_20001215_wpr/12821",-0.0139054675611853,0.0796619005552415,"交易","CNA","2000",", 因 天气 好转 预期 外 市 需求量<br>增加 , <b>交易</b> 顺畅 , 价格<br>上扬 的 有 甜橙 、 柠檬 、","TW"
"买卖/Na/CNA_CMN_20001204_wpr/24213",-0.0349923989587635,-0.0645172081606443,"买卖","CNA","2000","一併 实施 ︵ 中央社 记者 陈永昌 台北<br>四日电 ︶ 柜台 <b>买卖</b> 中心<br>配合股 市 交易案 修订 相关 规章 共<br>十五 种","TW"
"交易/Na/ZBN_CMN_20030811_wpr/61893",-0.0424173341038158,0.0364665898609577,"交易","ZBN","2003","不再 在 本地 交易 1998年 ， 马股<br>不再 在 本地 <b>交易</b> ， 凡<br>拥有 马股 的 股友 ， 都 蒙受 重","SG"
"生意/Na/ZBN_CMN_20030415_wpr/80289",0.079229233749793,0.0343630505143198,"生意","ZBN","2003","地 控制 非典型 肺炎 的 疫情 ， 否则<br>短期 内 <b>生意</b> 应该 不会<br>好转 。 虽然 现在 大家 对 疫情 十分","SG"
"交易/Na/CNA_CMN_20001019_wpr/115688",-0.0608719895976946,0.0103888623989446,"交易","CNA","2000","融券 期限 届满 未 经 清偿者 。 面对<br>投资人 信用 <b>交易</b> 违约 交割<br>, 财政部 证券 暨 期货 管理 委员会<br>副主委","TW"
