"id","x","y","variant","corpus","year","text","lect"
"习惯/Na/ZBN_CMN_20030530_wpr/83431",-0.0129732440166425,0.00224130678822866,"习惯","ZBN","2003","GBCF/FW 卡/Na 数码/Na 相机/Na<br>越来越/Dfa 普遍/VH ，/COMMACATEGORY<br>人们/Na 的/Na 拍摄/VC <b>习惯/Na</b><br>也/D 随着/D 改变/VC 。/PERIODCATEGORY<br>因为/Cbb 不用/VJ 软片/Na ，/COMMACATEGORY<br>可以/VH 放肆/VH","SG"
"风格/Na/ZBN_CMN_20030623_wpr/2939",0.0604685144152823,-0.0224878204427444,"风格","ZBN","2003","我/Nh 国/Nc 的/DE 私人/Nh<br>住宅/Na 设计/Na 也/D 是/SHI<br>百花齐放/VH ，/COMMACATEGORY<br><b>风格/Na</b> 多样/VH 。/PERIODCATEGORY<br>然而/Cbb 公共/A 住宅/Na 设计/Na<br>，/COMMACATEGORY 就/D 显得/VK<br>有/V_2","SG"
"习惯/Na/CNA_CMN_20010101_wpr/98222",-0.128789890161107,-0.0323986090857174,"习惯","CNA","2001","期许/VK 要/D 减轻/VHC 体重/Na<br>,/COMMACATEGORY 并/Cbb<br>建立/VC 保健/Na 的/DE 饮食/Na<br><b>习惯/Na</b> ,/COMMACATEGORY<br>然而/Cbb 根据/P 今天/Nd 公佈/VE<br>的/DE 一/Neu 项/Nf 新/VH<br>的/DE","TW"
"风格/Na/XIN_CMN_20010125_wpr/13706",0.0343181183896207,-0.0139823150113773,"风格","XIN","2001","活动/Na 推出/VC 的/DE 影片/Na<br>,/COMMACATEGORY 题材/Na<br>内容/Na 广泛/VH 、/PAUSECATEGORY<br>艺术/Na <b>风格/Na</b> 多样/VH<br>、/PAUSECATEGORY 制作水/Na<br>平/VH 精湛/VH ,/COMMACATEGORY<br>为/VG 广大/VH 电影/Na 观众/Na","ML"
"习惯/Na/ZBN_CMN_20030825_wpr/75956",-0.0404022299387486,0.0243142094892238,"习惯","ZBN","2003","的/DE ，/COMMACATEGORY<br>大家/Nh 只/Da 须/D 保持/Nv<br>良好/VH 的/DE 卫/Na 生/VC<br><b>习惯/Na</b> 、/PAUSECATEGORY<br>生病/VH 了/Di 要/D 看医生/VA<br>。/PERIODCATEGORY 不过/Cbb<br>，/COMMACATEGORY 在/VCP<br>医院/Nc","SG"
"习惯/Na/XIN_CMN_20010101_wpr/39332",-0.101512031689029,-0.0314523279538554,"习惯","XIN","2001","体魄/Na 和/Caa 对/P 足球/Na<br>的/DE 热爱/Nv ,/COMMACATEGORY<br>他们/Nh 的/DE 饮食/Na <b>习惯/Na</b><br>也/D 适合/VH 从/P 事/Na 足球/Na<br>运动/Na ,/COMMACATEGORY<br>从/P 长远/VH 来/D","ML"
"习惯/Na/XIN_CMN_20030530_wpr/60606",-0.0298929597156895,0.00212039664492693,"习惯","XIN","2003","主要/D 是/SHI 受/P 人/Na 们/Na<br>多/VH 年/Nf 形成/Nv 的/DE<br>消费/Na <b>习惯/Na</b> 和/Caa<br>消费观/Na 念/VC 的/DE 制约/VC<br>。/PERIODCATEGORY 那么/D<br>,/COMMACATEGORY 此次/Nh<br>非典/Na","ML"
"习惯/Na/ZBN_CMN_20030420_wpr/43951",-0.0536368671105774,-0.00992616187353876,"习惯","ZBN","2003","运动/Na 减少/Nv 、/PAUSECATEGORY<br>饮食/Na 中/Ng 缺少/VJ 蔬菜/Na<br>水果/Na 等/Cab 不良/VH <b>习惯/Na</b><br>，/COMMACATEGORY 可能/D<br>会/D 进一步/D 导致/VL 全球/Nc<br>癌症/Na 人数/Na 猛/D 增/VJ","SG"
"习惯/Na/ZBN_CMN_20030707_wpr/75406",0.0174957367363769,-0.0986550767915393,"习惯","ZBN","2003","，/COMMACATEGORY 处于/VJ<br>一/Neu 个/Nf 全然/D 不同/VH<br>的/DE 环境/Na 以及/Caa 风俗/Na<br><b>习惯/Na</b> 时/Ng ，/COMMACATEGORY<br>你/Nh 会/D 因为/Cbb 不/D 熟悉/VJ<br>而/Cbb 感到/VK 害怕/VK","SG"
"习惯/Na/ZBN_CMN_20030415_wpr/60511",-0.0142748533672304,-0.0254880127430344,"习惯","ZBN","2003","神秘/VH 杀手/Na 的/DE 秘方/Na<br>。/PERIODCATEGORY 人们/Na<br>的/Na 心理/Na 和/Caa 生活/VH<br><b>习惯/Na</b> 也/D 出现/VH<br>了/Di 非/A 典型/Na 的/DE 变化/Na<br>：/COLONCATEGORY 不/D 敢/VL","SG"
