"cluster"	"sigcol"
"2"	"泳装版"
"2"	"封面女"
"2"	"郎"
"2"	"性感"
"4"	"联合国"
"4"	"谘商"
"4"	"全球"
"2"	"金门港"
"2"	"指定为"
"2"	"商港"
"4"	"定位"
"4"	"统治"
"4"	"受到"
"4"	"动摇"
"4"	"瓦希德"
"4"	"强大"
"4"	"中"
"4"	"取得"
"4"	"合法"
"4"	"反观"
"4"	"台湾"
"2"	"维持"
"2"	"布袋戏"
"2"	"坠"
"2"	"黄海岱"
"2"	"布袋戏"
"4"	"国际"
"4"	"社会"
"4"	"台湾"
"4"	"国际歌"
"4"	"坛"
"4"	"取代"
"4"	"欧巡赛"
"4"	"王蒙哥马利"
"4"	"高坛"
"4"	"霸主"
"4"	"中油"
"4"	"滥用"
"4"	"市场"
"4"	"公平法"
"4"	"国际"
"4"	"贸易"
"4"	"重要"
"4"	"中"
"4"	"国际"
"4"	"舆论"
"4"	"佔"
"4"	"举足轻重"
"4"	"贸易"
"4"	"斐济"
"4"	"时常"
"4"	"具有"
"4"	"女性"
"4"	"社会"
"4"	"象征"
"4"	"意涵"
"4"	"近年"
"4"	"女性"
"5"	"中"
"5"	"取得"
"5"	"领先"
"5"	"处于"
"5"	"尴尬"
"5"	"肃贪"
"5"	"重"
"4"	"中"
"4"	"佔有"
"4"	"重要"
"4"	"街区"
"4"	"佔有"
"4"	"重要"
"4"	"史"
"4"	"具有"
"4"	"历史"
"4"	"台湾"
"4"	"对等"
"4"	"居"
"4"	"关键"
"4"	"社会"
"4"	"政治"
"4"	"立足"
"4"	"891111"
"2"	"争取"
"2"	"荣誉"
"2"	"平等"
"2"	"有色"
"2"	"人种"
"4"	"争取"
"4"	"发言权"
"4"	"提昇"
"4"	"社会"
"4"	"891112"
"4"	"作为"
"4"	"中心"
"4"	"曾荫权"
"4"	"多数"
"4"	"居于"
"4"	"主导"
"4"	"世界级"
"4"	"领导"
"4"	"中"
"4"	"且"
"4"	"末"
"4"	"重要"
"2"	"权益"
"2"	"不容"
"2"	"受损"
"4"	"国际"
"4"	"社会"
