"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"要求/Na/XIN_CMN_20001124_wpr/21712",-0.0800842915975327,-0.0646942886581682,"要求","XIN","2000","类/Nf 产品/Na 的/DE 限期/Na/2.470<br>分别/D 延后/VC/1.361 5/Neu<br>年/Nf 。/PERIODCATEGORY<br>协定/Na <b>要求/Na</b> 信息/Na<br>科技/Na 领先/VJ 的/DE 东盟/Nc<br>成员国/Na/1.256 帮助/Na 其它/Neqa<br>成员国/Na/1.256 建设/Na","类/Nf 产品/Na 的/DE 限期/Na/2.470<br>分别/D 延后/VC/1.361 5/Neu<br>年/Nf 。/PERIODCATEGORY<br>协定/Na <b>要求/Na</b> 信息/Na<br>科技/Na 领先/VJ 的/DE 东盟/Nc<br>成员国/Na/1.256 帮助/Na 其它/Neqa<br>成员国/Na/1.256 建设/Na","ML"
"需要/Na/ZBN_CMN_20010101_wpr/19682",0.0993817210065452,-0.129946178365851,"需要","ZBN","2001","自杀/VA 、/PAUSECATEGORY<br>自伤/VH 等/Cab ，/COMMACATEGORY<br>他/Nh 强调/VE ，/COMMACATEGORY<br>台湾/Nc 社会/Na/1.380 <b>需要/Na</b><br>进行/VC 心/Na 理治疗/Na/4.944<br>，/COMMACATEGORY 未来学/Na/2.930<br>会/D 也/D 将/D 扮演/VC 服务/Na","自杀/VA 、/PAUSECATEGORY<br>自伤/VH 等/Cab ，/COMMACATEGORY<br>他/Nh 强调/VE ，/COMMACATEGORY<br>台湾/Nc 社会/Na/1.380 <b>需要/Na</b><br>进行/VC 心/Na 理治疗/Na/4.944<br>，/COMMACATEGORY 未来学/Na/2.930<br>会/D 也/D 将/D 扮演/VC 服务/Na","SG"
"必要/Na/ZBN_CMN_20001012_wpr/23966",-0.0184009970064891,0.0726607199712887,"必要","ZBN","2000","安/Nb 定/VC ，/COMMACATEGORY<br>因为/Cbb 有/V_2/2.318 这/Nep<br>种/Nf 地方/Na ，/COMMACATEGORY<br>没有/V_J/3.715 <b>必要/Na</b><br>还/D 故意/Nv/1.443 结婚/Nv/1.478<br>、/PAUSECATEGORY 一起/D<br>生活/VH 。/PERIODCATEGORY<br>现在/Nd 日本/Nc 女人/Na","安/Nb 定/VC ，/COMMACATEGORY<br>因为/Cbb 有/V_2/2.318 这/Nep<br>种/Nf 地方/Na ，/COMMACATEGORY<br>没有/V_J/3.715 <b>必要/Na</b><br>还/D 故意/Nv/1.443 结婚/Nv/1.478<br>、/PAUSECATEGORY 一起/D<br>生活/VH 。/PERIODCATEGORY<br>现在/Nd 日本/Nc 女人/Na","SG"
"需要/Na/CNA_CMN_20010129_wpr/30338",0.0287248222069597,-0.0298876387695393,"需要","CNA","2001","时/Ng 说/VE ,/COMMACATEGORY<br>新/VH 世纪/Na 初始/Na ,/COMMACATEGORY<br>考试院/Nc/1.883 配合/VC/1.765<br>业务/Na/1.166 <b>需要/Na</b><br>,/COMMACATEGORY 以/P 有限/Nv<br>的/DE 预算/Na ,/COMMACATEGORY<br>改建/VC 老旧/VH 办公厅/Nc 舍/VC","时/Ng 说/VE ,/COMMACATEGORY<br>新/VH 世纪/Na 初始/Na ,/COMMACATEGORY<br>考试院/Nc/1.883 配合/VC/1.765<br>业务/Na/1.166 <b>需要/Na</b><br>,/COMMACATEGORY 以/P 有限/Nv<br>的/DE 预算/Na ,/COMMACATEGORY<br>改建/VC 老旧/VH 办公厅/Nc 舍/VC","TW"
"要求/Na/XIN_CMN_20030502_wpr/9749",-0.0799320172895264,-0.0831650815495161,"要求","XIN","2003","直接/VH 关系/Na ,/COMMACATEGORY<br>也/D 与/P 胡图族/Nb/2.293<br>反政府武装/Na/1.059 自身/Nh<br>的/DE 政治/Na <b>要求/Na</b><br>密不可分/VH/1.200 ,/COMMACATEGORY<br>胡图族/Nb/2.293 人/Na 出任/VG<br>过渡/Nv 政府/Na/1.234 总统/Na<br>并/D 不能/D","直接/VH 关系/Na ,/COMMACATEGORY<br>也/D 与/P 胡图族/Nb/2.293<br>反政府武装/Na/1.059 自身/Nh<br>的/DE 政治/Na <b>要求/Na</b><br>密不可分/VH/1.200 ,/COMMACATEGORY<br>胡图族/Nb/2.293 人/Na 出任/VG<br>过渡/Nv 政府/Na/1.234 总统/Na<br>并/D 不能/D","ML"
"要求/Na/CNA_CMN_20001011_wpr/105940",-0.0918030692154789,-0.0796274861117615,"要求","CNA","2000","当地/Nc 承租土/Na 地/DE 耕种/Nv<br>的/DE 农民/Na 向/P 花莲县/Nc<br>政府/Na/1.234 陈情/Nv/2.504<br><b>要求/Na</b> 优先/Nv 购买/VC<br>或/Caa 标购/VC/3.152 ,/COMMACATEGORY<br>全/Nb 案/Na 现/D 正/D 进行/VC","当地/Nc 承租土/Na 地/DE 耕种/Nv<br>的/DE 农民/Na 向/P 花莲县/Nc<br>政府/Na/1.234 陈情/Nv/2.504<br><b>要求/Na</b> 优先/Nv 购买/VC<br>或/Caa 标购/VC/3.152 ,/COMMACATEGORY<br>全/Nb 案/Na 现/D 正/D 进行/VC","TW"
"要求/Na/CNA_CMN_20001113_wpr/65970",-0.0399391804006069,-0.0300055771047413,"要求","CNA","2000","有/V_2 权/Na/1.462 受损/VH<br>,/COMMACATEGORY 没有/V_J<br>理由/Na 不/D 提出/VC/2.488<br>索赔/Nv/2.860 的/DE <b>要求/Na</b><br>。/PERIODCATEGORY 」/PARENTHESISCATEGORY<br>马来西亚/Nc 国际/Nc 航运/Na/1.295<br>公司/Nc 已经/D 为/P 这/Nep<br>艘/Nf","有/V_2 权/Na/1.462 受损/VH<br>,/COMMACATEGORY 没有/V_J<br>理由/Na 不/D 提出/VC/2.488<br>索赔/Nv/2.860 的/DE <b>要求/Na</b><br>。/PERIODCATEGORY 」/PARENTHESISCATEGORY<br>马来西亚/Nc 国际/Nc 航运/Na/1.295<br>公司/Nc 已经/D 为/P 这/Nep<br>艘/Nf","TW"
"要求/Na/CNA_CMN_20010124_wpr/47070",-0.0502202650552117,0.00636956684327017,"要求","CNA","2001","的/DE 精神/Na 都/D 属/VG 正常/VH<br>,/COMMACATEGORY 医/VC<br>院/Nc 说/VE 将/P/1.245 <b>要求/Na</b><br>公安/Na/1.513 警察/Na 领/VC<br>曹茂兵/Nb/2.586 出院/VA ,/COMMACATEGORY<br>但/Cbb 之后/Nd 显然/D 受到/VJ","的/DE 精神/Na 都/D 属/VG 正常/VH<br>,/COMMACATEGORY 医/VC<br>院/Nc 说/VE 将/P/1.245 <b>要求/Na</b><br>公安/Na/1.513 警察/Na 领/VC<br>曹茂兵/Nb/2.586 出院/VA ,/COMMACATEGORY<br>但/Cbb 之后/Nd 显然/D 受到/VJ","TW"
"要求/Na/XIN_CMN_20030403_wpr/60283",0.117244467912025,-0.108360877075987,"要求","XIN","2003","总结/Na 经验/Na 的/DE 基础/VH<br>上/Ng ,/COMMACATEGORY<br>根据/VJ 形势/Na/1.207 变化/Na<br>的/DE <b>要求/Na</b> ,/COMMACATEGORY<br>进/VCL 一/Neu 步/Nf 扩大/VC<br>人民/Na 政协报/Nb 在/P 社会/Na<br>上/Ncd","总结/Na 经验/Na 的/DE 基础/VH<br>上/Ng ,/COMMACATEGORY<br>根据/VJ 形势/Na/1.207 变化/Na<br>的/DE <b>要求/Na</b> ,/COMMACATEGORY<br>进/VCL 一/Neu 步/Nf 扩大/VC<br>人民/Na 政协报/Nb 在/P 社会/Na<br>上/Ncd","ML"
"要求/Na/CNA_CMN_20010114_wpr/91400",-0.0100630363981564,-0.0427202005519371,"要求","CNA","2001","为/P 中共/Nb 新/VH 世纪/Na<br>的/DE 宣传/Na 工作/Nv 定调/Na/1.600<br>,/COMMACATEGORY 他/Nh<br><b>要求/Na</b> 宣传/Na 部门/Na/1.354<br>唱/VC 好/VH 主旋律/Na/1.716<br>、/PAUSECATEGORY 打好/VC<br>主动/VH/2.138 仗/Na 。/PERIODCATEGORY","为/P 中共/Nb 新/VH 世纪/Na<br>的/DE 宣传/Na 工作/Nv 定调/Na/1.600<br>,/COMMACATEGORY 他/Nh<br><b>要求/Na</b> 宣传/Na 部门/Na/1.354<br>唱/VC 好/VH 主旋律/Na/1.716<br>、/PAUSECATEGORY 打好/VC<br>主动/VH/2.138 仗/Na 。/PERIODCATEGORY","TW"
